spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0801_65_2CMCT_6.csv
limit_error:	6
noise_limit:	2000000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1438.187866	6	85314396.15	RNA	-0.98	0.06	C256H320N102O188P26	
1480.055423	6	146709033.33	RNA+1CMCT	-0.33	0.08	C270H345N105O189P26	
1457.548773	6	15264341.61	RNA+1CMCT-A	1.34	0.27	C265H340N100O189P26	
1454.885285	6	28384645.34	RNA+1CMCT-G	2.94	0.19	C265H340N100O188P26	
1521.923445	6	34991046694.15	RNA+2CMCT	0.6	0.03	C284H370N108O190P26	
1499.416472	6	1038231898.42	RNA+2CMCT-A	2.02	0.03	C279H365N103O190P26	
1503.41724	6	444716165.18	RNA+2CMCT-C	1.28	0.02	C280H365N105O189P26	
1496.749206	6	2099839601.97	RNA+2CMCT-G	1.05	0.01	C279H365N103O189P26	
1493.746505	6	164658270.67	RNA+2CMCT-G-H2O	0.43	0.05	C279H363N103O188P26	
1518.922584	6	674177404.75	RNA+2CMCT-H2O	1.19	0.05	C284H368N108O189P26	
1415.675992	6	10405066.6	RNA-A	-2.97	0.37	C251H315N97O188P26	
1413.020139	6	10091759.95	RNA-G	4.08	0.44	C251H315N97O187P26	
914.16412	1	4918478.27	a03	1.72	0.28	C29H35N13O18P2	
1108.16048	1	19562499.99	a04-G	-0.08	0.1	C34H42N13O24P3	
1031.633117	2	18003509.77	a07-A	-0.53	0.21	C62H77N23O46P6	
1416.203579	2	12437216.31	a09	-2.99	0.41	C86H106N36O59P8	
943.803241	3	11665485.74	a09	0.49	0.3	C86H106N36O59P8	
1287.88971	3	10811390.59	a12+1CMCT-A	1.98	0.32	C122H161N42O82P11	
1518.642107	3	16084572.26	a13+2CMCT	-3.23	0.42	C150H202N52O91P12	
1601.258099	3	14682725.07	a15+1CMCT-G	-1.31	0.41	C150H196N52O103P14	
1517.5167	3	11639081.02	a15-G	-6.75	0.31	C136H171N49O102P14	
1716.281128	3	12946322.96	a16+1CMCT-G	2.98	0.53	C160H208N57O110P15	
1799.999476	3	12042834.54	a16+2CMCT-G	-5.44	0.47	C174H233N60O111P15	
1314.423899	4	9220077.01	a17-A	6.13	0.38	C156H195N59O117P16	
1535.983031	4	23510921.214685667	a19+1CMCT-G	-1.43	0.22	C189H243N69O132P18	
1685.051502	4	12154885.46	a20+2CMCT-A	2.65	0.41	C213H280N77O140P19	
1410.4484	5	13294276.12	a21+2CMCT-G	0.5	0.31	C223H292N82O145P20	
1509.668181	5	11550535.05	a22+2CMCT	0.74	0.39	C238H309N92O153P21	
1520.639961	5	35462147.58	a23+1CMCT	5.12	0.44	C233H295N91O160P22	
1670.673874	5	28136112.73	a25+2CMCT-G	-3.66	0.25	C261H339N97O174P24	
1468.073332	6	13641814.23	a26+2CMCT	-4.92	0.36	C275H356N105O182P25	
689.087893	1	26973454.77	c02	0.43	0.07	C20H24N10O14P2	
940.28453	1	4318899.25	c02+1CMCT	-3.0	0.31	C34H49N13O15P2	
994.129782	1	119583904.54	c03	0.91	0.05	C29H36N13O21P3	
496.5608	2	4382134.49	c03	-0.0	0.28	C29H36N13O21P3	
1245.326854	1	15379357.5	c03+1CMCT	-1.44	0.12	C43H61N16O22P3	
1339.17178	1	5231275.42	c04	-3.39	0.35	C39H48N18O28P4	
669.084585	2	27688659.99	c04	0.1	0.08	C39H48N18O28P4	
1188.12694	1	6833907.76	c04-G	0.03	0.31	C34H43N13O27P4	
822.096927	2	46040722.21	c05	-0.3	0.09	C48H59N20O36P5	
547.72914	3	4453107.39	c05	0.22	0.41	C48H59N20O36P5	
947.696658	2	22697051.64	c05+1CMCT	-0.42	0.19	C62H84N23O37P5	
974.617363	2	76676938.59	c06	-0.46	0.04	C57H71N23O43P6	
1100.216174	2	38989673.63	c06+1CMCT	-1.38	0.08	C71H96N26O44P6	
1225.816855	2	9927223.32	c06+2CMCT	-0.59	0.26	C85H121N29O45P6	
899.092636	2	8346511.48	c06-G	-0.53	0.17	C52H66N18O42P6	
1139.143992	2	32037487.37	c07	-0.07	0.04	C67H83N28O49P7	
