spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0801_65_6.csv
limit_error:	6
noise_limit:	2470000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1471.537045	6	21071771.19	RNA+CMCT-C	-1.13	0.26	C266.0H337.0N102.0O190.0P27.0	
1464.871615	6	11766599.48	RNA+CMCT-G	0.41	0.44	C265.0H337.0N100.0O190.0P27.0	
1487.038493	6	17670305.83	RNA+CMCT-H2O	-3.81	0.48	C270.0H340.0N105.0O190.0P27.0	
1707.812101	5	14831791.21	RNA-G	3.15	0.45	C251H312N97O189P27	
458.07226	1	4190506.88	a02-G	0.89	0.16	C15H18N5O10P1	
1108.159685	1	33515825.83	a04-G	-0.8	0.11	C34H42N13O24P3	
1031.632251	2	37507866.37	a07-A	-1.37	0.07	C62H77N23O46P6	
943.801257	3	11577344.48	a09	-1.62	0.28	C86H106N36O59P8	
1348.680993	2	21420821.77	a09-A	0.32	0.11	C81H101N31O59P8	
898.784711	3	18969574.16	a09-A	0.1	0.07	C81H101N31O59P8	
1493.210084	2	6098017.969527477	a10-G	4.24	0.48	C90H113N34O65P9	
1486.253267	3	15200164.36	a14+CMCT-G	5.97	0.46	C140H184N47O96P13	
1601.259374	3	31633146.11	a15+CMCT-G	-0.52	0.18	C150H196N52O103P14	
1716.281804	3	23597856.08	a16+CMCT-G	3.38	0.2	C160H208N57O110P15	
1831.293304	3	20122270.89	a17+CMCT-G	0.81	0.3	C170H220N62O117P16	
1310.418052	4	15948883.81	a17-G	0.72	0.36	C156H195N59O116P16	
1473.192255	4	20200166.86297986	a19-G	4.73	0.18	C175H218N66O131P18	
1622.250328	4	27308239.79	a20+CMCT-A	2.0	0.35	C199H255N74O139P19	
1704.509884	4	28626819.19	a21+CMCT-A	-0.2	0.24	C209H267N79O145P20	
1786.772966	4	15133776.42	a22+CMCT-G	-0.22	0.4	C219H279N84O151P21	
1493.615836	5	14275396.217964415	a23+CMCT-A	-3.64	0.33	C228H290N86O160P22	
1490.421446	5	15497026.17	a23+CMCT-G	-0.56	0.47	C228H290N86O159P22	
1620.443063	5	40343159.72	a25+CMCT-G	1.87	0.24	C247H314N94O173P24	
1426.209276	6	25897662.884222027	a26+CMCT	-3.26	0.22	C261H331N102O181P25	
344.04076	1	6528410.35	c01	1.75	0.12	C10H12N5O7P1	
689.088387	1	41866242.32	c02	1.15	0.07	C20H24N10O14P2	
538.03818	1	8514964.39	c02-G	-0.01	0.16	C15H19N5O13P2	
994.127764	1	221954202.58	c03	-1.12	0.06	C29H36N13O21P3	
496.5607	2	5286704.67	c03	-0.2	0.28	C29H36N13O21P3	
1245.32539	1	7572420.98	c03+CMCT	-2.61	0.37	C43H61N16O22P3	
843.07903	1	8131032.98	c03-G	-0.52	0.23	C24H31N8O20P3	
1339.17444	1	14964379.01	c04	-1.4	0.05	C39H48N18O28P4	
669.084571	2	42405381.96	c04	0.08	0.04	C39H48N18O28P4	
822.097223	2	87801496.39	c05	0.06	0.06	C48H59N20O36P5	
947.69773	2	15180895.17	c05+CMCT	0.72	0.12	C62H84N23O37P5	
974.617528	2	154134199.54	c06	-0.29	0.04	C57H71N23O43P6	
1100.217234	2	34058806.81	c06+CMCT	-0.42	0.09	C71H96N26O44P6	
899.092671	2	17522490.07	c06-G	-0.49	0.16	C52H66N18O42P6	
1139.143619	2	82763858.41	c07	-0.4	0.03	C67H83N28O49P7	
1264.745218	2	26676620.35	c07+CMCT	1.0	0.17	C81H108N31O50P7	
1063.617971	2	14965397.27	c07-G	-1.31	0.2	C62H78N23O48P7	
1291.666569	2	122954418.76	c08	1.43	0.06	C76H95N31O56P8	
860.774118	3	38884049.38	c08	0.08	0.06	C76H95N31O56P8	
1417.263886	2	49231134.35	c08+CMCT	-0.5	0.03	C90H120N34O57P8	
970.45772	3	57970744.22	c09	-0.52	0.05	C86H107N36O62P9	
1581.796925	2	12289882.71	c09+CMCT	3.84	0.49	C100H132N39O63P9	
1608.709354	2	22275086.5	c10	-1.41	0.17	C95H119N39O69P10	
1734.318177	2	20014728.47	c10+CMCT	3.85	0.34	C109H144N42O70P10	
1886.842559	2	18890007.2	c11+CMCT	5.52	0.31	C118H156N45O77P11	
1257.546417	3	10688216.34	c11+CMCT	-4.71	0.41	C118H156N45O77P11	
1275.825405	3	70423729.88	c12	-1.66	0.07	C113H142N44O84P12	
1359.558995	3	39590395.92	c12+CMCT	-1.31	0.06	C127H167N47O85P12	
1377.835837	3	84377336.36	c13	-0.08	0.07	C122H153N46O92P13	
1563.248561	3	192976155.25	c14+CMCT	-0.69	0.02	C145H190N52O100P14	
1512.901449	3	17666564.764519446	c14+CMCT-G	1.07	0.2	C140H185N47O99P14	
1429.168482	3	14911597.65	c14-G	1.33	0.45	C126H160N44O98P14	
1594.531549	3	98676167.19	c15	-0.4	0.15	C141H177N54O106P15	
1195.643384	4	13312624.48	c15	-3.3	0.43	C141H177N54O106P15	
1678.266346	3	225058311.87	c15+CMCT	0.54	0.03	C155H202N57O107P15	
1627.912809	3	21663362.99	c15+CMCT-G	-1.74	0.28	C150H197N52O106P15	
1544.182032	3	18082605.44	c15-G	-0.23	0.32	C136H172N49O105P15	
1709.547953	3	55781174.79	c16	-0.03	0.1	C151H189N59O113P16	
