spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0807_9.csv
limit_error:	6.5	2020-07-09
noise_limit:	3140000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1399.964843	9	891493929.0	RNA	1.56	0.05	C373H463N155O270P38	4.8
1427.876099	9	151966960857.0	RNA+CMCT	1.65	0.02	C387H488N158O271P38	591.1
1589.59957	8	48662760.0	RNA+CMCT-A	-1.56	0.37	C382H483N153O271P38	6.3
1412.868516	9	8710629011.0	RNA+CMCT-A	0.59	0.03	C382H483N153O271P38	37.6
1587.344145	8	13311719.0	RNA+CMCT-A-H2O	-4.15	0.07	C382H481N153O270P38	0.1
1415.532425	9	7696285291.0	RNA+CMCT-C	-2.24	0.09	C383H483N155O270P38	62.3
1413.535524	9	2283567150.0	RNA+CMCT-C-H2O	0.78	0.03	C383H481N155O269P38	9.9
1411.094693	9	10582389169.0	RNA+CMCT-G	2.99	0.01	C382H483N153O270P38	37.2
1409.096831	9	560052186.0	RNA+CMCT-G-H2O	5.35	0.1	C382H481N153O269P38	4.6
1425.877259	9	4824505526.0	RNA+CMCT-H2O	3.29	0.04	C387H486N158O270P38	23.6
1384.957112	9	80654762.0	RNA-A	0.37	0.2	C368H458N150O270P38	1.9
1387.624646	9	106766845.0	RNA-C	0.1	0.21	C369H458N152O269P38	2.8
1383.18157	9	90868917.0	RNA-G	1.58	0.14	C368H458N150O269P38	1.2
859.603372	2	46382846.0	a06-G	1.65	0.07	C52H64N17O40P5	0.3
1032.126255	2	41451726.0	a07-G	0.57	0.03	C62H76N22O47P6	0.2
1405.766965	2	27781950.0	a08+CMCT	-4.98	0.12	C91H118N35O56P7	0.3
1204.649419	2	35584567.0	a08-G	0.03	0.24	C72H88N27O54P7	1.2
1236.15432	3	31929954.0	a12-A	-1.61	0.05	C110H136N43O82P11	0.2
2094.792389	2	15051833.0	a13	1.58	0.52	C125H153N53O89P12	8.7
1396.192949	3	397804222.0	a13	1.9	0.14	C125H153N53O89P12	5.3
1479.918121	3	17128785.0	a13+CMCT	-3.66	0.46	C139H178N56O90P12	5.4
1434.906112	3	43690472.0	a13+CMCT-A	0.51	0.22	C134H173N51O90P12	1.2
1345.842726	3	33033293.0	a13-G	1.66	0.21	C120H148N48O88P12	0.9
1123.153572	4	38413409.0	a14	2.09	0.13	C134H165N56O96P13	0.4
1447.520718	3	13970323.0	a14-G	-0.14	0.14	C129H160N51O95P13	0.2
1362.176142	4	40263964.0	a17	-2.63	0.29	C162H200N66O118P16	2.3
1089.54167	5	48199628.0	a17	-0.6	0.15	C162H200N66O118P16	0.7
1469.477882	4	18156051.0	a18+CMCT-G	-1.74	0.33	C181H232N69O124P17	1.6
1406.683654	4	82448417.0	a18-G	2.24	0.29	C167H207N66O123P17	4.8
2119.672947	3	12268496.0	a19+CMCT	-1.91	0.24	C196H249N79O131P18	0.4
1271.4105	5	31478948.0	a19+CMCT	5.67	0.13	C196H249N79O131P18	0.4
1555.746513	4	23831438.0	a19+CMCT-A	2.71	0.03	C191H244N74O131P18	0.1
1194.152264	5	40670204.0	a19-A	-0.14	0.07	C177H219N71O130P18	0.3
1666.018846	4	111954265.0	a20+CMCT	3.96	0.08	C205H260N81O139P19	0.8
1401.624377	5	23834849.0	a21+CMCT	4.67	0.44	C215H272N86O146P20	6.2
1440.416278	5	53024711.0	a22+CMCT-A	-0.81	0.11	C220H279N86O152P21	0.5
1796.775989	4	22196965.0	a22+CMCT-G	0.61	0.27	C220H279N86O151P21	1.0
1437.22046	5	54782513.0	a22+CMCT-G	1.4	0.17	C220H279N86O151P21	1.0
1386.978102	5	20831875.0	a22-G	-0.29	0.3	C206H254N83O150P21	1.3
1498.227821	5	16236400.0	a23+CMCT-G	0.74	0.28	C229H291N89O158P22	0.9
1447.984744	5	22336618.0	a23-G	-1.39	0.14	C215H266N86O157P22	0.3
1340.011843	6	17058818.0	a25	0.8	0.22	C239H295N99O172P24	0.5
1628.246619	5	16993425.0	a25+CMCT-G	1.33	0.15	C248H315N97O172P24	0.3
1356.707509	6	22417136.0	a25+CMCT-G	3.69	0.28	C248H315N97O172P24	1.1
1365.837382	6	18673521.0	a26-G	-1.98	0.28	C243H301N96O179P25	1.0
1448.524638	6	8847614.0	a27	1.2	0.14	C258H318N106O187P26	0.1
1465.218803	6	26212202.0	a27+CMCT-G	2.85	0.04	C267H338N104O187P26	0.1
1545.233657	6	18188207.0	a28+CMCT	1.32	0.5	C282H355N114O194P27	8.6
1520.057041	6	33864932.0	a28+CMCT-G	0.22	0.09	C277H350N109O193P27	0.3
1139.788895	8	8900576.0	a28+CMCT-G	-1.6	0.2	C277H350N109O193P27	0.2
1531.69468	6	37246819.0	a29-A	-0.94	0.36	C272H337N109O200P28	4.3
1611.71136	6	24605733.0	a30	-1.08	0.04	C287H354N119O207P29	0.1
1417.207676	7	136770898.0	a30+CMCT	-1.75	0.44	C301H379N122O208P29	34.9
1283.067208	8	7536532.0	a31+CMCT	2.57	0.09	C311H391N127O215P30	0.1
1447.218541	7	30170582.0	a31+CMCT-A	6.49	0.42	C306H386N122O215P30	6.4
1444.925815	7	54096312.0	a31+CMCT-G	1.14	0.04	C306H386N122O214P30	0.3
