spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0807_rev10sb.csv
limit_error:	6.5	2020-07-21
noise_limit:	4490000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1259.864667	10	1034542975.0	RNA	-0.79	0.07	C373H463N155O270P38	4.7
1606.478572	8	24292950.0	RNA+CMCT	-3.29	0.44	C387H488N158O271P38	4.4
1284.982859	10	189659049703.0	RNA+CMCT	-2.16	0.03	C387H488N158O271P38	570.2
1271.47675	10	10978023215.0	RNA+CMCT-A	-2.7	0.03	C382H483N153O271P38	31.7
1410.859153	9	19124038.0	RNA+CMCT-A-H2O	-5.21	0.09	C382H481N153O270P38	0.1
1273.876192	10	7995116026.0	RNA+CMCT-C	-4.02	0.08	C383H483N155O270P38	39.6
1817.681568	7	18006480.0	RNA+CMCT-C-H2O	-4.2	0.57	C383H481N155O269P38	12.0
1272.075596	10	1619926267.0	RNA+CMCT-C-H2O	-3.66	0.03	C383H481N155O269P38	4.7
1814.550747	7	25304300.0	RNA+CMCT-G	2.08	0.39	C382H483N153O270P38	2.8
1269.879356	10	9854678019.0	RNA+CMCT-G	-1.05	0.02	C382H483N153O270P38	26.8
1409.09017	9	24341555.0	RNA+CMCT-G-H2O	0.62	0.29	C382H481N153O269P38	1.0
1268.08106	10	390329284.0	RNA+CMCT-G-H2O	1.12	0.09	C382H481N153O269P38	2.1
1283.185073	10	4403726860.0	RNA+CMCT-H2O	0.38	0.06	C387H486N158O270P38	18.7
1246.357505	10	110753765.0	RNA-A	-2.17	0.15	C368H458N150O270P38	1.1
1248.756027	10	73716570.0	RNA-C	-4.25	0.3	C369H458N152O269P38	3.3
1244.761129	10	56809097.0	RNA-G	0.33	0.1	C368H458N150O269P38	0.3
1258.069952	10	268333800.0	RNA-H2O	4.25	0.18	C373H461N155O269P38	3.6
859.602279	2	38197760.0	a06-G	0.38	0.17	C52H64N17O40P5	0.5
1032.12561	2	47685498.0	a07-G	-0.06	0.11	C62H76N22O47P6	0.3
1280.170303	2	150695503.0	a08	-2.96	0.06	C77H93N32O55P7	0.6
1204.64741	2	36416281.0	a08-G	-1.64	0.14	C72H88N27O54P7	0.3
960.631287	4	24736437.0	a12	2.34	0.42	C115H141N48O82P11	3.7
1123.1539	4	25339038.0	a14	2.39	0.25	C134H165N56O96P13	0.7
1452.843897	3	30692179.0	a14-A	-5.96	0.31	C129H160N51O96P13	1.5
1089.54127	5	33747199.0	a17	-0.97	0.09	C162H200N66O118P16	0.2
1849.960246	3	22276038.0	a17+CMCT-G	0.76	0.58	C171H220N64O118P16	16.4
1469.476154	4	34277770.0	a18+CMCT-G	-2.92	0.44	C181H232N69O124P17	6.2
1125.147248	5	14618454.0	a18-G	3.82	0.26	C167H207N66O123P17	0.4
1059.339804	6	50920663.0	a19+CMCT	4.67	0.2	C196H249N79O131P18	0.9
994.964321	6	14030308.0	a19-A	5.2	0.27	C177H219N71O130P18	0.5
1190.958175	5	20131680.0	a19-G	3.97	0.27	C177H219N71O129P18	0.7
1282.372277	5	596761553.0	a20	3.03	0.06	C191H235N78O138P19	2.5
1068.476224	6	17628977.0	a20	3.53	0.26	C191H235N78O138P19	0.6
1302.395877	5	12253091.0	a20+CMCT-G	-1.99	0.14	C200H255N76O138P19	0.1
1255.358516	5	69297240.0	a20-A	0.81	0.37	C186H230N73O138P19	6.2
1689.47017	4	22377618.0	a21	-2.37	0.44	C201H247N83O145P20	4.1
1800.766947	4	17357550.0	a22+CMCT-A	-3.7	0.59	C220H279N86O152P21	14.1
868.484832	8	22255138.0	a22-A	1.88	0.25	C206H254N83O151P21	0.6
1814.242154	4	21675665.0	a23-A	4.5	0.51	C215H266N86O158P22	7.9
904.615382	8	14600899.0	a23-G	1.53	0.18	C215H266N86O157P22	0.2
1331.039888	6	40412670.0	a24+CMCT	2.03	0.38	C244H308N99O166P23	4.0
1308.522809	6	28965919.0	a24+CMCT-A	-4.05	0.43	C239H303N94O166P23	4.8
876.225995	9	16728492.0	a25-G	5.14	0.54	C234H290N94O171P24	8.2
1228.042909	7	37593450.0	a26+CMCT	2.08	0.32	C262H331N104O181P25	2.1
868.711935	10	17517315.0	a27	1.27	0.25	C258H318N106O187P26	0.5
1465.216151	6	25730400.0	a27+CMCT-G	1.04	0.34	C267H338N104O187P26	1.8
1426.016814	6	39562391.0	a27-A	2.1	0.33	C253H313N101O187P26	2.4
1503.366484	6	14440871.0	a28	1.0	0.11	C268H330N111O193P27	0.1
1014.807488	9	16013132.0	a28+CMCT-A	-5.03	0.32	C277H350N109O194P27	0.9
1302.761776	7	15339674.0	a28+CMCT-G	-0.06	0.14	C277H350N109O193P27	0.1
1478.193468	6	14531056.0	a28-G	2.29	0.07	C263H325N106O192P27	0.1
1266.879162	7	28894621.0	a28-G	2.36	0.22	C263H325N106O192P27	0.6
1596.072059	6	26971919.0	a29+CMCT	0.15	0.49	C291H367N117O201P28	8.1
1348.619849	7	68151287.0	a29+CMCT-A	-3.2	0.28	C286H362N112O201P28	2.5
1838.234264	5	29002872.0	a29-A	-1.38	0.44	C272H337N109O200P28	5.3
1059.131185	9	24477527.0	a30-A	-2.27	0.26	C282H349N114O207P29	0.8
1586.54103	6	24705813.0	a30-G	1.78	0.48	C282H349N114O206P29	6.7
1409.031946	7	24455589.0	a31-G	-4.64	0.29	C292H361N119O213P30	1.0
1535.642592	7	28639879.0	a33+CMCT-G	-4.54	0.42	C325H409N129O228P32	4.3
1281.404999	9	235278722.0	a35+CMCT	-2.66	0.06	C349H438N142O242P34	1.0
1424.829706	8	52556593.0	a35+CMCT-A	0.81	0.12	C344H433N137O242P34	0.4
1139.661141	10	14970877.0	a35+CMCT-A	-0.21	0.28	C344H433N137O242P34	0.6
1393.425108	8	9942637.0	a35-A	-2.49	0.26	C330H408N134O241P34	0.3
1304.73797	9	29815405.0	a36+CMCT-A	-2.29	0.39	C354H445N142O249P35	3.3
1675.515208	7	24029707.0	a36+CMCT-G	-6.97	0.43	C354H445N142O248P35	3.9
1276.83116	9	168049404.0	a36-A	1.01	0.18	C340H420N139O248P35	2.3
1391.977082	9	116446794.0	a38+CMCT	-1.44	0.05	C378H474N155O263P37	0.4
1768.399629	7	19988587.0	a38+CMCT-G	1.65	0.53	C373H469N150O262P37	8.9
1347.283825	9	56857457.0	a38-G	-0.68	0.3	C359H444N147O261P37	2.5
689.088203	1	55286771.0	c02	0.89	0.05	C20H24N10O14P2	0.2
538.03829	1	12462483.0	c02-G	0.2	0.16	C15H19N5O13P2	0.1
995.11284	1	112417354.0	c03	-0.06	0.1	C29H35N12O22P3	0.7
649.574119	2	189097308.0	c04	1.03	0.1	C38H47N15O29P4	1.1
802.586998	2	491264075.0	c05	1.11	0.06	C47H58N17O37P5	2.0
975.109643	2	425466854.0	c06	-0.18	0.06	C57H70N22O44P6	1.7
649.73749	3	15414517.0	c06	0.05	0.26	C57H70N22O44P6	0.5
899.584953	2	35351585.0	c06-G	-0.18	0.16	C52H65N17O43P6	0.4
1147.630946	2	236376126.0	c07	-2.26	0.07	C67H82N27O51P7	1.1
764.752678	3	64944826.0	c07	-0.77	0.07	C67H82N27O51P7	0.3
1072.104509	2	19407848.0	c07-G	-4.03	0.45	C62H77N22O50P7	3.9
1320.154056	2	56431819.0	c08	-2.42	0.25	C77H94N32O58P8	1.5
879.770222	3	78758380.0	c08	1.3	0.11	C77H94N32O58P8	0.5
829.418818	3	38302433.0	c08-G	-0.55	0.09	C72H89N27O57P8	0.2
1472.678964	2	180421987.0	c09	0.72	0.05	C86H106N35O65P9	0.7
981.450037	3	349478623.0	c09	0.54	0.04	C86H106N35O65P9	1.2
1598.276953	2	21747383.0	c09+CMCT	-0.52	0.38	C100H131N38O66P9	2.2
1397.148236	2	20600224.0	c09-G	-3.55	0.48	C81H101N30O64P9	5.6
931.09889	3	34973755.0	c09-G	-0.87	0.13	C81H101N30O64P9	0.3
1096.464883	3	257885127.0	c10	-0.4	0.05	C96H118N40O72P10	0.9
1046.115674	3	51750022.0	c10-G	0.15	0.16	C91H113N35O71P10	0.6
1198.146797	3	450315070.0	c11	0.88	0.02	C105H130N43O79P11	1.2
1231.531865	3	18507918.0	c11+CMCT-G	2.16	0.32	C114H150N41O79P11	1.0
1147.794145	3	34946991.0	c11-G	-1.57	0.07	C100H125N38O78P11	0.2
1307.82789	3	465667636.0	c12	-1.55	0.03	C115H142N48O85P12	1.4
980.621293	4	439715371.0	c12	0.68	0.02	C115H142N48O85P12	1.2
1894.71791	2	19721828.0	c12-A	-1.77	0.49	C110H137N43O85P12	5.9
946.857814	4	25404159.0	c12-A	0.86	0.32	C110H137N43O85P12	1.4
942.857204	4	48276691.0	c12-G	-1.13	0.2	C110H137N43O84P12	0.8
1422.844727	3	128637450.0	c13	-0.71	0.09	C125H154N53O92P13	0.7
1066.882907	4	74257793.0	c13	0.4	0.1	C125H154N53O92P13	0.4
1524.527803	3	682937356.0	c14	1.08	0.03	C134H166N56O99P14	2.1
1143.14356	4	253276616.0	c14	0.66	0.03	C134H166N56O99P14	0.8
914.314192	5	79014413.0	c14	1.54	0.07	C134H166N56O99P14	0.4
1608.261897	3	33333314.0	c14+CMCT	1.54	0.41	C148H191N59O100P14	4.5
1474.179747	3	101283020.0	c14-G	2.3	0.05	C129H161N51O98P14	0.4
1639.536352	3	91849881.0	c15	-3.43	0.09	C144H178N61O106P15	0.5
1229.402694	4	99893292.0	c15	-1.6	0.14	C144H178N61O106P15	0.9
983.320651	5	45951695.0	c15	-1.65	0.23	C144H178N61O106P15	1.0
1191.638883	4	21546516.0	c15-G	-2.87	0.28	C139H173N56O105P15	0.8
1741.544491	3	62014695.0	c16	-3.4	0.12	C153H189N63O114P16	0.5
1305.907943	4	257625296.0	c16	-2.33	0.04	C153H189N63O114P16	0.9
1044.529193	5	158453054.0	c16	1.78	0.01	C153H189N63O114P16	0.4
1382.170787	4	349037157.0	c17	-0.38	0.04	C162H201N66O121P17	1.2
1105.535333	5	258523029.0	c17	-0.23	0.08	C162H201N66O121P17	1.3
921.111682	6	32678988.0	c17	-0.11	0.3	C162H201N66O121P17	1.5
1444.972837	4	38458852.0	c17+CMCT	1.1	0.07	C176H226N69O122P17	0.2
1881.94306	3	29387317.0	c17+CMCT-A	-1.52	0.36	C171H221N64O122P17	2.4
1344.410941	4	69152477.0	c17-G	1.48	0.11	C157H196N61O120P17	0.5
1075.324752	5	44730556.0	c17-G	-0.89	0.17	C157H196N61O120P17	0.5
1464.429307	4	219342045.0	c18	-3.5	0.03	C172H213N71O127P18	0.7
1171.343707	5	148253588.0	c18	-2.04	0.06	C172H213N71O127P18	0.6
975.953799	6	97825190.0	c18	-0.07	0.11	C172H213N71O127P18	0.6
953.442171	6	29415735.0	c18-A	-2.74	0.21	C167H208N66O127P18	0.5
1426.678143	4	36721242.0	c18-G	4.25	0.18	C167H208N66O126P18	0.5
1546.694878	4	73026803.0	c19	-1.74	0.13	C182H225N76O133P19	0.6
