m/z,z,I,Res.
209.82152,,2154348,114660
215.83339,,2173008,255799
216.45599,,2242253,165269
216.99671,,2268334,253902
219.01438,,2193829,175285
220.22824,,2254495,154148
226.8555,,2747609,156744
227.30453,,2247701,191490
227.82735,,2188355,233991
232.35702,,2214826,251253
234.7636,,2340017,227217
235.47111,,2299482,253815
235.86486,,2163224,144211
238.93317,,2256144,172806
239.4833,,2316082,199798
244.26887,,2335584,203710
245.57029,,2144573,102807
246.86507,,2226637,188931
249.4479,,2250746,81469
251.22951,,2184085,215157
257.98196,,2143777,189984
259.24265,,2245137,182307
259.91421,,2204761,195398
260.38835,,2193742,158403
261.25288,,2294859,185375
262.42878,,2227938,216287
263.13612,,2232224,138518
264.20884,,2199331,155375
264.94692,,2479776,194437
265.91609,,2205056,167378
266.0877,,2324237,165422
269.85706,,2232313,171820
271.32873,,2458470,176701
274.00578,,2595962,153505
274.49236,,2287190,184488
278.65149,,2396781,144496
278.94606,,2140998,173503
279.12693,,2670666,172800
281.93722,,2189865,155967
285.63407,,2256413,180706
286.02539,,2168774,59900
286.51351,,2294582,191290
287.01666,,2252499,128922
287.40231,,2232268,162149
288.10201,,2363530,147713
288.39443,,2761946,160201
289.22977,,2216874,188326
289.73482,,2212596,148901
290.63355,,2143324,161350
291.6024,,2452767,80122
292.8112,,2393065,100142
293.55716,,2331528,119646
295.12134,,2148958,143696
296.11508,,2375077,180649
296.14817,,2175116,151039
296.15484,,3671504,216477
296.18809,,6154463,184345
296.22147,,7195293,193379
296.2547,,5002716,204763
296.28789,,2657963,196456
297.31383,,2174178,144706
297.95466,,2593774,162951
298.17665,,2175204,160974
298.35112,,2316403,172641
300.20792,,2154392,160866
301.9637,,2346728,130223
302.92745,,2286989,159968
303.4971,,2194021,135956
305.84897,,2219900,155120
306.99228,,2215492,140031
307.08686,,2328460,133344
309.53301,,2212364,78857
309.63759,,2324359,107262
311.55342,,2230159,190223
313.18455,,2451240,140689
315.6127,,2137810,165986
315.92289,,2218640,62660
316.2919,,2212088,126773
316.30802,,2264724,158028
316.85765,,2397451,137489
316.91267,,2263343,96314
317.38537,,2317874,96618
317.53678,,2190388,136029
318.27174,,2153851,108975
319.18848,,2228500,103242
321.91992,,2149647,91436
323.38759,,2203966,137288
323.86747,,2351337,184935
323.88874,,2442883,154849
324.41398,,2263757,149761
324.76354,,2272493,134865
325.14802,,2515756,128214
326.26087,,2241426,202965
326.27199,,2267831,68614
328.06198,,2819402,125437
330.53115,,2194161,140877
331.53626,,2298873,133548
332.20903,,2322586,154329
339.34804,,2302929,150714
339.78772,,2360475,48279
340.21817,,2164766,122322
340.30707,,2170651,134563
340.599,,2436450,97723
340.77854,,2624861,84716
341.55305,,2250591,151836
342.02734,,2243805,123773
342.39186,,2169578,49477
342.73606,,2376597,83387
343.09165,,2563851,143695
343.15794,,2272258,106721
344.45093,,2176286,172476
344.56088,,2187417,121962
345.50423,,2179949,104300
346.09393,,2261638,145075
348.78325,,2459033,158400
349.21698,,2293430,112271
349.41324,,2377846,140680
349.78218,,2350548,112649
350.14155,,2205917,118128
351.64226,,2438043,140046
352.42103,,2381978,82124
352.4639,,2220037,126975
352.50692,,2349803,99854
353.97397,,2584656,111270
354.01669,,2480249,123507
356.14311,,2201383,141927
357.26187,,2392611,101766
358.40596,,2332885,111470
360.75389,,2581029,141944
361.44923,,2282933,160726
362.05835,,2379416,113662
362.78736,,2280660,100638
363.53357,,2185288,90583
365.62297,,2728602,144212
366.67433,,2416408,105293
367.9202,,2600508,161133
371.5646,,2440853,92827
372.64865,,2328199,69721
372.90318,,2200169,120081
373.44807,,2289043,127497
373.70851,,2336064,88207
374.09156,,2161939,140267
374.31744,,2227389,105631
376.01142,,2488113,75766
376.91429,,2234502,99951
377.99989,,2260930,132789
378.29932,,2476790,124830
380.31183,,2259849,97959
381.59483,,2173809,129756
382.49673,,2426684,130906
382.66747,,2264131,66874
383.23495,,2524672,107435
383.44934,,2291658,111913
383.50853,,2174147,125637
383.6144,,2348623,100022
385.76031,,2557558,116233
385.9527,,2594738,117056
386.6666,,2503810,117246
387.19226,,2175002,145161
387.70956,,2212968,63586
388.1896,,2376319,109945
389.33202,,2577516,124082
389.72609,,2475456,144113
391.51368,,2176029,148156
392.17482,,2263244,55958
393.2731,,2169151,118410
394.65683,,2192891,130400
396.45477,,2514240,122746
396.5274,,2366596,95350
397.4814,,2257537,145866
397.52552,,2180536,134030
397.91323,,2159171,137729
398.07103,,2235899,97652
398.27285,,2203113,101585
398.61245,,2221654,123712
399.24337,,2297809,137605
401.1329,,2372084,145275
401.44024,,2300677,128509
401.84137,,2262208,100274
402.33284,,2292020,97823
402.51087,,2291451,147414
402.68936,,2166226,86457
404.10505,,2291489,124619
406.27015,,2377550,127785
407.64594,,2220139,121898
409.39861,,2917535,65259
409.75628,,2798762,85114
411.93367,,2527928,121860
412.69358,,2201340,82511
412.87145,,2275092,100515
