m/z,z,I,Res.
250.05308,,2495691,193243
281.59627,,2533069,217228
284.73215,,2640102,144149
291.60251,,2437373,201488
296.14632,,3686518,230401
296.17958,,4610677,217456
296.21285,,4630596,185044
296.24627,,2980610,244379
297.48563,,2558022,198462
302.57137,,2506974,143167
309.98167,,2607874,176767
323.4053,,2701209,96877
324.92601,,2591830,175301
340.64897,,2423258,157569
344.0403,,2575511,188787
344.46037,,2461728,168007
350.16152,,2430634,191321
367.55941,,2576090,99062
378.84362,,2474254,102208
389.97418,,2568315,156414
392.43528,,2432407,114984
409.58608,,2827397,96487
418.92237,,2584970,129502
419.42224,,2695477,154921
427.46663,,2492575,124201
431.94615,,2488107,119604
434.91935,,2861818,105072
440.9727,,2491892,100010
453.24617,,2857682,104831
460.64755,,2662880,124994
460.75201,,2563488,67266
460.83652,,2622882,70383
464.86754,,2638929,111858
466.80207,,2473212,152904
483.98664,,2545211,122378
484.13887,,2824326,106721
484.21832,,2498806,127560
495.51577,,2749731,118788
495.67692,,2634969,110748
495.93787,,2807315,92713
501.9818,,2510052,120048
502.52678,,2528243,107132
521.70865,,2635245,113578
527.58433,,2628520,124902
529.51809,,2877953,62514
531.02078,,2594714,118156
547.1195,,8813202,114278
548.12271,,2606862,113842
548.63373,,2556565,90915
551.96117,,2575190,89591
556.21855,,2679087,70986
564.16021,,3426285,90280
567.15651,,3128186,95939
572.48651,,2705360,95883
573.1211,,2684610,113622
575.01533,,2982159,102165
575.35964,,2658065,99716
577.85057,,2593005,92920
579.93082,,2726185,95498
583.36933,,2730109,105236
584.17859,,2720547,85572
587.83948,,2673302,91638
595.54833,,2679386,69375
595.97381,,2671271,66589
598.1006,,3320838,111681
601.51582,,2652882,92695
606.48211,,2657525,83214
609.06725,,2754175,89080
609.28307,,3042198,87452
610.05943,,2839492,65190
612.44473,,2767485,115269
619.68994,,2670107,97636
620.14725,,2958029,70269
626.57248,,2682373,74057
627.0858,,7349638,107147
630.7241,,2688603,80861
630.96917,,2655416,94157
633.2395,,2660944,87492
633.26763,,2698761,71647
642.08103,,2843371,63079
642.31193,,2702454,74247
643.51517,,2645418,73267
645.84619,,2639896,85610
649.08098,,3368607,94941
650.06659,,2819959,111032
662.22723,,3051664,92673
663.01852,,2680010,66243
669.08438,,12632225,82442
669.58679,,5760703,96724
670.08773,,2711579,111988
676.83169,,3056504,65529
682.0461,,2858628,75795
683.60834,,2695954,85088
685.82065,,3009428,88528
687.19576,,2740032,67735
689.01059,,2690875,44816
689.08788,,13424886,85069
690.09202,,3153722,95133
692.05756,,2751769,101219
692.78452,,2902179,72740
693.97972,,2955885,75270
694.63796,,3355455,74359
695.57091,,2754430,89965
697.21405,,2871503,90778
698.28007,,2830651,66342
702.23416,,2732539,55259
703.3714,,3139710,75174
707.68934,,2688321,81828
708.82399,,2725186,52103
709.36043,,2749588,35554
721.79651,,2911543,106339
722.43994,,2908530,53101
723.96795,,2722857,76840
724.15145,,2843494,89420
726.89124,,2829133,104737
731.0407,,2745619,81275
734.79388,,2945295,31608
735.26644,,2776422,81404
737.43662,,3052152,60476
737.92097,,3136932,62934
738.17242,,2890809,83642
741.23199,,3465597,59823
741.86528,,3212086,70197
746.57008,,3061502,58546
747.29136,,2745480,50177
751.1129,,17355830,77928
751.61499,,8647664,83975
752.11676,,3563179,91824
758.17174,,2858280,61962
759.2456,,2749643,36560
760.1519,,2720150,113860
762.29576,,3742450,63009
762.74719,,2963492,75323
763.42866,,2800433,57240
763.7838,,3116440,64129
765.26803,,2795705,67814
769.03918,,2741871,93801
770.07003,,2868854,76608
770.1104,,2790061,55532
774.18535,,2752506,79046
774.88625,,2861110,42426
775.58294,,3066031,71215
776.27932,,2758775,52320
780.31728,,4111479,65858
791.09626,,8531854,82510
791.59886,,4586858,74119
797.05851,,3316447,72274
800.16476,,2876285,42113
801.04492,,2999972,26781
801.7078,,3047442,75975
801.92448,,3402730,55218
802.77667,,3542911,75748
