m/z,z,I,Res.
220.67464,,6509000,574622
228.69558,,6196694,558098
235.73555,,6202952,590995
236.00995,,6533090,540904
238.363,,6573645,468667
247.281,,6871680,483819
252.33227,,6241300,494372
257.09044,,12022995,277038
257.10085,,6615824,581925
257.10955,,9111694,900474
257.11017,,38873228,405929
257.1292,,10745480,605758
257.12998,,68421768,405414
257.13136,,8133384,704262
257.14078,,9022533,367955
257.14987,,79960960,446427
257.15513,,7000705,428829
257.16086,,7303999,480449
257.16985,,71718272,439196
257.18089,,6719001,522817
257.18987,,50050424,445115
257.20993,,34777200,354711
257.23021,,19400042,323675
257.25047,,9935525,369120
257.56958,,7530121,580250
257.90945,,6955783,217889
257.92937,,7483330,257578
258.06167,,6324027,608198
267.55706,,6631760,251155
275.53951,,6357159,368718
288.24368,,6769639,479062
307.99922,,6322904,444438
308.57469,,6233822,354710
308.86404,,6192450,302815
313.37629,,6733154,296505
314.75005,,6160140,541609
316.80179,,6243991,395913
316.83532,,6259291,452031
320.98902,,6228061,385637
323.45422,,6313379,323518
325.07865,,8730940,457010
326.91651,,6306802,240711
332.58245,,6991990,381553
336.84542,,6358319,358908
337.58908,,7942243,325407
338.80779,,6283378,331687
338.93794,,6354347,328289
343.05881,,6418921,374253
344.03968,,9138157,321015
347.76511,,6611001,185877
354.2027,,6504325,391105
354.77714,,6224557,385376
356.39816,,6218366,408398
357.49231,,6323421,318511
358.73396,,6164431,294340
361.42741,,6356304,261739
367.59131,,6229940,329870
368.66619,,6208004,321271
370.80252,,7067868,252256
371.40426,,7263083,375844
376.52683,,6362329,333753
378.38489,,6257451,229404
379.33491,,6232264,270192
379.46527,,6327147,277628
381.91708,,6416936,343825
385.3004,,6573768,339562
386.24586,,6385499,318991
386.34902,,6311017,285943
391.23195,,7033772,269631
393.31102,,6262858,186746
398.72827,,6894014,307820
399.37012,,6358599,346242
400.94459,,6442186,309574
401.12417,,6474865,370538
403.03043,,6237389,358014
405.12117,,6467487,372096
405.70286,,6207876,101652
406.07143,,6746879,328999
406.18037,,6401723,251107
408.29282,,6315165,309632
408.83642,,6219484,340560
409.39068,,6387251,219136
411.10365,,6446254,316658
411.38898,,6498481,345776
411.92278,,6444920,304531
412.26878,,6648557,365256
413.5116,,6637777,357222
415.21974,,6360366,302931
419.7629,,6686690,412496
419.91809,,6496526,306654
420.15951,,6760417,332925
420.61735,,6734170,410669
421.26699,,7637836,308725
423.50052,,25518970,219145
423.5274,,6426031,522773
423.56277,,7174645,384168
423.56454,,10433528,318193
423.63198,,10025598,380626
423.66482,,6911168,411393
423.99892,,16403288,281240
424.0297,,8034197,532420
424.06196,,8464853,467711
424.09052,,6649358,300514
424.09578,,6933017,281312
424.15983,,6923673,332788
424.19744,,7824100,451542
424.23182,,7389480,361925
424.26425,,9572200,335922
424.26818,,8479601,412437
424.33219,,7886832,230625
424.73108,,6885901,168333
424.79335,,6636682,284483
424.79664,,7653265,472310
424.79806,,12512659,257819
424.83002,,7484372,364590
424.8319,,19883480,284693
424.86044,,6624273,477557
424.86701,,19007006,169967
424.89897,,14863454,154910
424.91989,,6260872,282833
424.93188,,12186783,370668
425.21458,,6531543,343979
425.2337,,7813885,325033
425.39732,,7954502,412245
425.66684,,6880868,422622
425.69197,,6443159,350163
425.97402,,6258383,240932
426.01264,,6308893,109022
426.09859,,7415755,345985
426.132,,7104527,778460
426.13308,,6869009,426985
426.16621,,6428756,199226
426.19974,,6444695,479857
426.99835,,6355434,235366
427.06194,,6302187,210104
427.33242,,6305938,416247
427.79893,,7735625,405510
427.80025,,7743307,384624
