spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0907_rev_meth10sb.csv
limit_error:	6.5	2020-07-21
noise_limit:	4550000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1259.866758	10	1365479912.0	RNA	0.87	0.07	C373H463N155O270P38	5.8
1284.985486	10	270762635760.0	RNA+CMCT	-0.12	0.03	C387H488N158O271P38	803.3
1271.48005	10	14912268784.0	RNA+CMCT-A	-0.11	0.02	C382H483N153O271P38	41.8
1273.87892	10	11033882194.0	RNA+CMCT-C	-1.88	0.07	C383H483N155O270P38	50.3
1272.079115	10	2236615738.0	RNA+CMCT-C-H2O	-0.89	0.02	C383H481N155O269P38	6.3
1814.539081	7	21378997.0	RNA+CMCT-G	-4.35	0.49	C382H483N153O270P38	6.3
1269.881997	10	13886498864.0	RNA+CMCT-G	1.03	0.02	C382H483N153O270P38	36.8
1409.090031	9	26110461.0	RNA+CMCT-G-H2O	0.52	0.49	C382H481N153O269P38	7.7
1268.082711	10	649950096.0	RNA+CMCT-G-H2O	2.42	0.02	C382H481N153O269P38	1.7
1283.186531	10	6004533626.0	RNA+CMCT-H2O	1.52	0.05	C387H486N158O270P38	21.5
1246.357346	10	128460446.0	RNA-A	-2.3	0.14	C368H458N150O270P38	1.1
1248.760871	10	137225440.0	RNA-C	-0.37	0.11	C369H458N152O269P38	0.9
1244.758137	10	108266195.0	RNA-G	-2.07	0.11	C368H458N150O269P38	0.7
1397.961813	9	47210599.0	RNA-H2O	0.24	0.09	C373H461N155O269P38	0.3
888.19932	2	11608483.0	a05+CMCT	-3.94	0.49	C61H82N20O35P4	3.4
859.602576	2	59542466.0	a06-G	0.73	0.1	C52H64N17O40P5	0.4
1233.247692	2	33734689.0	a07+CMCT	-2.08	0.25	C81H106N30O49P6	0.9
1032.12588	2	60166551.0	a07-G	0.21	0.19	C62H76N22O47P6	0.9
1280.171212	2	238068167.0	a08	-2.25	0.05	C77H93N32O55P7	0.9
1204.648635	2	57059568.0	a08-G	-0.62	0.1	C72H88N27O54P7	0.3
1255.22097	3	37590198.0	a11+CMCT	-2.06	0.18	C119H154N46O77P10	0.5
