spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0907revMeth_9.csv
limit_error:	6.5	2020-07-13
noise_limit:	3080000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1399.964926	9	859505230.0	RNA	1.62	0.05	C373H463N155O270P38	4.8
1427.879025	9	139515969193.0	RNA+CMCT	3.7	0.02	C387H488N158O271P38	553.3
1412.868391	9	7737642296.0	RNA+CMCT-A	0.5	0.03	C382H483N153O271P38	33.8
1415.531773	9	7278896507.0	RNA+CMCT-C	-2.7	0.1	C383H483N155O270P38	64.2
1413.536413	9	2232073271.0	RNA+CMCT-C-H2O	1.41	0.03	C383H481N155O269P38	9.7
1411.093884	9	9547265490.0	RNA+CMCT-G	2.42	0.01	C382H483N153O270P38	34.3
1585.349757	8	28114518.0	RNA+CMCT-G-H2O	-1.02	0.13	C382H481N153O269P38	0.3
1409.097609	9	532343650.0	RNA+CMCT-G-H2O	5.9	0.08	C382H481N153O269P38	3.9
1425.879516	9	4439645868.0	RNA+CMCT-H2O	4.88	0.05	C387H486N158O270P38	23.4
1387.627243	9	89807676.0	RNA-C	1.97	0.14	C369H458N152O269P38	1.2
1556.197256	8	27296366.0	RNA-G	-3.51	0.33	C368H458N150O269P38	2.4
1383.183804	9	96699971.0	RNA-G	3.19	0.16	C368H458N150O269P38	1.6
2097.449736	6	22217604.0	RNA-H2O	1.85	0.49	C373H461N155O269P38	9.7
1220.18961	1	8265332.0	a04	1.44	0.05	C38H46N15O26P3	0.0
812.67475	2	7396674.0	a05+CMCT-G	-4.14	0.45	C56H77N15O34P4	2.2
859.601357	2	41732270.0	a06-G	-0.69	0.07	C52H64N17O40P5	0.3
1032.12492	2	36263664.0	a07-G	-0.72	0.1	C62H76N22O47P6	0.3
1405.776506	2	24607685.0	a08+CMCT	1.8	0.29	C91H118N35O56P7	1.4
1204.647304	2	35627756.0	a08-G	-1.73	0.23	C72H88N27O54P7	1.2
1019.457017	3	15776653.0	a10-G	-3.0	0.32	C91H112N35O68P9	1.3
1396.194586	3	325162881.0	a13	3.08	0.13	C125H153N53O89P12	4.0
1345.838697	3	31953785.0	a13-G	-1.33	0.23	C120H148N48O88P12	1.0
