m/z,z,I,Res.
241.37686,,2789165,211295
249.11128,,3097132,372109
249.13893,,3939921,355699
249.16741,,7446901,305231
249.19604,,8141890,303408
249.22472,,5802334,295492
249.25343,,2993122,298921
250.42689,,5131102,276637
250.45505,,8761330,209330
250.48346,,17145486,320178
250.48449,,4176094,321733
250.51207,,18122346,334910
250.54075,,14549639,330145
250.54164,,3904551,415458
250.56957,,7473396,262829
250.59837,,3842488,266040
250.61183,,2841198,224899
287.25818,,2744609,140596
288.41797,,2867356,252871
313.31033,,2829473,200948
340.11832,,2760381,211672
344.03938,,5494828,241322
350.16921,,2909004,174231
355.80959,,2771842,155739
377.4713,,2860348,104227
399.78064,,2970905,112521
404.7855,,3151584,220282
410.26048,,3267591,184862
410.78533,,2918885,177423
413.07071,,2924930,264168
414.39958,,3405428,151253
415.18039,,7293041,226369
415.22812,,11385368,205415
415.26355,,8281141,109130
415.27587,,11636031,216317
415.31038,,9496187,173804
415.32355,,8114150,205766
415.35737,,6980226,175676
415.37137,,7270670,233630
417.31779,,14644692,196992
417.32558,,7799643,230187
417.3735,,12640258,213325
417.42119,,16361258,205282
417.46894,,18237010,208881
417.51668,,14721145,214371
417.56436,,11454113,228343
417.61208,,7285577,218354
418.11853,,3220848,258943
418.16952,,3167387,249886
424.00584,,3033432,182868
424.69664,,2835732,145562
426.34246,,3154623,121157
430.79603,,3182306,186643
438.94138,,2842467,110440
444.97999,,2787952,127656
448.81075,,2827148,168783
452.74336,,2879472,195794
453.78148,,2917476,105733
456.01339,,2891402,122224
459.54197,,2953502,141811
463.7124,,2801243,106244
468.47688,,2950199,159003
468.69719,,3033157,135996
471.39718,,2809491,190197
479.42097,,3049361,117420
483.43397,,2994229,126914
484.30243,,3122885,138567
485.93306,,2899537,110187
486.48629,,3082978,123365
487.99437,,3331085,96203
492.70704,,2955937,175837
493.60543,,3140005,214034
509.28897,,2873264,128412
511.45748,,3270774,143630
527.09097,,3014063,88516
527.9818,,2955976,160240
538.03774,,6413555,150873
540.05327,,3210222,102215
540.67156,,3204834,123273
547.114,,4455144,206016
547.11936,,43000048,132145
548.12299,,10047871,144231
551.64397,,3004600,139828
557.06682,,3165135,115549
558.80853,,3527232,121816
560.7889,,3092668,119025
560.95744,,3796637,123122
562.59872,,3394094,104435
563.2141,,3170220,126237
563.55412,,2978255,67674
568.13771,,3117815,130825
569.60524,,3196331,139201
