spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1203_0x_2_134_7.csv
limit_error:	6.5	2020-03-19
noise_limit:	2040000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1251.738781	7	51186094229.57	RNA+2DEPC+H2O-CO	-1.69	0.04	C261H330N102O192P26	374.3
1238.586768	7	1747172866.689996	RNA+2DEPC+H2O-CO-2Eth	0.56	0.02	C257H318N102O190P26	10.5
1707.413238	5	9763702.82	RNA+2DEPC+H2O-CO-2Eth-A	0.42	0.44	C252H313N97O190P26	3.9
1219.293002	7	116891625.75318033	RNA+2DEPC+H2O-CO-2Eth-A	0.35	0.08	C252H313N97O190P26	1.3
1222.721871	7	57410183.81377704	RNA+2DEPC+H2O-CO-2Eth-C	-0.73	0.2	C253H313N99O189P26	2.1
1220.144811	7	17113744.11	RNA+2DEPC+H2O-CO-2Eth-C-H2O	-4.11	0.45	C253H311N99O188P26	7.6
1217.007784	7	184878525.03982845	RNA+2DEPC+H2O-CO-2Eth-G	0.16	0.05	C252H313N97O189P26	1.5
1232.445855	7	1484561330.3184211	RNA+2DEPC+H2O-CO-A	-1.25	0.05	C256H325N97O192P26	12.0
1235.875982	7	795758021.44	RNA+2DEPC+H2O-CO-C	-1.29	0.05	C257H325N99O191P26	6.4
1233.302958	7	114702469.60923205	RNA+2DEPC+H2O-CO-C-H2O	-1.36	0.06	C257H323N99O190P26	1.0
1245.161466	7	27345563376.46	RNA+2DEPC+H2O-CO-Eth	-1.63	0.04	C259H324N102O191P26	200.0
1225.87095	7	1073683118.5570401	RNA+2DEPC+H2O-CO-Eth-A	0.78	0.04	C254H319N97O191P26	7.9
1226.729319	7	80302877.00157653	RNA+2DEPC+H2O-CO-Eth-C-H2O	1.7	0.09	C255H317N99O189P26	1.0
1223.584586	7	3012233034.2071795	RNA+2DEPC+H2O-CO-Eth-G	-0.34	0.02	C254H319N97O190P26	18.0
1221.010663	7	166496344.4779197	RNA+2DEPC+H2O-CO-Eth-G-H2O	-1.15	0.13	C254H317N97O189P26	3.0
1242.590783	7	802962312.923938	RNA+2DEPC+H2O-CO-Eth-H2O	0.19	0.06	C259H322N102O190P26	7.2
1230.161043	7	3205685823.54	RNA+2DEPC+H2O-CO-G	-1.11	0.03	C256H325N97O191P26	21.2
1227.590675	7	321237434.638934	RNA+2DEPC+H2O-CO-G-H2O	0.98	0.07	C256H323N97O190P26	3.2
1249.167426	7	1084707227.39	RNA+2DEPC+H2O-CO-H2O	-0.43	0.05	C261H328N102O191P26	8.8
1242.877888	7	280835286.8201535	RNA+DEPC	-0.49	0.19	C259H324N102O190P26	9.2
1241.455393	7	138916130.03765824	RNA+DEPC+H2O-CO	2.6	0.18	C258H326N102O190P26	4.1
1222.15932	7	93765028.84946336	RNA+DEPC+H2O-CO-A	0.53	0.12	C253H321N97O190P26	1.5
1225.585511	7	136510266.94401073	RNA+DEPC+H2O-CO-C	-2.72	0.25	C254H321N99O189P26	8.2
1219.873008	7	29415968.35263517	RNA+DEPC+H2O-CO-G	-0.55	0.24	C253H321N97O189P26	1.6
1217.292917	7	92520708.12505351	RNA+DEPC+H2O-CO-G-H2O	-6.43	0.12	C253H319N97O188P26	1.5
1224.442841	7	52751111.53367164	RNA+DEPC-C-H2O	0.49	0.14	C255H317N99O188P26	1.0
1221.298768	7	79761122.1508863	RNA+DEPC-G	-1.02	0.11	C254H319N97O189P26	1.2
1218.721627	7	62910804.997522056	RNA+DEPC-G-H2O	-4.47	0.12	C254H317N97O188P26	1.0
1240.304256	7	170198242.52985835	RNA+DEPC-H2O	-1.05	0.11	C259H322N102O189P26	2.5
1415.67605	6	24204380.18	RNA-A	-2.93	0.4	C251H315N97O188P26	6.5
1213.2978	7	653314701.9565427	RNA-A	1.26	0.07	C251H315N97O188P26	6.4
1216.723175	7	99876793.22531393	RNA-C	-2.69	0.24	C252H315N99O187P26	5.4
1211.010262	7	177927199.02938768	RNA-G	-0.84	0.06	C251H315N97O187P26	1.6
1108.161848	1	28579965.75	a04-G	1.15	0.11	C34H42N13O24P3	0.4
859.11027	2	6125942.68	a06-G	0.38	0.23	C52H65N18O39P5	0.3
1031.63405	2	36012530.63580773	a07-A	0.38	0.11	C62H77N23O46P6	0.5
1348.681408	2	34898490.58175027	a09-A	0.63	0.14	C81H101N31O59P8	0.7
1146.830437	3	16636116.472521609	a11+2DEPC+H2O-CO-A	-0.88	0.3	C104H135N37O77P10	1.6
1243.498304	3	24325412.43	a12+2DEPC+H2O-CO-G	-7.99	0.45	C113H146N39O84P11	10.7
898.866327	4	8419470.39	a12-G	1.6	0.36	C108H136N39O80P11	1.5
1407.84279	3	19363985.00931182	a14-A	0.01	0.07	C126H159N44O96P13	0.2
1055.631274	4	12791247.22	a14-A	0.96	0.31	C126H159N44O96P13	1.4
