m/z,z,I,Res.
252.31288,,2733776,186117
266.82142,,2933798,210520
292.80627,,3312075,261128
292.83916,,9086825,294411
292.87235,,11678632,264832
292.90561,,11089510,269320
292.93904,,7942437,272200
292.97275,,4917699,271465
293.00654,,3771313,298952
293.94582,,2737415,248910
298.06696,,2730018,225523
305.19476,,2747707,273524
312.8184,,3047260,279574
325.56053,,2776934,178465
327.70561,,2748605,225276
342.46956,,3329636,177671
343.0674,,2859406,188342
356.8966,,2894571,195469
364.47428,,2855997,198480
370.29408,,3062974,234576
377.99215,,2774418,223916
380.03219,,2928994,178414
386.54946,,3077658,235797
389.18693,,3391881,163366
390.53399,,2881615,202074
392.2717,,2744811,174216
398.65203,,2927484,186548
399.92327,,2824312,160085
402.239,,2939129,185014
402.79706,,2949134,126017
404.46712,,3006423,165470
406.08903,,3040738,138914
413.20666,,2767968,152661
415.13473,,2918662,165671
416.02249,,2960911,188516
417.32404,,2841135,71678
417.48376,,2800282,183502
420.12136,,2793489,171512
422.18285,,2871821,137385
427.00494,,2825582,204692
432.7644,,2899602,171571
433.74596,,2875539,202285
441.16523,,2824686,190777
446.04888,,2851633,169431
446.39167,,2827944,131823
447.74897,,2826619,102535
448.9974,,2907549,152538
449.04467,,3297220,144941
449.05027,,2978312,200565
450.99987,,3126360,147375
451.37378,,3183312,169609
456.24126,,2855136,188061
458.37162,,2855431,111277
462.80078,,2810720,176297
463.45414,,2865569,194716
463.80851,,2862234,159208
467.58766,,2849511,136888
470.36245,,2817605,121049
473.65564,,2853308,150565
474.26272,,3253324,153584
474.44633,,2827862,132993
475.33295,,3067307,156700
475.35692,,2892705,138622
475.59035,,3033401,155856
480.01395,,2911236,129668
484.00962,,2823126,189206
486.29299,,3109989,136101
488.05554,,10076874,218476
489.57158,,3152650,153277
492.54087,,2853247,121918
492.71669,,3350476,155174
493.37653,,2934420,145031
495.05698,,2957133,123099
500.3952,,2865039,150103
504.28822,,3111009,119890
509.62985,,3019073,144131
510.34834,,3441090,122673
511.10527,,2870572,123221
511.37888,,2982725,120435
511.41112,,2960102,146372
512.51631,,2868472,161478
513.23359,,3375484,101994
517.89743,,2926881,105549
522.40438,,3001836,193021
524.38988,,3654485,142792
524.48462,,3021721,97618
527.58741,,2953703,90741
530.30413,,3013994,122370
532.14975,,2886775,165150
