spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1311_1_6_new.csv
limit_error:	6.5	2020-04-06
noise_limit:	2020000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1421.668876	6	71327840.0	RNA	-2.22	0.1	C253H315N91O194P26	1.0
1756.455006	5	10736849.0	RNA+CMCT	4.07	0.45	C267H340N94O195P26	4.8
1463.535013	6	48558915610.0	RNA+CMCT	-2.49	0.03	C267H340N94O195P26	324.5
1441.02689	6	1698114464.0	RNA+CMCT-A	-1.87	0.02	C262H335N89O195P26	10.3
1445.031833	6	509628079.0	RNA+CMCT-C	0.26	0.03	C263H335N91O194P26	3.4
1438.361847	6	3393464501.0	RNA+CMCT-G	-1.33	0.01	C262H335N89O194P26	18.6
1435.359478	6	233670733.0	RNA+CMCT-G-H2O	-1.76	0.03	C262H333N89O193P26	1.6
1460.534718	6	1421844733.0	RNA+CMCT-H2O	-1.49	0.02	C267H338N94O194P26	8.6
1396.498364	6	9847833.0	RNA-G	0.88	0.55	C248H310N86O193P26	11.9
706.589548	2	14994820.0	a05-G	0.35	0.12	C43H53N15O32P4	0.2
1538.782506	2	17259369.0	a09+CMCT	-0.68	0.14	C99H129N35O64P8	0.3
1701.57403	3	29099770.0	a16+CMCT-A	-3.83	0.29	C158H204N49O116P15	2.6
1811.263527	3	22796617.0	a17+CMCT-A	-0.66	0.16	C168H216N54O122P16	0.6
1516.965371	4	43606148.0	a19+CMCT-G	-0.53	0.04	C187H239N61O136P18	0.3
1458.157335	4	18467162.0	a19-A	-5.23	0.17	C173H214N58O136P18	0.5
1603.224072	4	35619423.0	a20+CMCT-G	-2.47	0.12	C197H251N66O143P19	0.6
1534.607601	5	54999843.0	a24+CMCT-A	-2.89	0.08	C234H298N79O172P23	0.6
1600.418252	5	45538296.0	a25+CMCT-G	-2.68	0.11	C244H310N84O178P24	0.7
1941.976674	4	9734780.0	a25-A	-1.08	0.5	C230H285N81O178P24	7.2
689.087888	1	28937280.0	c02	0.43	0.05	C20H24N10O14P2	0.2
538.03825	1	3741417.0	c02-G	0.12	0.16	C15H19N5O13P2	0.1
994.129662	1	87236325.0	c03	0.79	0.03	C29H36N13O21P3	0.6
1300.152871	1	34593317.0	c04	-1.01	0.03	C38H47N15O29P4	0.2
649.572441	2	45572002.0	c04	-1.56	0.05	C38H47N15O29P4	0.4
1149.09838	1	4615840.0	c04-G	-5.56	0.3	C33H42N10O28P4	0.5
822.09687	2	83745919.0	c05	-0.36	0.08	C48H59N20O36P5	0.9
746.57217	2	4743167.0	c05-G	-0.4	0.37	C43H54N15O35P5	0.9
974.618726	2	152113081.0	c06	0.94	0.03	C57H71N23O43P6	1.0
899.09254	2	7311907.0	c06-G	-0.63	0.23	C52H66N18O42P6	0.4
449.04467	4	4506317.0	c06-G	3.91	0.43	C52H66N18O42P6	1.6
1127.629138	2	68601661.0	c07	-1.18	0.08	C66H82N25O51P7	0.8
1253.231499	2	44088917.0	c07+CMCT	0.92	0.05	C80H107N28O52P7	0.4
1280.642562	2	73360400.0	c08	-0.43	0.05	C75H93N27O59P8	0.6
853.426283	3	22916853.0	c08	-0.04	0.1	C75H93N27O59P8	0.3
1406.244217	2	103233937.0	c08+CMCT	0.87	0.04	C89H118N30O60P8	0.8
1453.169987	2	23623748.0	c09	2.17	0.27	C85H105N32O66P9	1.7
968.443373	3	41928013.0	c09	1.28	0.07	C85H105N32O66P9	0.4
1578.767389	2	26763407.0	c09+CMCT	0.43	0.36	C99H130N35O67P9	4.8
1503.240788	2	13755409.0	c09+CMCT-G	-0.81	0.4	C94H125N30O66P9	3.7
1070.450983	3	67401830.0	c10	0.39	0.09	C94H116N34O74P10	0.8
1731.780244	2	31185784.0	c10+CMCT	0.51	0.07	C108H141N37O75P10	0.3
1154.186152	3	20478778.0	c10+CMCT	2.02	0.33	C108H141N37O75P10	2.7
