spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1311_1_6.csv
limit_error:	6
noise_limit:	1600000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1421.669232	6	65417971.36	RNA	-1.97	0.1	C253H315N91O194P26	
1463.535906	6	39189362802.87	RNA+CMCT	-1.88	0.03	C267H340N94O195P26	
1438.027534	6	2285171225.07	RNA+CMCT-A-H2O	-0.2	0.29	C262H333N89O194P26	
1438.363029	6	2916733857.92	RNA+CMCT-G	-0.51	0.01	C262H335N89O194P26	
1435.360585	6	205073861.37	RNA+CMCT-G-H2O	-0.99	0.03	C262H333N89O193P26	
2191.311404	4	9471434.03	RNA+CMCT-H2O	1.1	0.44	C267H338N94O194P26	
1460.536231	6	1244817744.0	RNA+CMCT-H2O	-0.46	0.02	C267H338N94O194P26	
1396.166012	6	8978046.64	RNA-A-H2O	3.45	0.41	C248H308N86O193P26	
1418.662883	6	7937517.98	RNA-H2O	-5.21	0.46	C253H313N91O193P26	
1471.39287	1	7250141.25	a04+CMCT	3.57	0.14	C52H71N18O27P3	
706.589088	2	14671240.84	a05-G	-0.3	0.12	C43H53N15O32P4	
1413.17759	2	8068239.06	a09	-4.3	0.31	C85H104N32O63P8	
1538.780337	2	9834604.95	a09+CMCT	-2.09	0.32	C99H129N35O64P8	
1566.206073	2	22953213.54	a10	6.23	0.37	C94H115N34O71P9	
1701.575198	3	25101840.99	a16+CMCT-A	-3.14	0.29	C158H204N49O116P15	
1329.166996	4	47586965.29	a17	4.96	0.09	C159H196N56O121P16	
1856.289626	3	52208510.35	a17+CMCT	3.63	0.21	C173H221N59O122P16	
1811.269435	3	21171125.04	a17+CMCT-A	2.61	0.17	C168H216N54O122P16	
1405.674993	4	54248429.63	a18	5.88	0.3	C168H207N58O129P17	
1958.299561	3	30600312.28	a18+CMCT	4.21	0.3	C182H232N61O130P17	
1491.934892	4	105119360.83	a19	4.23	0.19	C178H219N63O136P18	
1516.965852	4	41497620.26	a19+CMCT-G	-0.21	0.06	C187H239N61O136P18	
1454.161763	4	11279104.04	a19-G	-3.07	0.48	C173H214N58O135P18	
1603.224793	4	32162754.15	a20+CMCT-G	-2.02	0.11	C197H251N66O143P19	
1068.486011	6	83083902.2	a20+CMCT-G	2.88	0.59	C197H251N66O143P19	
1870.02476	4	82414407.99	a23+CMCT	3.96	0.29	C229H291N79O166P22	
1495.81596	5	46127978.45	a23+CMCT	2.36	0.36	C229H291N79O166P22	
1468.804633	5	9958074.7	a23+CMCT-A	2.11	0.37	C224H286N74O166P22	
1832.253364	4	14441906.74	a23+CMCT-G	-0.89	0.5	C224H286N74O165P22	
1534.608109	5	50381779.81	a24+CMCT-A	-2.56	0.08	C234H298N79O172P23	
1851.721725	4	7783364.16	a24-G	1.91	0.52	C220H273N76O170P23	
1600.419772	5	34350538.2	a25+CMCT-G	-1.73	0.15	C244H310N84O178P24	
1941.975688	4	8431361.49	a25-A	-1.59	0.52	C230H285N81O178P24	
344.03895	1	2743590.75	c01	-3.51	0.12	C10H12N5O7P1	
689.088152	1	26504758.89	c02	0.81	0.05	C20H24N10O14P2	
538.03762	1	3788765.84	c02-G	-1.05	0.16	C15H19N5O13P2	
994.129454	1	79369427.5	c03	0.58	0.03	C29H36N13O21P3	
1300.153294	1	32097724.93	c04	-0.68	0.03	C38H47N15O29P4	
649.572628	2	41543598.6	c04	-1.27	0.04	C38H47N15O29P4	
1149.09794	1	4538020.41	c04-G	-5.95	0.3	C33H42N10O28P4	
822.096333	2	74193726.54	c05	-1.02	0.06	C48H59N20O36P5	
746.57084	2	4465336.33	c05-G	-2.18	0.37	C43H54N15O35P5	
974.618043	2	138270670.66	c06	0.24	0.01	C57H71N23O43P6	
899.09297	2	6261330.5	c06-G	-0.15	0.16	C52H66N18O42P6	
1127.628905	2	61293557.73	c07	-1.38	0.04	C66H82N25O51P7	
1253.232523	2	40740631.36	c07+CMCT	1.74	0.04	C80H107N28O52P7	
1280.642104	2	61526421.04	c08	-0.79	0.1	C75H93N27O59P8	
853.426017	3	20830721.4	c08	-0.35	0.1	C75H93N27O59P8	
1406.244945	2	91729331.43	c08+CMCT	1.38	0.04	C89H118N30O60P8	
1453.174003	2	17651740.33	c09	4.93	0.28	C85H105N32O66P9	
968.443162	3	40809859.19	c09	1.07	0.07	C85H105N32O66P9	
1578.768928	2	23974458.25	c09+CMCT	1.4	0.37	C99H130N35O67P9	
1503.240925	2	12535393.59	c09+CMCT-G	-0.72	0.39	C94H125N30O66P9	
1070.449001	3	56811811.13	c10	-1.46	0.09	C94H116N34O74P10	
1731.782936	2	23727825.49	c10+CMCT	2.06	0.17	C108H141N37O75P10	
1020.098645	3	8138236.93	c10-G	-2.07	0.29	C89H111N29O73P10	
1172.130971	3	100373762.52	c11	-0.02	0.03	C103H128N37O81P11	
1884.306668	2	17045419.24	c11+CMCT	3.53	0.32	C117H153N40O82P11	
1255.864526	3	49645816.27	c11+CMCT	0.22	0.1	C117H153N40O82P11	
1121.782337	3	8563270.1	c11-G	1.02	0.39	C98H123N32O80P11	
1273.80901	3	118217857.39	c12	-1.89	0.05	C112H140N40O88P12	
1357.542227	3	75165218.83	c12+CMCT	-1.8	0.06	C126H165N43O89P12	
1375.818167	3	76683230.44	c13	-1.23	0.06	C121H151N42O96P13	
1459.547383	3	41231985.13	c13+CMCT	-3.92	0.31	C135H176N45O97P13	
1325.467605	3	6213921.43	c13-G	-1.85	0.59	C116H146N37O95P13	
1477.832204	3	48188728.34	c14	2.65	0.11	C130H162N44O104P14	
1561.561432	3	108298813.42	c14+CMCT	-0.07	0.03	C144H187N47O105P14	
1427.47602	3	13165808.3	c14-G	-1.73	0.33	C125H157N39O103P14	
1579.842872	3	23206048.25	c15	3.89	0.2	C139H173N46O112P15	
1184.624504	4	8111585.71	c15	-1.03	0.45	C139H173N46O112P15	
1663.567422	3	177698335.04	c15+CMCT	-1.54	0.02	C153H198N49O113P15	
1613.222953	3	21575578.85	c15+CMCT-G	1.72	0.21	C148H193N44O112P15	
1689.522906	3	9194681.05	c16	1.19	0.41	C149H185N51O118P16	
1266.890673	4	26006117.06	c16	1.44	0.14	C149H185N51O118P16	
1773.262367	3	146168630.13	c16+CMCT	4.63	0.04	C163H210N54O119P16	
1722.909211	3	20124530.41	c16+CMCT-G	2.82	0.19	C158H205N49O118P16	
1349.155125	4	24954545.49	c17	2.33	0.16	C159H197N56O124P17	
899.093476	6	6915467.95	c17	-6.03	0.67	C159H197N56O124P17	
1882.941541	3	77328176.26	c17+CMCT	1.71	0.07	C173H222N59O125P17	
1411.951318	4	41244101.99	c17+CMCT	-0.43	0.12	C173H222N59O125P17	
1832.587535	3	15207271.14	c17+CMCT-G	-0.54	0.3	C168H217N54O124P17	
1984.94537	3	66387942.49	c18+CMCT	-0.7	0.08	C182H233N61O133P18	
1488.455093	4	167394717.0	c18+CMCT	-2.12	0.01	C182H233N61O133P18	
1934.603277	3	10600161.78	c18+CMCT-G	3.27	0.45	C177H228N56O132P18	
1450.696493	4	17004515.39	c18+CMCT-G	0.41	0.37	C177H228N56O132P18	
2099.962574	3	19806466.71	c19+CMCT	0.0	0.32	C192H245N66O140P19	
1574.720174	4	349386116.97	c19+CMCT	0.04	0.03	C192H245N66O140P19	
1536.956923	4	43012723.86	c19+CMCT-G	-0.54	0.14	C187H240N61O139P19	
2131.242677	3	9614791.96	c20	-1.15	0.53	C188H232N68O146P20	
1660.981591	4	148908664.32	c20+CMCT	-0.23	0.05	C202H257N71O147P20	
1623.217287	4	27269851.1	c20+CMCT-G	-1.43	0.22	C197H252N66O146P20	
1737.489825	4	160571469.96	c21+CMCT	0.88	0.04	C211H268N73O155P21	
1699.724649	4	30405928.4	c21+CMCT-G	-0.76	0.1	C206H263N68O154P21	
1400.553025	5	6888901.59	c22	-3.18	0.58	C206H255N73O161P22	
1813.752208	4	160462270.01	c22+CMCT	1.98	0.03	C220H280N76O162P22	
1450.797117	5	30212944.44	c22+CMCT	-0.22	0.13	C220H280N76O162P22	
1775.991902	4	35091798.27	c22+CMCT-G	3.18	0.11	C215H275N71O161P22	
1461.571675	5	90416822.64	c23	4.06	0.16	C215H267N76O168P23	
1890.006202	4	67716313.21	c23+CMCT	-1.45	0.12	C229H292N79O169P23	
1511.802554	5	205788596.41	c23+CMCT	-2.08	0.05	C229H292N79O169P23	
1481.595469	5	25385078.35	c23+CMCT-G	-0.23	0.11	C224H287N74O168P23	
1431.360098	5	13111935.92	c23-G	2.96	0.37	C210H262N71O167P23	
1577.615783	5	283422429.88	c24+CMCT	-0.26	0.04	C239H304N84O175P24	
1547.408398	5	46261952.58	c24+CMCT-G	1.35	0.12	C234H299N79O174P24	
1646.628708	5	191822467.88	c25+CMCT	1.84	0.04	C249H316N89O182P25	
1616.421273	5	32057255.74	c25+CMCT-G	3.38	0.14	C244H311N84O181P25	
1423.026275	6	110672766.85	c26+CMCT	1.31	0.09	C258H327N91O190P26	
628.06918	1	7330613.53	w02	-1.11	0.18	C18H25N5O16P2	
973.118668	1	20767476.83	w03	1.39	0.08	C28H37N10O23P3	
803.10062	2	3882045.19	w05	-1.62	0.4	C47H61N18O36P5	
1108.635437	2	35465426.62	w07	0.2	0.08	C65H84N23O51P7	
1281.165859	2	13790535.36	w08	5.41	0.49	C75H96N28O58P8	
1453.684244	2	10430675.3	w09	1.1	0.65	C85H108N33O65P9	
1180.477332	3	30259672.65	w11	-1.09	0.08	C104H131N40O79P11	
1349.405782	4	23476209.32	w17	-3.05	0.22	C159H200N57O123P17	
1883.275598	3	69059400.11	w17+CMCT	-3.51	0.18	C173H225N60O124P17	
1412.204566	4	18321050.61	w17+CMCT	-3.73	0.32	C173H225N60O124P17	
