m/z,z,I,Res.
221.64265,,3419010,237988
249.20744,,3453145,278872
272.81415,,3669641,248768
292.80489,,7417235,253703
292.83791,,19269040,271948
292.87104,,29675054,264547
292.90428,,28231980,259356
292.93771,,18475306,269554
292.97133,,10989737,271941
293.00505,,5681287,262459
298.19234,,3728642,241774
299.78713,,3365447,195122
305.24704,,4037870,297619
312.22148,,3443806,173776
324.91179,,4001243,258839
325.9195,,3737794,78587
327.07043,,3460367,217647
329.38003,,3616069,221085
331.41718,,3477656,207502
344.03817,,8739957,251102
356.66385,,3388628,174633
360.69815,,3355002,184309
362.37608,,3452815,188970
363.45308,,3390757,144602
366.04365,,4803728,187143
377.51052,,3368875,137138
378.31134,,3515823,157007
379.31875,,3416556,170686
380.10231,,3668339,177208
383.97264,,3599930,187379
392.4672,,3446747,174859
397.17246,,3439516,156226
399.03512,,3460701,124172
411.29598,,3600815,169773
411.38658,,3495449,172929
411.59795,,3574133,143849
412.70431,,3465839,171297
418.89594,,3476098,185194
421.57198,,3628267,181756
422.50076,,3462756,210665
426.3832,,3620732,152080
429.89409,,4104985,148709
434.26134,,3601023,129130
443.74772,,3896907,118006
444.1057,,3559354,174804
447.75666,,3517122,166784
448.61854,,3724395,115904
450.91762,,3544459,134319
451.99724,,3700939,180852
456.35017,,3623726,147204
458.07056,,6513678,194804
463.21286,,4055121,136264
463.26445,,3760107,132557
467.91781,,3573276,170752
469.11328,,4064637,136207
470.83954,,3493389,164105
471.37235,,3689210,223796
472.72694,,3791719,138110
475.64898,,3558231,153620
478.81973,,3573461,227728
481.8791,,4764469,148872
481.93626,,4045626,176066
482.04508,,3965182,206578
482.30036,,3749043,136169
484.52657,,3554884,159251
486.91656,,3673137,123417
487.99953,,16689893,223151
488.05514,,23858474,212553
488.27766,,10098748,247002
496.62727,,3601456,180605
499.44702,,3516068,195273
500.34385,,3520921,142397
503.74618,,3574297,109447
503.86601,,3711795,133910
504.16678,,3487286,146177
504.71578,,3500312,119516
504.87244,,3664641,137433
505.00036,,3564902,114250
508.56331,,3501605,165840
508.63192,,3501822,214151
509.84992,,3882860,142268
515.39833,,3743175,162234
516.97682,,3659206,79945
519.51239,,3751741,197726
519.58127,,3754072,180350
519.7205,,3783313,158335
520.29484,,4132234,126712
520.55395,,3837794,126368
524.19246,,3723403,148989
525.09676,,4241026,161095
525.26429,,4314018,187160
526.17995,,3551722,171684
526.61403,,3740783,40539
532.86531,,3544163,112769
534.51758,,3763323,101835
536.75747,,3602067,151569
538.03739,,9945818,138132
539.2798,,3654705,134813
540.57983,,3637272,162942
541.42695,,3570905,147906
543.58296,,3630482,149447
546.92755,,3843432,128347
547.03342,,3648761,130082
548.10261,,52390256,141396
549.1061,,11612620,166348
549.40037,,4229919,109334
549.85574,,3769166,109418
552.37318,,4035399,168616
554.75774,,3846158,117997
558.71845,,4011725,133724
559.98354,,4085016,122910
568.08074,,3606231,103465
568.92926,,3607909,70447
568.9439,,3640506,156593
572.70796,,3638001,162175
572.94006,,3883760,149556
577.2284,,3654450,112992
577.25127,,3627921,158389
579.46001,,3921191,176438
579.51102,,3624589,84868
579.92926,,3675242,141746
580.00832,,3628375,119256
581.25863,,4256201,147200
582.7616,,3648850,149281
583.82536,,3625858,103212
588.03159,,3836757,106700
589.03706,,4107600,131363
590.94318,,3626972,67336
591.44596,,3968288,70020
591.51963,,4156740,118038
591.91069,,4420888,113578
595.61407,,3716811,79445
599.88766,,3666572,134290
603.06459,,3805440,122458
604.48553,,3793139,130936
608.84409,,3702069,113186
610.04462,,3721139,116547
610.05891,,6482183,114447
610.5974,,50687572,126929
611.04259,,10736546,138089
611.09927,,20945134,140652
611.17872,,3928247,83846
611.60105,,4828551,157488
612.13841,,3719952,107339
619.4545,,3701302,99578
625.86699,,3822920,126949
626.0462,,3985007,136026
628.06916,,25246108,126266
629.0731,,6284710,146459
633.20609,,4166080,72409
634.07004,,8895880,127810
634.38389,,3792469,101472
635.92772,,3707444,123576
638.21018,,3950249,89058
639.87519,,3743564,102008
641.88775,,3684563,96916
643.00766,,3921919,109726
643.72339,,3787571,111724
647.86583,,3705291,115370
649.08042,,9510992,121224
649.57304,,90700968,120772
650.06508,,13044985,113332
650.07526,,37151492,127430
650.42696,,3753455,125146
650.57675,,8555620,139697
650.58116,,9705833,268473
651.08224,,3931270,55876
651.40467,,4096139,96636
652.33567,,3954539,118372
653.16483,,4148685,83825
653.87542,,3978463,134461
654.13211,,3695633,128229
654.1591,,3962609,87774
658.68565,,3943265,95867
659.08674,,3845815,91227
664.12107,,4038670,110685
664.50268,,3863429,120885
664.9842,,4070317,119229
665.53067,,4016927,153058
669.27777,,3847226,156202
669.45282,,3978367,90397
670.96026,,3745305,120585
671.05999,,3768456,138275
671.10726,,3908221,115882
671.18877,,3767448,101580
672.17431,,3931234,137931
674.89871,,3888163,96129
675.33989,,3724167,115765
677.17212,,4253269,133792
678.12487,,3743325,91976
681.81655,,3843088,126696
684.63346,,4300009,111981
686.45367,,4515281,69906
689.08762,,62575084,111470
689.47729,,4996921,89990
