spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1311_2_6.csv
limit_error:	6.5	2020-04-06
noise_limit:	2100000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1421.671558	6	133116389.0	RNA	-0.34	0.1	C253H315N91O194P26	1.7
1463.533746	6	115819656308.0	RNA+CMCT	-3.36	0.04	C267H340N94O195P26	822.8
1441.026575	6	3891025478.0	RNA+CMCT-A	-2.08	0.02	C262H335N89O195P26	22.6
1445.029846	6	1221130618.0	RNA+CMCT-C	-1.11	0.02	C263H335N91O194P26	7.1
1438.361116	6	8242349429.0	RNA+CMCT-G	-1.84	0.01	C262H335N89O194P26	43.4
1435.360348	6	643016755.0	RNA+CMCT-G-H2O	-1.15	0.05	C262H333N89O193P26	5.0
1460.534348	6	3397388459.0	RNA+CMCT-H2O	-1.75	0.02	C267H338N94O194P26	19.8
1396.501936	6	16197696.0	RNA-G	3.44	0.41	C248H310N86O193P26	4.7
458.07056	1	7726450.0	a02-G	-2.82	0.16	C15H18N5O10P1	0.2
914.16343	1	8939439.0	a03	0.96	0.28	C29H35N13O18P2	0.7
1220.18609	1	6020918.0	a04	-1.44	0.34	C38H46N15O26P3	0.9
706.589378	2	57937858.0	a05-G	0.11	0.04	C43H53N15O32P4	0.4
934.632458	2	10323194.0	a06	-2.34	0.18	C57H70N23O40P5	0.3
1413.18552	2	44041039.0	a09	1.31	0.46	C85H104N32O63P8	20.9
1337.653255	2	27068031.0	a09-G	-4.27	0.15	C80H99N27O62P8	0.6
891.437047	3	23127692.0	a09-G	0.18	0.16	C80H99N27O62P8	0.5
2074.320945	2	14515992.0	a13+CMCT-G	-2.16	0.28	C130H170N40O93P12	1.1
1451.174564	3	16309899.0	a14	1.18	0.4	C130H161N44O101P13	4.2
1701.575166	3	101378917.0	a16+CMCT-A	-3.16	0.07	C158H204N49O116P15	1.0
1213.135671	4	17260056.0	a16-A	1.67	0.31	C144H179N46O115P15	1.8
1772.547758	3	23461441.0	a17	-1.05	0.42	C159H196N56O121P16	7.5
1811.265152	3	72356036.0	a17+CMCT-A	0.24	0.05	C168H216N54O122P16	0.6
1805.93486	3	7603162.0	a17+CMCT-G	0.99	0.47	C168H216N54O121P16	4.0
1874.562664	3	6699184.0	a18	2.46	0.57	C168H207N58O129P17	9.5
1958.292747	3	56690985.0	a18+CMCT	0.73	0.18	C182H232N61O130P17	1.6
1907.950517	3	10905561.0	a18+CMCT-G	4.72	0.36	C177H227N56O129P17	1.9
2073.318288	3	10889070.0	a19+CMCT	5.38	0.42	C192H244N66O137P18	3.5
1520.97235	4	30169069.0	a19+CMCT-A	4.9	0.27	C187H239N61O137P18	2.1
2022.956105	3	18769714.0	a19+CMCT-G	-0.6	0.35	C187H239N61O136P18	3.0
1516.968316	4	127898431.0	a19+CMCT-G	1.41	0.02	C187H239N61O136P18	0.7
1458.157897	4	31164221.0	a19-A	-4.85	0.3	C173H214N58O136P18	3.0
1454.161504	4	39510940.0	a19-G	-3.25	0.3	C173H214N58O135P18	3.8
1603.222946	4	117248706.0	a20+CMCT-G	-3.17	0.08	C197H251N66O143P19	1.2
1836.250716	4	31836802.0	a23+CMCT-A	-1.64	0.35	C224H286N74O166P22	5.0
1468.803485	5	33810410.0	a23+CMCT-A	1.33	0.2	C224H286N74O166P22	1.2
1465.601772	5	107298973.0	a23+CMCT-G	-0.53	0.42	C224H286N74O165P22	34.1
1534.607418	5	136324550.0	a24+CMCT-A	-3.01	0.09	C234H298N79O172P23	1.6
1531.412406	5	12335592.0	a24+CMCT-G	-0.42	0.53	C234H298N79O171P23	11.8
1600.417414	5	70087821.0	a25+CMCT-G	-3.2	0.15	C244H310N84O178P24	1.5
344.03817	1	9925955.0	c01	-5.78	0.12	C10H12N5O7P1	0.2
689.087653	1	82430349.0	c02	0.09	0.06	C20H24N10O14P2	0.7
538.03739	1	11871155.0	c02-G	-1.47	0.16	C15H19N5O13P2	0.3
994.13007	1	249182679.0	c03	1.2	0.05	C29H36N13O21P3	2.0
843.07986	1	7759906.0	c03-G	0.46	0.08	C24H31N8O20P3	0.1
1300.152906	1	103427606.0	c04	-0.98	0.02	C38H47N15O29P4	0.6
649.575683	2	163344924.0	c04	3.43	0.07	C38H47N15O29P4	1.6
1149.10379	1	11940953.0	c04-G	-0.86	0.3	C33H42N10O28P4	1.1
822.097207	2	250129186.0	c05	0.04	0.04	C48H59N20O36P5	1.8
746.572657	2	20234484.0	c05-G	0.26	0.13	C43H54N15O35P5	0.4
974.618909	2	415851618.0	c06	1.12	0.03	C57H71N23O43P6	2.7
899.094602	2	22392190.0	c06-G	1.66	0.1	C52H66N18O42P6	0.3
1127.629012	2	186306920.0	c07	-1.29	0.04	C66H82N25O51P7	1.3
1253.231426	2	119238048.0	c07+CMCT	0.86	0.02	C80H107N28O52P7	0.7
1052.107158	2	19397320.0	c07-G	1.33	0.24	C61H77N20O50P7	1.0
1280.641315	2	175534296.0	c08	-1.41	0.05	C75H93N27O59P8	1.4
853.42638	3	66308135.0	c08	0.07	0.12	C75H93N27O59P8	1.0
1406.244375	2	219879537.0	c08+CMCT	0.98	0.03	C89H118N30O60P8	1.4
1205.115187	2	34349615.0	c08-G	-2.68	0.1	C70H88N22O58P8	0.4
1453.166762	2	38805015.0	c09	-0.05	0.06	C85H105N32O66P9	0.3
968.44242	3	123785791.0	c09	0.3	0.03	C85H105N32O66P9	0.8
1578.768714	2	92760813.0	c09+CMCT	1.27	0.03	C99H130N35O67P9	0.6
1052.178159	3	16132683.0	c09+CMCT	2.64	0.33	C99H130N35O67P9	2.1
1503.246962	2	38082149.0	c09+CMCT-G	3.29	0.17	C94H125N30O66P9	1.0
918.093248	3	23402029.0	c09-G	1.0	0.26	C80H100N27O65P9	1.5
1606.17088	2	22864432.0	c10	-5.36	0.14	C94H116N34O74P10	0.4
1070.448882	3	190180596.0	c10	-1.57	0.05	C94H116N34O74P10	1.5
1731.781173	2	66953763.0	c10+CMCT	1.04	0.08	C108H141N37O75P10	0.7
1154.184854	3	79151887.0	c10+CMCT	0.9	0.06	C108H141N37O75P10	0.7
1020.100296	3	19903672.0	c10-G	-0.46	0.19	C89H111N29O73P10	0.6
1172.13035	3	297940192.0	c11	-0.55	0.01	C103H128N37O81P11	1.6
1884.306762	2	64359533.0	c11+CMCT	3.58	0.14	C117H153N40O82P11	1.2
1255.863916	3	131458433.0	c11+CMCT	-0.26	0.04	C117H153N40O82P11	0.9
1121.781808	3	32526889.0	c11-G	0.55	0.16	C98H123N32O80P11	0.8
1273.809986	3	363460118.0	c12	-1.13	0.03	C112H140N40O88P12	2.3
2036.811483	2	45112280.0	c12+CMCT	-4.5	0.14	C126H165N43O89P12	0.9
1357.542349	3	201015118.0	c12+CMCT	-1.71	0.03	C126H165N43O89P12	1.3
1307.19062	3	16278138.0	c12+CMCT-G	-3.25	0.32	C121H160N38O88P12	1.9
1223.462476	3	47754328.0	c12-G	0.7	0.11	C107H135N35O87P12	0.7
1375.816434	3	205891765.0	c13	-2.49	0.03	C121H151N42O96P13	1.3
1459.549902	3	155952617.0	c13+CMCT	-2.2	0.21	C135H176N45O97P13	6.1
1409.209038	3	13628213.0	c13+CMCT-G	4.07	0.46	C130H171N40O96P13	6.5
1325.468048	3	35819740.0	c13-G	-1.51	0.06	C116H146N37O95P13	0.3
1477.832313	3	132724470.0	c14	2.72	0.03	C130H162N44O104P14	0.9
1561.559902	3	303859545.0	c14+CMCT	-1.05	0.04	C144H187N47O105P14	2.2
1511.205459	3	35307027.0	c14+CMCT-G	-4.16	0.19	C139H182N42O104P14	1.1
1427.473793	3	24020997.0	c14-G	-3.29	0.23	C125H157N39O103P14	1.1
1579.839871	3	53301168.0	c15	1.99	0.08	C139H173N46O112P15	0.6
1184.626263	4	36050877.0	c15	0.45	0.15	C139H173N46O112P15	0.8
1663.56453	3	537933101.0	c15+CMCT	-3.28	0.02	C153H198N49O113P15	3.1
1613.223585	3	82033897.0	c15+CMCT-G	2.11	0.08	C148H193N44O112P15	0.9
1689.521161	3	23137473.0	c16	0.16	0.21	C149H185N51O118P16	0.9
1266.890563	4	74049466.0	c16	1.35	0.07	C149H185N51O118P16	0.7
1773.258594	3	440772649.0	c16+CMCT	2.51	0.02	C163H210N54O119P16	2.6
1722.907181	3	76123199.0	c16+CMCT-G	1.64	0.04	C158H205N49O118P16	0.5
1349.154382	4	70794447.0	c17	1.78	0.06	C159H197N56O124P17	0.6
1882.939815	3	214150297.0	c17+CMCT	0.79	0.04	C173H222N59O125P17	1.5
1411.950886	4	106098112.0	c17+CMCT	-0.74	0.1	C173H222N59O125P17	1.4
1832.586976	3	34690955.0	c17+CMCT-G	-0.84	0.2	C168H217N54O124P17	1.2
1984.942996	3	181542209.0	c18+CMCT	-1.9	0.05	C182H233N61O133P18	1.4
1488.455051	4	485880424.0	c18+CMCT	-2.15	0.02	C182H233N61O133P18	2.8
1934.599341	3	25777543.0	c18+CMCT-G	1.23	0.17	C177H228N56O132P18	0.7
1450.694308	4	63589292.0	c18+CMCT-G	-1.1	0.06	C177H228N56O132P18	0.6
2099.95554	3	48949707.0	c19+CMCT	-3.35	0.17	C192H245N66O140P19	1.3
1574.719691	4	896845902.0	c19+CMCT	-0.27	0.02	C192H245N66O140P19	5.2
1536.955887	4	144802812.0	c19+CMCT-G	-1.22	0.07	C187H240N61O139P19	1.4
1660.978646	4	434127824.0	c20+CMCT	-2.0	0.03	C202H257N71O147P20	2.8
1623.217315	4	102007826.0	c20+CMCT-G	-1.42	0.06	C197H252N66O146P20	0.9
1560.422806	4	13738866.0	c20-G	2.01	0.58	C183H227N63O145P20	21.6
1737.48797	4	447564410.0	c21+CMCT	-0.19	0.02	C211H268N73O155P21	2.6
1699.723426	4	100237584.0	c21+CMCT-G	-1.48	0.11	C206H263N68O154P21	1.4
1813.749416	4	410540207.0	c22+CMCT	0.44	0.02	C220H280N76O162P22	2.4
1450.79537	5	60760323.0	c22+CMCT	-1.42	0.09	C220H280N76O162P22	0.7
1775.989106	4	98812247.0	c22+CMCT-G	1.6	0.08	C215H275N71O161P22	1.0
1461.568999	5	168284906.0	c23	2.23	0.16	C215H267N76O168P23	4.0
1890.004932	4	201386930.0	c23+CMCT	-2.12	0.05	C229H292N79O169P23	1.6
1511.802806	5	545721541.0	c23+CMCT	-1.91	0.03	C229H292N79O169P23	3.5
1852.239991	4	43533884.0	c23+CMCT-G	-3.56	0.17	C224H287N74O168P23	1.1
1481.593972	5	107970483.0	c23+CMCT-G	-1.24	0.05	C224H287N74O168P23	0.8
1431.359355	5	20443734.0	c23-G	2.44	0.29	C210H262N71O167P23	1.8
1577.617025	5	708588157.0	c24+CMCT	0.52	0.02	C239H304N84O175P24	4.1
1547.409155	5	127435772.0	c24+CMCT-G	1.83	0.08	C234H299N79O174P24	1.4
1646.628227	5	481380179.0	c25+CMCT	1.54	0.02	C249H316N89O182P25	2.8
1616.417615	5	124876856.0	c25+CMCT-G	1.12	0.04	C244H311N84O181P25	0.9
1423.024289	6	346225077.0	c26+CMCT	-0.08	0.08	C258H327N91O190P26	3.7
1397.845002	6	49839562.0	c26+CMCT-G	-3.22	0.19	C253H322N86O189P26	1.6
628.06968	1	32618437.0	w02	-0.31	0.05	C18H25N5O16P2	0.3
973.11688	1	80732857.0	w03	-0.44	0.0	C28H37N10O23P3	0.4
803.102471	2	24804237.0	w05	0.68	0.14	C47H61N18O36P5	0.5
1456.16519	1	10234819.0	w05-G	2.39	0.17	C42H56N13O35P5	0.3
1108.634667	2	130836691.0	w07	-0.5	0.04	C65H84N23O51P7	0.9
1281.163675	2	88157057.0	w08	3.7	0.05	C75H96N28O58P8	0.7
1453.680738	2	22406450.0	w09	-1.32	0.27	C85H108N33O65P9	1.6
1070.79758	3	51347642.0	w10	2.93	0.11	C94H119N35O73P10	0.7
1180.477383	3	106185689.0	w11	-1.04	0.03	C104H131N40O79P11	0.7
1290.158066	3	11608463.0	w12	-3.66	0.48	C114H143N45O85P12	6.7
1475.899587	3	19801739.0	w13+CMCT	-3.31	0.22	C137H179N50O94P13	0.9
1443.831513	3	19658720.0	w14-G	1.15	0.32	C127H160N44O100P14	2.3
1679.918602	3	23327550.0	w15+CMCT	-1.63	0.41	C155H201N54O110P15	6.7
1425.916587	4	60986149.0	w18	0.26	0.11	C168H211N59O131P18	0.9
1934.93357	3	18629154.0	w18+CMCT-G	-3.75	0.2	C177H231N57O131P18	0.7
1474.418991	4	14684724.0	w19-G	2.22	0.36	C173H218N59O137P19	2.6
2151.971224	3	17557886.0	w20+CMCT-G	2.86	0.45	C196H254N64O146P20	7.5
1727.991035	4	38668407.0	w21+CMCT	0.21	0.34	C210H270N71O155P21	5.5
1804.245163	4	115569795.0	w22+CMCT	-3.23	0.1	C219H282N74O162P22	1.5
1766.489934	4	25195852.0	w22+CMCT-G	0.73	0.31	C214H277N69O161P22	2.7
1461.970795	5	224400709.0	w23	1.32	0.13	C215H269N76O168P23	3.9
1431.759169	5	30953900.0	w23-G	0.13	0.17	C210H264N71O167P23	0.8
1523.176834	5	34569408.0	w24	1.91	0.2	C224H280N78O176P24	1.2
1584.186328	5	13753250.0	w25	2.61	0.51	C233H292N81O183P25	10.7
1634.415516	5	99398662.0	w25+CMCT	-4.05	0.08	C247H317N84O184P25	1.1
1419.354231	6	313413140.0	w26+CMCT	-2.99	0.25	C257H329N89O191P26	18.2
1394.178604	6	52427162.0	w26+CMCT-G	-3.57	0.22	C252H324N84O190P26	2.3
548.10291	1	66884441.0	y02	-1.16	0.04	C18H24N5O13P1	0.5
893.151848	1	372541682.0	y03	0.97	0.04	C28H36N10O20P2	2.6
742.10105	1	5826628.0	y03-G	-0.7	0.22	C23H31N5O19P2	0.3
1222.204019	1	291348174.0	y04	0.42	0.04	C38H48N15O26P3	2.1
610.597956	2	83134284.0	y04	-0.26	0.06	C38H48N15O26P3	0.7
763.119435	2	261173946.0	y05	0.89	0.04	C47H60N18O33P4	1.9
915.639657	2	316487799.0	y06	0.28	0.04	C56H72N21O40P5	2.2
1068.652971	2	324492692.0	y07	0.86	0.02	C65H83N23O48P6	1.9
1241.174166	2	711953320.0	y08	-1.29	0.01	C75H95N28O55P7	3.7
827.115119	3	64169830.0	y08	0.44	0.05	C75H95N28O55P7	0.5
1366.774061	2	22563179.0	y08+CMCT	-1.16	0.12	C89H120N31O56P7	0.4
1165.652968	2	29875853.0	y08-G	1.63	0.22	C70H90N23O54P7	1.3
1413.698195	2	311499024.0	y09	-0.91	0.04	C85H107N33O62P8	2.2
942.13023	3	225755337.0	y09	-0.35	0.02	C85H107N33O62P8	1.3
1338.174284	2	28350423.0	y09-G	-0.37	0.13	C80H102N28O61P8	0.5
1566.707501	2	74318375.0	y10	-2.96	0.07	C94H118N35O70P9	0.7
1044.140298	3	242168938.0	y10	1.24	0.02	C94H118N35O70P9	1.4
1692.312573	2	43255812.0	y10+CMCT	0.33	0.08	C108H143N38O71P9	0.5
1491.183754	2	17834318.0	y10-G	-2.47	0.08	C89H113N30O69P9	0.2
1153.824319	3	429636921.0	y11	0.99	0.02	C104H130N40O76P10	2.5
1237.557947	3	38494812.0	y11+CMCT	1.23	0.09	C118H155N43O77P10	0.5
1103.474818	3	36350955.0	y11-G	1.31	0.1	C99H125N35O75P10	0.5
