m/z,z,I,Res.
215.41762,,2326977,138262
228.56016,,2307466,166742
233.59429,,2317332,138720
233.93916,,2356119,156711
235.71521,,2398509,146542
237.98471,,2330701,114179
243.37186,,2367057,176690
244.75016,,2259279,148079
247.9342,,2287045,139318
254.39977,,2749634,168911
258.98983,,2305424,178819
259.52167,,2304569,131649
260.46494,,2411875,134748
268.18752,,2277027,197959
269.81663,,2463291,111821
271.80558,,2686109,101098
274.06309,,3127275,149916
274.5033,,2342286,145209
279.11337,,2613731,163375
280.40753,,2505444,80557
283.25769,,2278545,137342
292.80876,,5447913,145604
292.84172,,13417568,143231
292.87483,,18695838,143545
292.90815,,16586141,142692
292.94166,,13340027,147673
292.97533,,9005610,140010
293.00882,,4624249,152786
293.04244,,2911799,172223
294.03458,,2294329,135547
297.10294,,2384142,106805
299.81853,,2418154,80308
304.84274,,2356413,123993
305.25066,,2509006,154072
306.69942,,2619511,121744
309.16298,,2540736,105300
311.01898,,2349611,101739
317.08327,,2361759,156424
320.56163,,2403662,90611
320.81098,,2322305,99352
324.91514,,3114024,129725
325.72636,,2292190,109774
326.11392,,2550810,104098
326.16679,,2297278,121400
327.0244,,2547034,111049
330.62182,,2244593,82527
331.42032,,2492990,101060
332.51141,,2317144,95728
332.9477,,2277584,81434
333.15731,,2341446,135998
334.35539,,2321125,98723
342.27754,,2321659,119376
344.04143,,4835564,139943
344.45152,,2334540,85051
345.47268,,2309434,108275
347.28992,,2383967,110136
348.2065,,2250523,150490
348.30032,,2288941,125370
348.71226,,2819008,113537
348.71616,,2272345,118020
351.61596,,2522309,108359
355.26253,,2275620,126482
356.43582,,2270587,60993
358.13497,,2270093,132512
363.20947,,2546785,103716
363.29285,,2272354,64725
367.97069,,2289271,44980
370.22325,,2402684,95873
371.86128,,2255905,103450
373.51461,,2851086,76517
373.74346,,2301755,89768
374.07651,,2436382,121825
374.1698,,2235709,83793
374.89784,,2341003,119500
377.35159,,2460814,103277
378.57739,,2352502,115568
384.6671,,3211179,114513
384.77826,,2967348,132439
384.89003,,2425621,118474
386.92148,,2366668,56344
388.9607,,2263319,91608
390.95563,,2354386,78679
393.90008,,2428350,84620
395.73226,,2751962,95340
398.48802,,2268414,96079
399.74405,,2287151,90336
402.63552,,2313825,93524
405.09179,,2285480,80483
407.46641,,2892955,106606
407.79239,,2406662,102372
408.13737,,2612637,50163
412.20769,,2367510,76281
413.17967,,2359207,86690
414.12693,,3221661,102314
414.27159,,2397919,58688
414.91697,,2286536,116564
416.58552,,2289534,88892
416.92705,,2313451,85197
417.1089,,2408204,104242
418.12109,,2486431,87983
418.9644,,2265756,86326
420.44571,,2339256,65719
426.75908,,2860655,90615
426.95934,,2323574,111237
428.95974,,2279706,105774
429.3374,,2397624,59961
432.99738,,2288564,86215
433.64422,,2342399,79784
433.69714,,2442192,80669
434.52084,,2375578,74841
438.51169,,2465405,101684
442.62878,,2800088,90654
443.90403,,2288896,74639
445.26409,,2408031,83957
445.75168,,2497568,81833
447.65554,,2294952,29205
