spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1610_134_6.csv
limit_error:	6
noise_limit:	1810000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1438.191441	6	162502959.14127004	RNA	1.5	0.06	C256H320N102O188P26	1.6
1460.529636	6	13341341217.438984	RNA+2DEPC+H2O-CO	-1.8	0.09	C261H330N102O192P26	181.3
1445.185241	6	627289007.6435808	RNA+2DEPC+H2O-CO-2Eth	0.19	0.06	C257H318N102O190P26	6.3
1422.675708	6	97945622.76749353	RNA+2DEPC+H2O-CO-2Eth-A	-0.13	0.07	C252H313N97O190P26	1.1
1423.676146	6	22815134.423867043	RNA+2DEPC+H2O-CO-2Eth-C-H2O	0.1	0.1	C253H311N99O188P26	0.3
1420.010552	6	253586554.3	RNA+2DEPC+H2O-CO-2Eth-G	0.34	0.04	C252H313N97O189P26	2.1
1417.011261	6	52133198.74957592	RNA+2DEPC+H2O-CO-2Eth-G-H2O	2.08	0.07	C252H311N97O188P26	0.6
1442.183413	6	157555196.06	RNA+2DEPC+H2O-CO-2Eth-H2O	0.14	0.11	C257H316N102O189P26	2.6
1438.023076	6	128346497.43108125	RNA+2DEPC+H2O-CO-A	-0.07	0.1	C256H325N97O192P26	1.9
1452.859467	6	6899948454.43	RNA+2DEPC+H2O-CO-Eth	0.59	0.05	C259H324N102O191P26	62.9
1430.350269	6	391984530.30310357	RNA+2DEPC+H2O-CO-Eth-A	0.51	0.07	C254H319N97O191P26	4.4
1434.348297	6	326166604.85257024	RNA+2DEPC+H2O-CO-Eth-C	-2.17	0.58	C255H319N99O190P26	595.2
1431.347988	6	25117621.470061757	RNA+2DEPC+H2O-CO-Eth-C-H2O	-1.16	0.14	C255H317N99O189P26	0.6
1427.686677	6	1186112890.476732	RNA+2DEPC+H2O-CO-Eth-G	2.07	0.04	C254H319N97O190P26	9.8
1424.684014	6	84734021.54579194	RNA+2DEPC+H2O-CO-Eth-G-H2O	1.44	0.07	C254H317N97O189P26	0.9
1449.860019	6	286524157.9276587	RNA+2DEPC+H2O-CO-Eth-H2O	2.18	0.07	C259H322N102O190P26	3.2
1435.357105	6	548720803.6516994	RNA+2DEPC+H2O-CO-G	-0.18	0.05	C256H325N97O191P26	5.0
1432.356856	6	56988760.89576138	RNA+2DEPC+H2O-CO-G-H2O	0.88	0.13	C256H323N97O190P26	1.2
1457.526505	6	340623839.0605916	RNA+2DEPC+H2O-CO-H2O	-2.74	0.11	C261H328N102O191P26	5.7
1450.195519	6	103049668.53630309	RNA+DEPC	1.88	0.19	C259H324N102O190P26	3.8
1448.529918	6	12972540.759537466	RNA+DEPC+H2O-CO	0.81	0.34	C258H326N102O190P26	2.1
1445.520096	6	150747468.64822027	RNA+DEPC+H2O-CO-H2O	-4.76	0.22	C258H324N102O189P26	7.5
1431.681702	6	28677359.07794539	RNA+DEPC-C	-2.71	0.11	C255H319N99O189P26	0.5
1428.692193	6	32216443.553012818	RNA+DEPC-C-H2O	5.86	0.11	C255H317N99O188P26	0.5
1425.019726	6	27116966.35483348	RNA+DEPC-G	1.28	0.2	C254H319N97O189P26	1.1
1422.010321	6	13056541.084619036	RNA+DEPC-G-H2O	-4.09	0.37	C254H317N97O188P26	2.9
1447.183054	6	38219791.18898884	RNA+DEPC-H2O	-5.52	0.22	C259H322N102O189P26	1.9
1415.679203	6	186428576.9502187	RNA-A	-0.7	0.08	C251H315N97O188P26	2.3
1413.015544	6	51999614.11356831	RNA-G	0.83	0.1	C251H315N97O187P26	0.8
1435.185858	6	355027271.1339811	RNA-H2O	-1.16	0.13	C256H318N102O187P26	7.2
1108.160444	1	19759107.41	a04-G	-0.12	0.13	C34H42N13O24P3	0.4
1414.18296	1	6741969.792109748	a05-G	-2.06	0.37	C43H53N15O32P4	1.5
926.14393	2	4721412.11	a06+2DEPC+H2O-CO-G	5.43	0.46	C57H75N18O43P5	2.6
1031.633127	2	23416669.14	a07-A	-0.52	0.1	C62H77N23O46P6	0.4
1348.682586	2	18952822.11	a09-A	1.5	0.16	C81H101N31O59P8	0.5
1431.844126	3	10921486.785306064	a14+2DEPC+H2O-CO-Eth-G	-3.97	0.09	C129H163N44O98P13	0.1
1407.842445	3	10297063.835601421	a14-A	-0.23	0.29	C126H159N44O96P13	1.0
1402.511124	3	89363024.78	a14-G	-0.01	0.15	C126H159N44O95P13	2.2
1522.853345	3	9866111.77	a15-A	-3.44	0.45	C136H171N49O103P14	4.9
1517.524667	3	30789864.37	a15-G	-1.5	0.29	C136H171N49O102P14	3.1
1632.540543	3	28558554.36592814	a16-G	-1.36	0.14	C146H183N54O109P15	0.6
1747.554454	3	9714880.7	a17-G	-2.35	0.38	C156H195N59O116P16	2.4
1473.184271	4	27692064.28589604	a19-G	-0.69	0.15	C175H218N66O131P18	0.7
1577.452409	4	19717177.346926995	a20+2DEPC+H2O-CO-Eth-G	-0.01	0.14	C188H234N71O140P19	0.4
1559.447706	4	24454518.49	a20-A	0.36	0.23	C185H230N71O138P19	1.3
1659.716245	4	70141478.74	a21+2DEPC+H2O-CO-Eth-G	0.41	0.1	C198H246N76O146P20	1.1
1671.225135	4	9121036.679758055	a21+2DEPC+H2O-CO-G	-0.53	0.44	C200H252N76O147P20	4.1
