m/z,z,I,Res.
277.5685,,3145434,269627
278.35057,,3068546,236831
280.0693,,2813616,337665
282.75822,,2986165,230480
284.97257,,3002121,216708
289.83858,,3701258,273584
289.8719,,5801560,290050
289.90522,,5133142,294850
289.93872,,4580916,290698
301.62538,,2799272,214922
314.01204,,2799956,222126
314.38082,,2997582,211284
317.41964,,2970570,236065
327.18693,,2878254,63262
341.4424,,2884964,207139
344.04051,,4063771,277870
351.73614,,2776813,140921
354.66264,,2910920,201952
355.87406,,2977292,205545
356.15338,,3070376,184170
360.6552,,2825540,191565
369.3842,,2929764,216839
372.16286,,2925102,197076
374.80758,,2804857,205549
377.15708,,3068440,177515
386.27654,,2842948,91485
397.198,,2794308,196348
397.66742,,2918958,207008
405.36366,,3000990,210434
407.39224,,2903532,208118
407.62544,,2884319,192494
407.87893,,2800047,151757
410.08833,,2933537,203613
410.46048,,2825409,152824
417.36532,,2820143,192249
417.94549,,2887007,161328
421.88233,,2865224,151245
424.00701,,3104445,204828
425.05598,,3025208,128348
427.35712,,3375957,170844
430.61568,,2992890,109743
432.85482,,2857395,145286
435.12276,,2978899,149509
435.48912,,2915602,183990
435.78759,,3140988,175003
442.18873,,3166085,69873
443.67458,,2892552,149535
448.14213,,3053336,158432
448.75532,,2878558,181846
450.76169,,3164236,184920
451.69019,,2835497,185006
452.92902,,3181687,149611
458.07198,,2994999,193754
458.32498,,2887736,174715
461.61204,,2878138,170169
468.21375,,3020411,125653
470.08397,,3015852,124559
470.09401,,2935829,153668
470.12854,,3166486,125691
474.17409,,3189505,112594
474.62677,,2980432,185594
475.59186,,3266506,149506
479.55071,,2911090,127688
483.04105,,19988258,190920
483.05346,,5766447,252101
488.35256,,2971508,141567
488.97423,,3345122,157503
489.91972,,2920854,59156
490.14031,,2912660,156258
502.04876,,3166599,149691
504.80446,,2918529,177498
506.12119,,3036902,181011
509.73074,,2888867,124679
516.3623,,3068834,145923
516.36663,,2999175,119592
516.47156,,2906711,209024
517.12614,,2908951,142510
518.78436,,3373969,146364
523.15239,,3233740,153415
524.64503,,2983877,136102
524.7448,,3218321,153160
527.38925,,3079451,156888
528.86827,,2915376,149364
529.63311,,3559768,119136
530.42664,,3130721,149173
531.43602,,3090840,86838
533.30798,,3362601,129304
534.94515,,3175868,94988
538.0385,,4906372,170032
539.45802,,3448751,147095
541.65297,,3149054,139500
544.85808,,2994430,127258
547.1197,,18003878,154288
547.76955,,3554463,109964
548.12358,,3151629,129643
548.73025,,3270263,94465
550.49787,,3211035,88384
552.22282,,3400658,148286
553.25466,,3355518,103514
553.89168,,3144717,117859
554.91571,,2984881,153611
554.96128,,3123940,120539
555.15501,,3147263,148833
557.53578,,3206979,104146
558.37559,,3044985,88176
559.47072,,3065169,131871
559.94344,,3284008,170268
565.05607,,3283983,124081
565.56547,,3091729,115597
567.6625,,2960351,156434
570.55473,,3017079,147882
576.47677,,3435718,140381
576.89774,,2967781,148530
577.98554,,3090234,73968
578.57452,,3344152,146746
578.68703,,3293816,60074
578.86133,,3032350,144719
579.65755,,2998760,155611
579.77465,,3345645,127025
581.75416,,3638296,102692
582.65375,,2981623,115811
583.16993,,2981505,127415
583.83596,,3763830,127017
583.97341,,3142867,139745
584.3938,,3137200,118803
588.99149,,3313557,171042
590.8247,,3156596,77181
591.52491,,3261070,152796
591.91299,,3359430,114599
592.72983,,3146211,139505
593.43319,,3430592,102627
593.5096,,3227926,113699
594.61747,,3183484,135343
596.86847,,3065101,111818
597.18389,,2989969,128129
598.08764,,3560142,105230
598.10102,,5487709,160874
598.60305,,3042772,133723
600.58009,,3160874,107992
602.39793,,3562824,64322
603.75586,,3139967,108611
608.13473,,3080879,89473
608.98676,,3445416,108933
609.37771,,3224413,118481
610.05936,,5204439,138922
610.594,,3226860,119776
611.1148,,3185713,132287
613.76669,,3170300,138846
613.80607,,3390055,142752
615.3597,,3318758,149325
619.22982,,3244067,91980
620.22122,,3016361,95026
621.54285,,3313882,121716
622.34984,,3125649,129345
622.57706,,3157771,132876
622.59388,,3131869,113391
624.65957,,3085752,144381
625.11642,,3676140,184216
627.08595,,19556180,134111
627.6858,,3605379,102799
628.08951,,4564251,114695
628.54439,,3196554,116364
629.83042,,3036737,108349
630.48828,,3046987,37017
630.94955,,3553215,108487
631.39526,,3064674,99643
631.58746,,3085682,114635
639.40299,,3258432,100772
640.1412,,3455314,105620
642.08791,,3211558,89489
643.44858,,3079815,117136
643.99443,,3087047,134317
645.18603,,3218831,93441
646.09496,,3213194,98647
646.32061,,3071959,113371
647.05955,,3186622,105805
649.08146,,5714848,139099
650.06577,,8186912,122346
651.62561,,3544179,103649
652.18578,,3059831,108290
654.02216,,3534621,102262
655.721,,3067902,68792
657.5434,,3119604,133994
658.13263,,3606796,94629
665.55046,,3350901,129314
666.94052,,3646617,102011
667.8444,,3072087,120415
669.0842,,10951260,130668
669.58663,,5194826,126563
669.84631,,3333193,102962
669.92066,,3170321,102841
671.15798,,3341068,118019
