spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1710_134_6n.csv
limit_error:	6
noise_limit:	1800000.0
shape_limit:	0.75
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1438.187774	6	537577795.98	RNA	-1.04	0.06	C256H320N102O188P26	
1460.527743	6	27419422836.49	RNA+2DEPC+H2O-CO	-3.09	0.06	C261H330N102O192P26	
1445.185251	6	1283628336.81	RNA+2DEPC+H2O-CO-2Eth	0.19	0.05	C257H318N102O190P26	
1435.020994	6	1230491938.46	RNA+2DEPC+H2O-CO-A-H2O	-0.3	0.29	C256H323N97O191P26	
1452.860146	6	12828685650.82	RNA+2DEPC+H2O-CO-Eth	1.05	0.05	C259H324N102O191P26	
1435.355944	6	1530186251.07	RNA+2DEPC+H2O-CO-G	-0.99	0.05	C256H325N97O191P26	
1432.356544	6	133975217.37	RNA+2DEPC+H2O-CO-G-H2O	0.66	0.04	C256H323N97O190P26	
1450.196267	6	515773030.17	RNA+DEPC	2.39	0.19	C259H324N102O190P26	
1448.527564	6	44670475.91	RNA+DEPC+H2O-CO	-0.81	0.14	C258H326N102O190P26	
1412.679184	6	165125257.83	RNA-A-H2O	0.53	0.13	C251H313N97O187P26	
1413.013608	6	133022793.4	RNA-G	-0.54	0.14	C251H315N97O187P26	
1410.015619	6	143786906.66	RNA-G-H2O	2.13	0.17	C251H313N97O186P26	
763.1136	1	4772565.09	a03-G	0.6	0.23	C24H30N8O17P2	
1108.159675	1	30952540.49	a04-G	-0.81	0.1	C34H42N13O24P3	
1414.18534	1	16711599.02	a05-G	-0.38	0.37	C43H53N15O32P4	
1090.67157	2	4440179.65	a07+2DEPC+H2O-CO-G	5.88	0.53	C67H87N23O49P6	
1031.633777	2	40213374.1	a07-A	0.11	0.07	C62H77N23O46P6	
1184.16049	2	5389877.57	a08-A	5.22	0.57	C71H89N26O53P7	
1176.15869	2	5160185.15	a08-G	1.57	0.56	C71H89N26O52P7	
1348.682099	2	34637347.09	a09-A	1.14	0.11	C81H101N31O59P8	
1653.72101	2	13774170.31	a11-A	-0.51	0.31	C99H125N37O73P10	
975.370378	4	42435463.9	a13-G	-0.85	0.46	C117H147N41O88P12	
1452.525714	3	5043376862.6	a14+2DEPC+H2O-CO-A	-2.08	0.48	C131H169N44O100P13	
1447.194643	3	33587933.59	a14+2DEPC+H2O-CO-G	-1.7	0.32	C131H169N44O99P13	
1407.847153	3	27694204.54	a14-A	3.11	0.17	C126H159N44O96P13	
1402.509897	3	150746100.4	a14-G	-0.88	0.14	C126H159N44O95P13	
1517.524432	3	63803382.91	a15-G	-1.66	0.12	C136H171N49O102P14	
1632.538936	3	51768760.34	a16-G	-2.34	0.13	C146H183N54O109P15	
1747.55408	3	18291233.95	a17-G	-2.57	0.34	C156H195N59O116P16	
1424.434646	4	65647148.2	a18+2DEPC+H2O-CO-A	-1.4	0.62	C170H216N61O129P17	
1964.577256	3	10538640.74	a19-G	-2.83	0.4	C175H218N66O131P18	
1473.185725	4	49417361.99	a19-G	0.29	0.09	C175H218N66O131P18	
1588.964769	4	48680853.86	a20+2DEPC+H2O-CO-G	1.18	0.12	C190H240N71O141P19	
1559.447653	4	44693116.7	a20-A	0.32	0.12	C185H230N71O138P19	
1555.447016	4	11308115.43	a20-G	-0.9	0.45	C185H230N71O137P19	
1761.481477	4	23962593.31	a22+2DEPC+H2O-CO-A	-2.92	0.29	C210H264N81O155P21	
1173.98624	6	93717326.96	a22+2DEPC+H2O-CO-A	-2.05	0.42	C210H264N81O155P21	
