spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1710_72_6.csv
limit_error:	6
noise_limit:	1890000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1180.17766	1	6448612.46	a04+DEPC-G	-3.43	0.33	C37H46N13O26P3	0.9
970.648	2	14324527.0	a06+DEPC	2.87	0.28	C60H74N23O42P5	1.2
1429.202235	2	30150205.39	a09+DEPC-Eth	3.35	0.08	C87H104N36O60P8	0.4
1454.584377	5	25095596.42	a23+DEPC-G	-1.5	0.13	C217H269N83O160P22	0.5
1804.469642	4	11062989.26	a23-A	-4.89	0.36	C214H265N83O159P22	2.1
1384.351369	6	8581474.88	a26	2.94	0.45	C247H306N99O180P25	4.1
1411.19524	1	6836725.08	c04+DEPC	-1.56	0.37	C42H52N18O30P4	1.5
1492.197708	2	14828587.8	c09+DEPC	-2.57	0.22	C89H111N36O64P9	0.7
1458.499645	3	10245508.8	c14+DEPC-A	-3.85	0.32	C129H164N44O101P14	1.3
1453.175278	3	13711107.59	c14+DEPC-G	1.14	0.5	C129H164N44O100P14	10.8
1679.699559	4	8869787.31	c21+DEPC-A	-4.52	0.57	C198H247N76O149P21	14.0
1398.177151	5	10589457.97	c22-A	5.46	0.47	C205H255N81O154P22	6.2
1517.182585	5	10291046.23	c24-G	-0.84	0.37	C223H278N86O168P24	2.2
1525.201102	3	9067891.53	w14	2.0	0.45	C134H168N56O99P14	4.3
1455.676383	4	10540030.21	w18+DEPC-Eth	1.07	0.45	C171H212N66O130P18	5.0
1849.22514	4	10259908.25	w23+DEPC-Eth	-1.58	0.51	C218H271N84O164P23	8.9
1548.195764	5	11926332.1	w24+DEPC-Eth	3.42	0.4	C228H283N89O171P24	3.4
1587.708342	4	11828981.4	y20	-2.23	0.35	C189H237N74O139P19	2.1
1472.388523	5	9226125.76	y23+DEPC	-5.14	0.43	C220H276N84O162P22	3.6

 
 



Original data of remodelled ions:
m/z 	z 	I 	fragment 	error 	shape_error 	formula 

 
 
peak list: 
m/z 	z 	I 	fragment 	error_/ppm	used?
1411.19524	1	3759794.6591304867	c04+DEPC	-1.56	1	
1412.20008053	1	2033913.7241291478	c04+DEPC	0.0	1	
1413.20239853	1	771794.4077157194	c04+DEPC	0.0	1	
1414.20474653	1	219088.92061936797	c04+DEPC	0.0	1	
1415.2070305299999	1	52133.36797980333	c04+DEPC	0.0	1	
1492.20573	2	4195115.676895728	c09+DEPC	2.81	1	
1492.69102	2	4777202.676081607	c09+DEPC	-7.95	1	
1493.20885	2	3247866.185389209	c09+DEPC	3.17	0	
1493.7053365299998	2	1633514.563845896	c09+DEPC	0.0	1	
1494.20653103	2	668756.9763720708	c09+DEPC	0.0	1	
1494.7077120299998	2	233981.01101393826	c09+DEPC	0.0	1	
1495.20888253	2	72150.70601832887	c09+DEPC	0.0	1	
1458.5052588633332	3	1656228.4840973949	c14+DEPC-A	0.0	1	
1458.83023	3	2689982.838120348	c14+DEPC-A	-6.37	1	
1459.17178	3	2514616.0575947748	c14+DEPC-A	-1.33	1	
1459.5078968633331	3	1718799.556496265	c14+DEPC-A	0.0	1	
1459.8420568633333	3	948118.9606064213	c14+DEPC-A	0.0	1	
1460.176205863333	3	444529.1502141236	c14+DEPC-A	0.0	1	
1460.5103461966664	3	182955.7523143996	c14+DEPC-A	0.0	1	
1460.8444791966665	3	67552.10428783353	c14+DEPC-A	0.0	1	
1461.1786068633332	3	22725.893897349186	c14+DEPC-A	0.0	1	
1453.1736205299999	3	2221813.7239948274	c14+DEPC-G	0.0	1	
1453.5078818633333	3	3607727.534741502	c14+DEPC-G	0.0	1	
1453.83783	3	3367391.6935525266	c14+DEPC-G	-2.92	1	
1454.18383	3	2297065.521870992	c14+DEPC-G	5.21	1	
1454.5104198633333	3	1264109.9815027048	c14+DEPC-G	0.0	1	
1454.8445691966667	3	591136.6884155294	c14+DEPC-G	0.0	1	
1455.17870953	3	242600.31205444975	c14+DEPC-G	0.0	1	
1455.5128431966666	3	89302.49649478444	c14+DEPC-G	0.0	1	
1455.8469708633334	3	29959.63575351382	c14+DEPC-G	0.0	1	
