m/z,z,I,Res.
209.092,,4176106,390343
212.52695,,3675244,360403
212.87366,,3633218,325481
221.37331,,3687895,294465
222.75706,,3644317,305136
224.44826,,3627195,353219
230.98,,3753314,322695
232.99032,,3757594,331807
246.79915,,3703270,286116
247.37309,,3648048,221687
250.37289,,4068415,243092
253.29707,,3646049,266969
254.35397,,3668286,287180
255.71213,,3908557,312312
257.08934,,6595049,239921
257.10919,,17584870,294137
257.12903,,32513442,303016
257.13426,,3668105,307516
257.14892,,39319072,312419
257.16015,,4334333,353296
257.16887,,36561692,300269
257.16992,,3657339,595247
257.18017,,3752233,318524
257.18893,,28086744,312472
257.20899,,17774068,286388
257.2292,,11845328,322831
257.2494,,4583981,218188
262.19548,,3623106,342436
264.16185,,3703776,295814
265.40641,,4198600,182612
267.55648,,5097115,308265
271.56076,,3798129,264336
271.96062,,3734066,252043
275.44466,,3718420,208467
285.11601,,3683053,250670
285.87743,,3787461,279606
287.74525,,3983111,256119
288.05341,,3821199,185667
293.26874,,3886455,130093
295.31351,,4255747,316962
297.26007,,3748690,168107
302.74598,,4330026,162591
304.74648,,3844203,212010
304.82811,,4361434,260276
304.84318,,3655570,191272
308.79471,,3690156,232569
309.63598,,3780727,200011
312.99352,,3789779,252047
313.92927,,3928123,253670
314.57491,,3907282,181771
316.64146,,4418517,336614
316.86424,,3943524,308198
316.96105,,3875371,275955
317.14267,,3607592,199613
318.53512,,3882274,233609
319.07234,,3674960,176659
323.70742,,3795690,137876
327.28326,,3607972,190221
330.77451,,3848338,232249
332.08008,,3615810,185566
336.40049,,3792587,147180
339.17374,,3862109,118337
341.85935,,3812310,175366
341.91811,,3750696,224505
342.75719,,3658508,241869
344.03911,,5505383,256920
347.76483,,4440765,237037
347.96213,,3928134,258617
349.33659,,3750866,163434
349.91129,,3839028,272769
351.64355,,3875637,203770
352.30637,,3662988,180242
353.54698,,3762453,110494
355.68346,,3717119,133889
356.49472,,3736702,163035
357.8716,,4073804,217022
361.56657,,3843884,246747
362.16109,,3825202,143375
364.53553,,3759574,170106
364.90834,,4335280,236545
365.43735,,4080585,176433
365.72446,,3971733,162191
366.12396,,4340069,169463
367.5732,,3702381,149469
367.92829,,3790875,203772
367.98986,,3653281,166845
370.10261,,3640156,178245
370.45449,,3837555,176432
374.69296,,3938667,193773
376.67329,,4062580,137439
378.214,,3701055,179241
379.36987,,3728143,202575
380.7692,,3841229,206063
382.10655,,3949505,159952
382.54977,,3663060,187199
383.01624,,3850285,223525
385.9018,,3647840,210578
385.96619,,3997127,115079
386.03316,,3854287,177712
387.56541,,3653132,180236
387.58921,,4024704,188603
388.19594,,3884494,168266
390.00041,,3676738,138700
390.01078,,3646315,204319
391.17183,,3908444,198130
393.08684,,3662256,175917
393.91193,,3768222,143636
395.41058,,3736336,171854
396.17073,,3806340,188997
396.46747,,3784321,176697
396.78921,,4103542,194222
