spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2409_90_6.csv
limit_error:	6
noise_limit:	1500000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1431.667389	6	14026768.386024835	RNA	3.73	0.24	C253H312N91O196P27	
1413.163501	6	96168554.75	RNA-C	6.13	0.22	C249H307N88O195P27	
2143.491916	4	7704824.08	RNA-H2O	-1.01	0.46	C253H310N91O195P27	
751.60409	2	3273625.29	a05+DEPC+H2O-G	-1.41	0.39	C46H59N15O35P4	
1382.675768	2	8952784.48	a09+DEPC+H2O-G	0.69	0.3	C83H105N27O65P8	
1535.679259	2	9067106.26592157	a10+DEPC+H2O-G	-5.34	0.45	C92H116N29O73P9	
1430.835835	3	39153847.72428954	a14+DEPC+H2O-G	1.56	0.24	C128H162N39O103P13	
1400.82971	3	19642402.37	a14-G	4.76	0.21	C125H156N39O100P13	
1647.864513	3	14316239.71	a16+DEPC+H2O-A	4.04	0.32	C147H185N46O118P15	
1390.412649	4	9619820.422582095	a18+DEPC+H2O-G	0.25	0.33	C166H208N53O131P17	
1476.675826	4	9244907.557810314	a19+DEPC+H2O-G	1.13	0.35	C176H220N58O138P18	
1562.936478	4	16750879.76	a20+DEPC+H2O-G	0.3	0.28	C186H232N63O145P19	
1311.356137	5	7254178.91	a21+DEPC+H2O-G	2.84	0.46	C195H243N65O153P20	
1502.38231	5	23678997.5	a24+DEPC+H2O-A	2.59	0.18	C223H279N76O174P23	
1614.596035	5	59200442.31	a26-A	5.83	0.08	C239H296N83O186P25	
434.07222	1	2460930.65	c01+DEPC+H2O	0.85	0.14	C13H18N5O10P1	
689.08486	1	4758664.28	c02	-3.97	0.21	C20H24N10O14P2	
779.118995	1	11508053.23	c02+DEPC+H2O	-0.38	0.06	C23H30N10O17P2	
994.129141	1	15739619.91	c03	0.26	0.1	C29H36N13O21P3	
1084.159482	1	30056481.59	c03+DEPC+H2O	-1.01	0.11	C32H42N13O24P3	
1038.11886	1	3417751.18	c03+DEPC+H2O-Eth	0.15	0.28	C30H36N13O23P3	
1300.153523	1	11124096.75	c04	-0.51	0.37	C38H47N15O29P4	
649.57304	2	4550945.21	c04	-0.64	0.34	C38H47N15O29P4	
1390.188518	1	13010091.57	c04+DEPC+H2O	1.9	0.12	C41H53N15O32P4	
694.589009	2	9425993.32	c04+DEPC+H2O	-0.42	0.13	C41H53N15O32P4	
1149.10445	1	4928023.46	c04-G	-0.28	0.3	C33H42N10O28P4	
822.097296	2	10679405.08	c05	0.15	0.14	C48H59N20O36P5	
867.113475	2	25737361.78	c05+DEPC+H2O	0.53	0.05	C51H65N20O39P5	
562.3898	3	3052575.16	c05+DEPC+H2O-Eth	-4.44	0.42	C49H59N20O38P5	
974.61884	2	17500208.617311634	c06	1.05	0.17	C57H71N23O43P6	
1019.634083	2	48876734.8	c06+DEPC+H2O	0.41	0.1	C60H77N23O46P6	
1127.630333	2	12415723.28	c07	-0.12	0.1	C66H82N25O51P7	
1172.64439	2	24335496.17	c07+DEPC+H2O	-1.64	0.13	C69H88N25O54P7	
1280.638789	2	11960932.77	c08	-3.38	0.29	C75H93N27O59P8	
1325.657707	2	47132176.41	c08+DEPC+H2O	-0.95	0.06	C78H99N27O62P8	
1453.161948	2	10436516.73	c09	-3.36	0.47	C85H105N32O66P9	
998.450555	3	19785946.39	c09+DEPC+H2O	-2.14	0.12	C88H111N32O69P9	
1651.205311	2	7982425.29	c10+DEPC+H2O	6.04	0.32	C97H122N34O77P10	
1172.129825	3	16605697.05	c11	-1.0	0.08	C103H128N37O81P11	
1202.142134	3	59074829.88	c11+DEPC+H2O	0.48	0.04	C106H134N37O84P11	
1273.809947	3	22292025.79	c12	-1.16	0.12	C112H140N40O88P12	
1303.819423	3	86365945.68	c12+DEPC+H2O	-1.97	0.05	C115H146N40O91P12	
1253.471801	3	7283753.87	c12+DEPC+H2O-G	-0.3	0.33	C110H141N35O90P12	
1375.816782	3	12665005.22	c13	-2.23	0.32	C121H151N42O96P13	
1405.832805	3	71283645.00830129	c13+DEPC+H2O	1.7	0.07	C124H157N42O99P13	
1355.478956	3	10219561.622637061	c13+DEPC+H2O-G	-1.23	0.25	C119H152N37O98P13	
1477.829054	3	21046560.538438976	c14	0.52	0.2	C130H162N44O104P14	
1507.838746	3	48554420.255353086	c14+DEPC+H2O	-0.07	0.06	C133H168N44O107P14	
1579.839004	3	10900260.81	c15	1.44	0.32	C139H173N46O112P15	
1609.847813	3	78538574.1	c15+DEPC+H2O	0.33	0.08	C142H179N46O115P15	
1529.485088	3	7571579.41	c15-G	-1.2	0.32	C134H168N41O111P15	
1689.526504	3	8975111.47	c16	3.32	0.41	C149H185N51O118P16	
1719.531984	3	60164080.69	c16+DEPC+H2O	0.3	0.05	C152H191N51O121P16	
1289.393183	4	14374461.95	c16+DEPC+H2O	-2.79	0.17	C152H191N51O121P16	
1669.18114	3	9566573.44	c16+DEPC+H2O-G	-0.31	0.43	C147H186N46O120P16	
1371.659489	4	19594570.38558976	c17+DEPC+H2O	-0.3	0.16	C162H203N56O127P17	
1448.166606	4	82969566.9	c18+DEPC+H2O	0.26	0.04	C171H214N58O135P18	
1534.427433	4	134934438.00838557	c19+DEPC+H2O	-0.43	0.05	C181H226N63O142P19	
1496.664628	4	20874456.29	c19+DEPC+H2O-G	-0.74	0.27	C176H221N58O141P19	
1620.692888	4	58051440.40728003	c20+DEPC+H2O	1.81	0.1	C191H238N68O149P20	
1582.936359	4	13728810.98	c20+DEPC+H2O-G	5.53	0.34	C186H233N63O148P20	
