m/z,z,I,Res.
207.72876,,4404995,353863
211.21365,,4426866,402178
211.22668,,5988882,358296
211.23993,,14899048,292518
211.24677,,5994928,455922
211.25316,,26317982,333346
211.26009,,4930649,455524
211.2656,,5008655,415884
211.26641,,36411516,365719
211.27347,,4940334,493034
211.27967,,40889356,362417
211.29303,,36221508,360769
211.30639,,27026154,346555
211.3198,,17010842,305194
211.33319,,11884030,366490
211.34657,,4531266,202507
211.75982,,7159235,420808
211.77307,,9990875,378429
211.78635,,9998060,354856
211.79983,,10970758,375149
211.81312,,8571015,346209
211.82653,,5003847,371918
218.41038,,4371685,360173
231.16605,,4387751,311913
234.97376,,4524997,368761
262.36565,,4569672,356879
263.91618,,4946104,239321
268.67202,,4429612,298676
275.15702,,4404014,165522
278.20939,,4529227,271279
283.89312,,4413711,221244
287.45362,,4624483,219519
296.17476,,4598427,296842
301.71871,,4536080,258035
309.28835,,4621862,221617
310.46826,,4819155,260717
311.87899,,4543052,230979
312.28535,,4531092,312807
316.25379,,4372500,139988
317.80205,,4521116,152666
318.6788,,4588266,231884
319.84869,,4356014,222368
322.89915,,4564257,186802
323.05962,,4352238,211429
324.86575,,4458150,228395
333.46526,,4604516,203530
336.18044,,4619134,149089
346.29697,,4649112,215374
349.01293,,4990156,272114
349.03672,,4963538,316178
349.05472,,5339094,306956
349.07834,,5440092,396034
349.0962,,4456865,235957
349.12262,,4573288,377320
349.15109,,4790127,346129
349.25951,,4477578,313342
349.29681,,4435028,313382
349.31959,,4674330,400191
349.36372,,4628965,324837
349.36516,,4377893,401687
349.52348,,4582862,214000
349.59221,,5521888,292744
349.63654,,5535211,264661
349.68124,,4951735,301193
349.92154,,4599605,374875
349.92458,,6214198,209403
349.98732,,4862598,311918
349.98957,,6449607,314220
350.0585,,5055833,295645
350.07547,,4638109,285946
350.12557,,5461482,321080
350.14354,,4729967,397509
350.69891,,4741826,304770
350.72394,,4755465,248095
350.8574,,4548172,244640
351.15017,,4570811,322986
351.15914,,4542013,140876
352.05443,,25537522,212769
352.07979,,28681210,242166
352.10181,,26739712,171641
352.12127,,29506052,248600
352.12404,,32999430,156323
352.14369,,26644492,197485
352.14614,,29310476,165131
352.72604,,10024622,213947
352.90141,,9130208,343613
352.92335,,11478502,331338
352.94463,,9304236,181143
352.94631,,18797804,350583
352.95037,,10066414,306353
352.96343,,8601202,260446
352.9683,,15061491,210466
352.97263,,9909492,256387
352.98805,,8913785,168911
352.98949,,12468473,302294
352.99078,,13831417,317955
352.99514,,9962875,205881
353.01147,,9654655,293837
353.01284,,11528448,118440
353.01764,,9485441,233891
353.03402,,9041798,233684
353.0394,,10658183,179107
353.06195,,10873742,246916
353.10633,,12839066,279211
353.12827,,15643425,246206
353.15087,,13213479,234440
353.17045,,8043821,438090
356.07129,,4685134,148757
358.85296,,4846158,215778
360.90136,,4386540,226606
364.52074,,5321918,179898
370.05971,,4383470,141563
370.08147,,4390680,191926
371.7994,,4839434,170663
374.04384,,4739978,291267
374.13885,,4910710,252706
374.62964,,4714268,237426
377.25897,,5668176,161871
378.39567,,4460455,161210
380.8899,,4389514,250690
382.13081,,4447612,191294
385.63349,,4477540,204168
386.1411,,4373829,132485
387.44757,,5835285,161655
389.72936,,4458873,193589
390.88129,,4399923,188551
393.42346,,4771134,160638
393.79054,,4591111,224279
394.27765,,4993022,162691
397.22987,,4458307,157298
407.38009,,4739632,150920
408.34027,,4689221,144504
408.56777,,4387665,214060
409.13111,,4401279,212623
409.7321,,4402220,163491
410.04142,,4786395,168322
410.23129,,4633006,140430
412.20518,,4442871,176854
412.95707,,4433068,164002
414.8109,,4748416,183330
424.00438,,5300241,150608
424.09046,,4998237,100140
426.45026,,4807817,126589
426.83627,,4656456,203598
427.64977,,4498162,125817
430.66765,,4406607,82012
433.09563,,4436124,126541
433.11737,,4691601,147021
437.44832,,5272945,162627
440.54243,,4731311,173357
440.89481,,4686521,129487
441.32785,,4820343,123245
442.22803,,4545660,145220
443.11409,,5064344,121000
443.87031,,4447666,180686
445.57892,,8377285,168743
446.45903,,4451347,143268
447.01813,,4577837,143171
447.92645,,4466916,83039
447.94632,,4968697,167626
450.26104,,4800193,112776
454.35312,,4447087,139433
455.02468,,4469133,142335
455.05178,,5242476,127426
455.2437,,4824392,177856
458.16261,,4550137,80785
459.05887,,4562260,153655
461.4801,,4992972,123264
463.11639,,4519386,127906
464.43217,,5011288,123768
465.3652,,4555437,169522
466.50662,,5058667,168615
468.86677,,4519366,118823
471.55013,,4857418,131594
474.44864,,4600255,133606
476.00709,,4542577,102596
476.93022,,4592176,181104
477.02163,,5608041,153811
478.13943,,4507057,154310
479.85567,,4599268,154074
480.47099,,5019488,116328
481.27438,,4589213,158635
482.24248,,4532415,146163
482.33801,,4470017,170209
484.85018,,4762551,129338
485.62528,,4582568,122332
486.67313,,4575899,180730
487.31414,,5026332,224547
488.92068,,5055088,113747
489.30171,,4994892,153841
489.50515,,5073196,140832
489.5738,,4591950,147940
489.92034,,4730106,190545
490.81082,,4940847,135169
491.0086,,4932170,135112
491.91355,,4609947,178129
492.29103,,4683322,121816
492.35734,,5308058,179259
492.47323,,4674624,158171
497.05226,,8985179,163610
497.72908,,4911685,171323
499.42015,,4557404,119831
499.45285,,4710732,142419
500.07405,,4679791,170643
501.49157,,4734983,141502
501.93831,,5159403,125745
502.238,,4501105,144237
509.88056,,4729442,145637
510.62561,,4979227,101042
510.73796,,4904173,155928
514.40975,,5214615,118953
515.57317,,5123183,132957
516.63814,,4790513,128666
517.89431,,4610997,131628
518.07833,,4630371,125104
518.89623,,4664867,126730
520.32637,,4725596,155854
520.66965,,4759574,188888
521.41676,,8214384,166658
521.4952,,4882099,153403
521.56762,,5596651,147409
521.75228,,5261215,188030
522.25964,,4674094,156567
522.65006,,5150971,153886
523.19075,,4801990,109282
524.68044,,4820307,87014
525.8081,,5281034,137507
526.148,,5264908,135762
527.16386,,4679248,149443
527.21553,,4900776,175964
527.47357,,5218210,129364
527.58652,,4797283,136495
527.68534,,4977868,82417
527.97637,,6161599,133901
528.00777,,4583925,181890
528.0314,,5656606,174447
528.04342,,9337650,146880
528.05432,,4677957,122610
528.07181,,9164643,178052
528.07735,,13922156,149443
528.10522,,9856668,66201
528.13863,,16778454,163583
528.14407,,6183647,210785
528.17201,,21618446,157396
528.20555,,10599752,135164
528.23856,,17438080,158492
528.26962,,4960182,193935
528.27277,,7098812,189168
528.28773,,5910357,96446
528.30428,,7716594,159264
528.41986,,4824889,163178
528.63469,,4912938,160234
528.93579,,5520688,193065
529.34283,,5518318,217389
529.40886,,5433056,191957
529.43939,,7085076,154337
529.47204,,5511053,128770
529.50573,,8472647,76751
529.53899,,5823808,77337
529.57218,,6870266,137113
529.93638,,4814639,93475
530.54234,,5279497,157048
534.23357,,5837631,118619
534.5385,,5388377,140877
534.72111,,39319964,149337
535.05577,,19329514,161761
535.39044,,8721467,162298
535.72367,,4789386,166050
538.03782,,6375078,187105
538.98587,,4621644,172752
541.10458,,5101950,124247
541.23665,,4617262,126255
543.31835,,4685569,39734
544.01041,,5022581,145683
546.18437,,4768030,167310
546.63124,,4700698,147581
547.11894,,27238756,146619
547.59765,,4983263,168401
547.80823,,4605543,168732
548.07221,,7406932,160066
548.1189,,5278635,229311
548.43426,,4821624,185886
549.30926,,4981214,181345
549.67903,,4677524,132995
552.90459,,4762212,150367
555.188,,4745967,144985
556.92441,,4893054,167260
557.02214,,4920762,140501
559.17058,,6052356,144752
562.25574,,5138465,151174
564.88125,,5309745,107482
566.01027,,4633021,111387
567.76376,,4636985,129081
567.91994,,5448114,97905
568.83991,,4635377,151205
569.57724,,5620420,159220
571.53695,,5087185,136301
573.31233,,12185729,132107
573.56416,,9257862,157956
573.81454,,5436040,63138
574.80792,,5489926,144732
575.75415,,4944425,82242
575.99174,,4979028,132451
577.38295,,4862077,96920
580.16059,,5000910,126609
580.20476,,5293803,126341
580.2561,,6061719,110071
580.5268,,6339087,138937
581.61244,,5353089,75741
582.5165,,4954232,155486
583.95962,,5313265,109117
584.59034,,5276593,143225
584.96989,,4689179,103049
585.34607,,5162624,133551
587.80058,,5043991,114943
588.34846,,4691892,136243
588.46691,,5500469,160611
588.66648,,6904549,151296
590.11788,,5161902,133862
591.19128,,4694671,68507
591.80744,,5407632,49435
592.7369,,5238466,120918
593.59384,,5451290,105309
595.60463,,4674412,83487
596.22524,,5307914,109780
596.24384,,4668979,125711
596.56789,,5025794,116134
596.72213,,4910105,127518
597.29516,,5185618,143867
598.37533,,4746168,138172
599.13317,,5675478,132320
599.37449,,4780657,126918
599.58596,,5067083,134417
600.48145,,4911140,156522
602.40321,,5314191,136441
603.74288,,4799849,138954
604.00159,,5336373,160419
605.5373,,5414237,116493
607.13217,,5077918,134475
610.05881,,5449205,122040
610.0918,,4837185,119968
610.15234,,5352525,163785
610.6471,,5004743,167499
610.74825,,4812338,122743
612.27586,,4877585,119391
613.52302,,5052400,138974
613.93524,,5053621,134495
618.10314,,209585296,128930
618.60041,,16283946,166457
618.60545,,86325560,138516
619.10655,,19323868,133630
619.53812,,4963807,123972
619.60747,,5648133,155665
621.56726,,4918092,134183
621.92888,,4997934,112946
623.09796,,69561128,129858
623.43222,,40443464,117210
623.76629,,13113454,121413
624.10056,,9166740,137471
624.50562,,4831206,109619
625.71969,,4968798,161013
625.82992,,4981353,127373
625.84137,,20813572,132688
625.88107,,5234021,119241
626.09203,,17006948,142445
626.34194,,10686915,144650
626.90748,,6466849,108100
628.43369,,5268648,111584
629.28161,,5178304,67085
629.33446,,5084290,113912
629.37314,,5084289,86824
629.38917,,4919240,112190
630.62567,,5542049,147319
631.22995,,4860015,142515
631.57014,,5161268,131882
631.89205,,5476429,140220
632.51065,,5144261,93990
636.52719,,5550844,93072
637.64271,,4774178,131897
637.91008,,5065792,79878
638.0341,,4895351,122949
638.69079,,8271335,148459
638.96021,,5027692,41726
639.31878,,4771346,109880
640.72117,,4946401,74035
642.09562,,4941688,126453
643.41248,,4781001,89184
643.43588,,5071811,126061
643.68228,,5285495,114788
643.7491,,5152737,158206
644.07812,,8642343,148687
644.41191,,6520442,156674
644.53584,,5950518,96703
645.05164,,5147612,134648
645.96208,,4909812,113894
647.44217,,5542156,101253
647.56215,,5711488,125312
649.08119,,8199499,166885
649.5732,,34157892,124249
649.73737,,67516136,123540
649.75361,,20945686,137137
649.77353,,5624778,100431
650.07184,,42404428,124889
650.08847,,13184632,155390
650.40631,,17039792,110973
650.42182,,6260952,125651
650.5804,,5237363,113772
650.73945,,6668303,138328
651.08211,,6129161,143579
651.4086,,4801048,104026
651.78598,,5241901,159470
652.80439,,4917577,89147
652.93629,,6477666,178624
653.0798,,5624152,152620
653.41133,,10632505,132561
653.57845,,16510958,110492
653.74575,,10802850,109890
653.90955,,5614159,76791
654.0796,,5058444,115627
654.2822,,4894590,64794
657.18148,,5714335,92271
657.30153,,4953628,106175
657.47683,,6523371,154758
657.67634,,7859705,120902
657.87662,,6924938,131898
658.08655,,7122741,48923
658.32729,,5137201,143190
659.82481,,6395440,112117
661.0869,,11199820,138954
661.10095,,4888817,122731
661.58894,,5043591,119962
662.81144,,4895879,94919
663.07735,,5388942,144362
663.84553,,6143959,87455
666.47441,,5363896,95523
668.40608,,5739042,108565
669.53307,,5872406,126462
669.80893,,5364868,142818
671.00139,,6356340,99525
672.50409,,5069633,122080
672.58805,,5664422,163844
672.75511,,9676912,103872
672.92237,,11279162,122093
673.25783,,6428627,124215
674.28542,,5009241,117325
674.34033,,5178352,140713
674.59067,,5367713,141051
674.81045,,5200383,121332
676.51276,,5362135,133873
678.29133,,5925015,89741
678.33881,,17040026,133937
678.49634,,5483536,94954
678.58107,,4912316,158639
678.58985,,19212628,119148
678.62846,,5591104,130605
678.78784,,5005946,147053
678.84069,,8829454,141042
679.09346,,5581260,134580
680.06607,,5034466,112814
680.2811,,7190969,147936
680.4822,,5577707,168472
680.68456,,5542494,104351
682.57324,,5133380,107063
683.28792,,4964122,147756
683.52268,,5074605,97178
683.72208,,4908573,97413
684.03289,,5359432,108094
684.07778,,6178503,127839
684.34227,,6509615,139092
684.59266,,5159664,175107
684.84227,,6012207,136208
686.86963,,5034895,107508
687.54306,,5074820,133262
688.71085,,6823159,106328
688.83698,,7618269,116219
688.95516,,5484332,147331
688.96258,,13612867,133834
689.08785,,25665702,121060
689.17557,,5139744,117943
689.21298,,7316747,96770
689.31341,,5264168,122047
689.33886,,5425521,153221
689.58641,,5031857,131929
689.67273,,4929640,84487
690.88666,,5052014,58690
691.08805,,5256045,39249
691.5676,,5713864,77145
693.73484,,5230602,140433
694.34404,,5555554,131965
695.09784,,42169304,114876
695.24834,,6560140,150469
695.26499,,63659452,112750
695.43217,,62384028,114579
695.54642,,6609639,122749
695.59932,,40432000,117308
695.76607,,21482336,120057
695.93297,,8034369,105566
696.00154,,5139719,71008
697.41134,,5047343,68874
699.09375,,6257531,117875
699.4986,,10261650,126360
699.69182,,4936387,194144
699.69938,,17260504,128882
699.90032,,11781663,134007
700.10028,,5811302,169283
700.65356,,5610544,94382
701.18813,,5570116,108812
702.02988,,5745753,94326
702.08596,,7861757,98760
702.4696,,5064157,117602
702.72427,,5693636,135693
704.47971,,5932181,87711
705.39213,,4964041,108537
707.21831,,5202625,123321
707.3904,,4990522,132938
707.5989,,5006497,136578
708.76012,,5681536,126996
708.96378,,5465305,106291
709.22239,,6024405,125563
710.04905,,5008096,124813
711.4204,,5470013,149055
712.10244,,198319648,112986
712.34518,,17983732,152652
712.3534,,218267920,109106
712.60435,,127685624,109292
712.85521,,63905504,104859
713.10588,,19596230,56688
713.35626,,6707632,78297
713.37683,,6274030,111789
713.60744,,6231963,160352
715.49374,,5851788,158105
715.69306,,10206943,109291
715.88747,,5516836,138153
715.89402,,5839414,138215
717.49233,,5340126,104335
717.59943,,9925406,122446
717.85031,,8025613,139852
718.6791,,6313152,162206
718.68487,,5745360,138271
718.88563,,8967209,120546
719.07787,,5228522,106021
719.08612,,5355139,150228
720.09814,,7610719,158540
720.60667,,5172310,145659
720.97525,,7013547,146879
721.08697,,10416378,113583
721.19759,,9681991,73598
721.31308,,10946466,115740
721.41923,,5651680,176145
721.58891,,10852064,88220
721.83947,,7631890,78972
722.09122,,7288518,76822
722.34335,,5816382,118491
722.59405,,5219634,109187
724.95887,,5812367,105284
725.09328,,5291303,152464
725.41613,,7450357,111089
725.49871,,5651055,107151
727.05564,,5049303,87002
727.86919,,5215226,106520
729.55507,,5414904,131849
729.92421,,6825305,117007
730.61656,,5334675,91071
731.12177,,5399062,106684
731.83047,,5213444,141959
732.09424,,5675815,156862
732.24173,,8407017,91287
732.33608,,5318664,177252
732.38506,,18586782,131485
732.52855,,17052242,105712
732.67158,,12760582,115187
732.78184,,18894166,115983
732.81519,,10973630,112573
732.95625,,6421484,95131
733.11646,,16131924,126230
733.44904,,10606410,101946
733.59993,,6091032,143332
733.78267,,7323077,99228
734.42869,,5285179,96796
734.81076,,5366411,78510
735.83473,,19976134,105762
736.0856,,27476166,106993
736.33684,,15708614,114107
736.58803,,10283463,108037
736.72548,,6130540,106578
736.96411,,7280455,121533
737.13266,,8996429,132520
737.29852,,12904265,131054
737.46563,,10184008,115792
738.16562,,5998507,119048
739.41744,,5174189,119892
739.65701,,6640013,113561
741.64787,,5101558,104212
741.70589,,6056233,50607
743.40573,,5182619,136056
743.41873,,8428740,105908
743.43989,,5341701,100448
743.75269,,6542794,138612
743.81027,,6042235,70248
745.32276,,5306806,158816
745.80204,,5844094,136422
745.94521,,11812153,108480
746.08925,,9699062,133295
746.10136,,6068763,172920
746.22278,,8392082,115145
746.23225,,7344815,150134
746.26947,,14224674,96002
746.34667,,9185553,125058
746.43607,,7335333,93135
746.47317,,9733015,146259
746.60406,,6293549,157461
746.8666,,5717271,66525
747.39017,,5451307,95827
747.43402,,5406259,136146
747.53313,,5704676,96869
748.23257,,5361753,135927
748.59825,,6189894,152589
748.65532,,5380855,133644
748.76561,,12490059,106471
748.98999,,7802882,109133
749.08534,,6005545,115652
749.09867,,7345746,116394
749.22492,,5525211,152298
749.31211,,5227623,122653
749.75855,,5819982,116352
749.88031,,7252169,99538
750.14362,,5517177,105414
751.38252,,5289466,109851
753.07619,,5917443,110152
753.10756,,5210469,97791
753.22602,,6198614,94876
753.94065,,5413761,115863
754.08399,,6002622,140588
754.28643,,9205812,149092
754.39618,,5989641,112730
754.4847,,6124700,148773
754.57746,,5170364,87865
754.96095,,5439589,116154
755.45279,,5331551,145129
755.57531,,5953245,82962
756.23175,,5222103,67685
756.59374,,5126591,118728
756.84217,,5733316,116881
757.28256,,15166623,113518
757.34189,,5371736,121655
757.48461,,18926870,102556
757.68478,,16818564,113695
757.88358,,8283888,100464
759.09196,,7818662,114579
759.59618,,10479050,98839
759.76205,,7308239,116598
759.93033,,5825502,132206
760.12229,,5678515,131981
761.75959,,44468008,113827
761.92594,,80132400,100215
762.0933,,82926392,102329
762.25969,,61019460,100381
762.28778,,5502620,133204
762.42705,,37733200,100038
762.59461,,13167449,92125
762.76152,,6506084,125088
762.9778,,39490056,101278
763.10379,,81467280,102700
763.21601,,6392047,212900
763.22932,,99827992,110472
763.24372,,6131014,202452
763.25983,,5979767,131734
763.26838,,5535379,133773
763.33934,,7218288,181895
763.35475,,83108512,98099
763.46282,,5628403,163900
763.47042,,9247755,154143
763.4801,,64445480,101091
763.49703,,5410653,152301
763.60545,,45100464,98501
763.73135,,19520824,93755
763.85586,,10261439,82955
764.09727,,6981041,118398
764.75288,,40828852,105580
765.07148,,5786519,150308
765.0867,,35020744,106269
765.30827,,12906621,112717
765.42166,,21456352,107202
765.5088,,17723120,109117
765.58998,,12281326,125992
765.7092,,10917731,109569
765.75631,,12877303,121787
765.85077,,5528350,131369
765.91075,,9603545,105377
765.92407,,6517762,132320
765.97684,,5499048,140732
766.09058,,8732683,120789
766.10254,,8076721,51051
766.40165,,5212377,135886
766.45822,,5341066,91571
767.09782,,6396764,141783
767.33121,,5865271,110752
767.43119,,8314224,123501
767.97099,,9678090,132298
768.08084,,6429539,113956
768.09796,,9991831,131193
768.22201,,6090524,177009
768.2505,,7935862,95647
768.2674,,7959722,96835
768.34899,,6029737,141748
768.41829,,7049091,135674
768.58318,,6159751,143135
769.72895,,5221838,83788
770.36837,,5596770,146742
770.43996,,5454465,93908
770.56297,,5176132,109880
772.1025,,7309214,135312
772.43662,,5767094,148896
772.76764,,5369285,97213
773.87947,,5425701,64376
774.90223,,8524271,103769
775.15405,,11825925,113466
775.40481,,11813912,110549
775.82022,,7329842,134080
775.9628,,9238256,135434
776.10505,,10560431,96248
776.2486,,9833840,98193
776.3339,,5452414,112698
776.39226,,7910452,117278
776.53641,,6997752,122706
776.78477,,5567493,91136
776.82895,,5872529,105174
777.40186,,9140886,125945
777.73669,,11334067,105159
778.24201,,8646375,136439
778.81213,,5557606,113594
780.42495,,5564850,106812
780.58338,,5196900,89706
780.61821,,5277137,85031
780.8155,,5700348,108162
781.54731,,5516537,124030
782.09654,,5392182,112113
782.62831,,13970623,99342
784.2955,,84292408,103630
784.48619,,14954894,155427
784.49627,,114853296,100029
784.62984,,6200659,83117
784.67899,,6074349,191711
784.69659,,116979752,102955
784.70724,,7215687,155388
784.71605,,6105187,152272
784.89722,,60375708,100692
784.9138,,7063248,121351
785.097,,32090382,106924
785.2983,,15043976,100964
785.32888,,5698025,153114
785.43929,,11839812,131750
785.4489,,5658211,95083
785.49856,,5687807,105531
785.54991,,12490400,107669
785.66218,,8692481,123886
785.88366,,6531642,97088
785.9956,,5728920,119469
786.23563,,5712139,125298
786.564,,5514260,109964
