spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2805_rev15.csv
limit_error:	6.5	2020-06-04
noise_limit:	3200000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
899.610258	14	14602374.0	RNA	-6.66	0.49	C373H463N155O270P38	6.1
1157.986857	11	82749674.0	RNA+CMCT-C	3.89	0.17	C383H483N155O270P38	1.4
1061.398945	12	77680324.0	RNA+CMCT-C	-0.88	0.13	C383H483N155O270P38	0.9
1059.898318	12	146675948.0	RNA+CMCT-C-H2O	-0.64	0.39	C383H481N155O269P38	22.6
1166.438759	11	112094155.0	RNA+CMCT-H2O	-0.95	0.39	C387H486N158O270P38	17.3
1069.152159	12	61309786.0	RNA+CMCT-H2O	-0.42	0.15	C387H486N158O270P38	0.9
1113.312804	14	122151494.0	RNA+rev	5.57	0.07	C492H673N215O302P38	0.8
1039.020023	15	467735517.0	RNA+rev	0.97	0.14	C492H673N215O302P38	5.9
1131.250536	14	1273552765.0	RNA+rev+CMCT	0.97	0.02	C506H698N218O303P38	4.9
1055.763091	15	135861338011.0	RNA+rev+CMCT	-2.44	0.02	C506H698N218O303P38	518.6
1121.603123	14	1663606941.0	RNA+rev+CMCT-A	0.38	0.03	C501H693N213O303P38	7.0
1046.76091	15	8362473993.0	RNA+rev+CMCT-A	-1.07	0.01	C501H693N213O303P38	28.9
1120.316161	14	586656686.0	RNA+rev+CMCT-A-H2O	-0.06	0.18	C501H691N213O302P38	11.1
1045.561731	15	648655179.0	RNA+rev+CMCT-A-H2O	0.39	0.12	C501H691N213O302P38	6.7
1123.316937	14	681050385.0	RNA+rev+CMCT-C	-0.75	0.14	C502H693N215O302P38	8.6
1048.358529	15	4164964882.0	RNA+rev+CMCT-C	-4.05	0.16	C502H693N215O302P38	64.5
1208.413782	13	19165287.0	RNA+rev+CMCT-C-H2O	-4.23	0.46	C502H691N215O301P38	6.0
1122.030599	14	428781492.0	RNA+rev+CMCT-C-H2O	-0.64	0.13	C502H691N215O301P38	4.9
1047.158969	15	8754997597.0	RNA+rev+CMCT-C-H2O	-2.97	0.31	C502H691N215O301P38	607.3
1120.459745	14	671362457.0	RNA+rev+CMCT-G	-0.41	0.04	C501H693N213O302P38	3.1
1045.695363	15	683869179.0	RNA+rev+CMCT-G	-0.32	0.08	C501H693N213O302P38	4.8
1044.49508	15	219209019.0	RNA+rev+CMCT-G-H2O	0.08	0.2	C501H691N213O301P38	5.1
1054.564406	15	2594937362.0	RNA+rev+CMCT-H2O	-0.52	0.1	C506H696N218O302P38	22.0
1103.661252	14	56312941.0	RNA+rev-A	1.27	0.17	C487H668N210O302P38	1.0
1030.015254	15	23113307.0	RNA+rev-A	-0.12	0.37	C487H668N210O302P38	2.9
1187.250596	13	15914579.0	RNA+rev-A-H2O	1.49	0.53	C487H666N210O301P38	10.0
1102.370427	14	69973172.0	RNA+rev-A-H2O	-2.68	0.22	C487H666N210O301P38	2.0
1028.815816	15	34233181.0	RNA+rev-A-H2O	1.11	0.25	C487H666N210O301P38	1.3
1190.483876	13	27097305.0	RNA+rev-C	2.19	0.33	C488H668N212O301P38	2.3
1105.372287	14	65215523.0	RNA+rev-C	-2.4	0.16	C488H668N212O301P38	1.0
1031.617801	15	52134398.0	RNA+rev-C	1.62	0.17	C488H668N212O301P38	0.9
1030.419398	15	17076299.0	RNA+rev-C-H2O	3.86	0.49	C488H666N212O300P38	7.2
1028.953292	15	16582080.0	RNA+rev-G	4.12	0.46	C487H668N210O301P38	5.2
1101.236611	14	28546772.0	RNA+rev-G-H2O	5.19	0.4	C487H666N210O300P38	4.9
1112.02488	14	121737651.0	RNA+rev-H2O	4.27	0.27	C492H671N215O301P38	5.7
1038.470271	12	62967031.0	RNA-A	4.47	0.29	C368H458N150O270P38	3.6
1040.465285	12	41049034.0	RNA-C	-1.23	0.33	C369H458N152O269P38	3.5
1131.507001	11	59593382.0	RNA-G	-1.84	0.45	C368H458N150O269P38	16.8
1037.126504	12	18665764.0	RNA-G	-5.99	0.47	C368H458N150O269P38	6.4
1048.215018	12	96201574.0	RNA-H2O	-4.08	0.46	C373H461N155O269P38	29.9
764.09727	1	8874354.0	a03-G	0.15	0.23	C24H29N7O18P2	0.3
859.60424	2	10577277.0	a06-G	2.66	0.43	C52H64N17O40P5	2.4
802.764617	3	14043862.0	a08-G	0.98	0.49	C72H88N27O54P7	5.9
1069.806882	3	31773102.0	a10	-2.8	0.14	C96H117N40O69P9	0.4
1074.883845	6	27460578.0	a10+rev+CMCT	4.74	0.29	C229H352N103O102P9	1.6
1512.261645	4	15993927.0	a10+rev-G	1.43	0.34	C210H322N95O100P9	1.5
1083.850404	6	87550458.0	a11+rev	-1.79	0.44	C224H339N103O108P10	22.3
1071.926567	4	25442122.0	a13+CMCT-G	-1.79	0.25	C134H173N51O89P12	1.0
1061.055261	7	50308974.0	a13+rev+CMCT	-2.65	0.25	C258H388N116O122P12	1.9
1013.125058	4	20055901.0	a13-A	-2.19	0.49	C120H148N48O89P12	8.4
672.420935	6	13273691.0	a13-G	6.44	0.42	C120H148N48O88P12	2.8
748.43096	6	28226096.0	a14	-1.02	0.35	C134H165N56O96P13	2.9
1068.750753	7	49188784.0	a14+rev	0.97	0.16	C253H375N116O128P13	0.8
1516.681477	5	59199149.0	a14+rev+CMCT-G	-0.73	0.22	C262H395N114O128P13	1.7
1083.054639	7	36384334.0	a14+rev+CMCT-G	-2.1	0.21	C262H395N114O128P13	0.9
1049.455946	7	1098914700.0	a14+rev-A	-0.26	0.32	C248H370N111O128P13	84.2
1234.449315	4	20522779.0	a15+CMCT-G	-1.09	0.44	C153H197N59O103P14	5.2
1118.047395	7	24903540.0	a15+rev	4.64	0.31	C263H387N121O135P14	1.7
1051.758035	5	574677362.0	a16+CMCT-A	-4.84	0.19	C162H208N61O112P15	12.0
1048.558085	5	2122967863.0	a16+CMCT-G	-5.77	0.26	C162H208N61O111P15	89.3
1016.4149	8	29345676.0	a16+rev	0.7	0.25	C272H398N123O143P15	1.1
1054.546393	8	170530568.0	a17+rev	1.94	0.24	C281H410N126O150P16	5.9
1069.064326	8	31470478.0	a17+rev+CMCT-A	1.7	0.4	C290H430N124O151P16	5.4
1067.065109	8	47388469.0	a17+rev+CMCT-G	1.85	0.1	C290H430N124O150P16	0.4
1062.534041	5	29589323.0	a17-A	2.46	0.21	C157H195N61O118P16	0.8
721.71539	8	20449270.0	a18	-3.33	0.43	C172H212N71O124P17	4.7
1076.792658	8	17036825.0	a18+rev-G	-1.93	0.42	C286H417N126O155P17	3.6
871.97628	7	47108997.0	a19	5.22	0.26	C182H224N76O130P18	2.0
762.852325	8	432627484.0	a19	3.89	0.17	C182H224N76O130P18	7.4
