spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2905_rev14.csv
limit_error:	6.5	2020-06-05
noise_limit:	3100000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1154.346491	11	17242408.0	RNA+CMCT-G	0.92	0.44	C382H483N153O270P38	4.5
1199.028951	13	113350309.0	RNA+rev	4.92	0.09	C492H673N215O302P38	0.9
1113.312882	14	673409519.0	RNA+rev	5.64	0.22	C492H673N215O302P38	19.6
1218.34568	13	837474033.0	RNA+rev+CMCT	-0.36	0.03	C506H698N218O303P38	3.6
1131.249964	14	214388145861.0	RNA+rev+CMCT	0.46	0.02	C506H698N218O303P38	844.7
1207.957486	13	1052696984.0	RNA+rev+CMCT-A	0.15	0.04	C501H693N213O303P38	5.1
1121.603457	14	13919069882.0	RNA+rev+CMCT-A	0.68	0.12	C501H693N213O303P38	149.1
1206.573226	13	49555358.0	RNA+rev+CMCT-A-H2O	1.12	0.15	C501H691N213O302P38	0.7
1120.3178	14	141569095.0	RNA+rev+CMCT-A-H2O	1.41	0.13	C501H691N213O302P38	1.7
1209.804163	13	388469471.0	RNA+rev+CMCT-C	-0.13	0.16	C502H693N215O302P38	6.2
1123.31868	14	6655652469.0	RNA+rev+CMCT-C	0.8	0.1	C502H693N215O302P38	58.4
1208.419487	13	124271263.0	RNA+rev+CMCT-C-H2O	0.49	0.38	C502H691N215O301P38	17.9
1122.032163	14	5186407893.0	RNA+rev+CMCT-C-H2O	0.76	0.35	C502H691N215O301P38	554.0
1206.726994	13	549524876.0	RNA+rev+CMCT-G	0.05	0.03	C501H693N213O302P38	2.4
1120.461739	14	1241942631.0	RNA+rev+CMCT-G	1.37	0.06	C501H693N213O302P38	7.3
1129.964255	14	3306122449.0	RNA+rev+CMCT-H2O	1.13	0.11	C506H696N218O302P38	32.0
1103.660638	14	51081877.0	RNA+rev-A	0.71	0.18	C487H668N210O302P38	1.0
1187.25157	13	26149331.0	RNA+rev-A-H2O	2.32	0.33	C487H666N210O301P38	2.3
1105.378331	14	59328736.0	RNA+rev-C	3.07	0.25	C488H668N212O301P38	2.3
1187.408638	13	28013516.0	RNA+rev-G	4.01	0.37	C487H668N210O301P38	3.7
1102.523009	14	34677876.0	RNA+rev-G	5.12	0.28	C487H668N210O301P38	1.8
1166.34259	1	7441099.0	a03+CMCT	-3.2	0.37	C43H59N15O20P2	1.0
764.09766	1	11479960.0	a03-G	0.66	0.23	C24H29N7O18P2	0.4
859.60215	2	11999440.0	a06-G	0.23	0.23	C52H64N17O40P5	0.4
1684.967086	3	15561833.0	a07+rev-G	-1.54	0.49	C181H286N82O79P6	6.7
1221.046878	5	61974080.0	a09+rev+CMCT	0.33	0.41	C219H340N98O95P8	12.1
1083.853402	6	22575913.0	a11+rev	0.98	0.52	C224H339N103O108P10	13.2
1109.692958	4	41303155.0	a13+CMCT	1.91	0.17	C139H178N56O90P12	0.7
857.34736	5	11333740.0	a13+CMCT-G	7.03	0.46	C134H173N51O89P12	3.6
