m/z,z,I,Res.
218.8134,,2788486,360351
222.0164,,2757952,294295
222.74365,,3850261,280965
222.75778,,12984298,312246
222.76468,,3595437,368451
222.77188,,24475112,330522
222.77296,,2908817,650038
222.77887,,3148400,349942
222.78602,,32950504,344141
222.80022,,36223160,356502
222.80107,,4218551,539892
222.80752,,2738169,418783
222.81449,,30476758,362195
222.8288,,23981302,357558
222.84322,,15553140,370318
222.85768,,9325491,370714
222.87199,,3601132,249622
222.88645,,3079687,408905
229.24064,,2945582,262240
240.61742,,2879233,356525
243.16181,,2884810,407946
259.275,,2732838,343604
273.77078,,2732558,282393
277.76352,,2848529,313544
278.13682,,3193052,340166
278.27093,,3290338,327093
281.87485,,2769830,149121
284.61773,,2970075,277176
293.1671,,2856719,284195
295.85815,,2984176,202411
301.57178,,2835762,233707
303.7944,,2746998,248620
310.60905,,2814539,202290
310.88318,,2775751,226131
318.94815,,2825079,234832
320.58158,,2876138,153553
322.73459,,2770122,249120
323.38553,,2869045,164911
323.82662,,2739379,268824
327.75253,,3155306,156265
329.70799,,2821634,227285
329.89901,,2856709,189056
338.32578,,2874559,118680
343.21244,,2782248,147923
343.8596,,2738307,189923
345.73827,,3080303,225529
356.21823,,2865976,175208
363.23083,,3461054,228501
366.39342,,2850971,165013
368.05782,,3290001,350890
368.10422,,5021985,312135
368.10578,,3519778,427391
368.15318,,3180850,378803
368.2749,,2807196,276439
368.58322,,3562376,216354
368.6036,,2736335,289274
368.60692,,4510288,198761
368.79983,,3008852,271439
368.9636,,2801933,209257
371.18242,,7879405,178577
371.22305,,11004028,231845
371.2946,,24899734,238798
372.12619,,2879804,134728
372.13509,,2857551,305181
372.15396,,2909014,402875
372.1781,,4135007,255701
372.22547,,2920177,455305
374.23869,,2825076,204177
384.18718,,2755439,203640
385.78767,,3052660,208447
386.21693,,2851902,195964
388.01542,,2922585,167865
389.65882,,2772525,171173
391.2446,,2797877,140235
394.08644,,2968570,143627
396.3188,,3161483,167983
397.02923,,2791915,178277
398.72005,,2753801,181842
401.50998,,2850537,158184
401.90576,,2915308,225142
401.92139,,2851669,170615
403.00262,,3391876,141143
403.89702,,2983118,200925
407.36064,,3122432,168705
408.90057,,2817615,106674
410.63402,,2947877,177456
412.31842,,2854287,202920
417.63623,,2956930,150185
418.05203,,2826137,145787
418.31842,,3010636,144173
418.45787,,3067946,165189
418.51976,,3274932,134661
422.6981,,2945865,166485
423.02312,,3735372,257534
423.77922,,3027104,206442
423.88505,,2836938,184722
424.72989,,3061057,177528
426.78797,,2964099,144053
427.19918,,2845965,161180
427.21484,,3351480,181288
428.7484,,3073558,169262
429.33579,,3529158,139913
432.29196,,3231136,209090
432.39604,,3151854,189616
432.68265,,2857542,172071
433.52066,,2907489,178972
435.16644,,3345739,152655
441.44403,,3333873,130844
443.87887,,3139363,173067
444.10112,,3199577,154019
447.67619,,2819266,144907
447.73273,,3027665,187744
450.40313,,2858907,106277
451.8192,,2866098,187351
452.69866,,3192069,188179
453.51299,,2889220,203547
455.72693,,2944827,137425
457.70312,,2852440,170371
459.47551,,3164194,133007
461.95502,,3308218,190575
462.86507,,2949621,106953
463.6334,,2828146,166711
464.5251,,3178659,174865
466.88591,,3822313,152544
467.39134,,3254623,138718
469.26021,,2986389,174145
469.51346,,2867956,118546
470.43025,,3281925,119987
471.21142,,2862634,132545
475.54972,,3134604,161265
476.12057,,2937302,139757
478.17331,,2822762,132738
481.82959,,2912682,176889
482.28893,,2870260,192937
482.48707,,2873210,185871
482.54728,,3037302,196057
487.28899,,3008171,192423
487.31942,,2825738,185859
487.9565,,3232468,150156
489.81858,,3013420,144311
492.95575,,3073152,134997
494.63924,,2962722,190015
494.88895,,2947368,125968
495.32068,,3451118,131720
496.64505,,3070915,104735
496.7909,,2879614,186944
497.05271,,6042515,169204
499.60293,,3074669,131239
500.95995,,3169883,170878
503.27268,,2911194,191192
505.89344,,3891902,137397
506.67939,,3078426,166149
507.5854,,2839549,149886
510.69466,,2986984,146398
511.18868,,3066381,105797
511.8239,,2905808,150208
511.94173,,3301588,117876
513.02546,,3131406,179235
515.06974,,2898180,157249
515.62311,,2849716,149630
516.31445,,2910081,192037
517.89918,,2973060,137898
519.53814,,2896206,148861
520.61277,,2888794,171703
521.03764,,3244001,119128
521.70206,,2908027,93216
524.68318,,2991817,126958
525.31664,,3022695,134123
526.53868,,3460692,90111
526.92881,,2923098,136113
527.80951,,3179742,170227
528.34197,,2950988,151821
528.37821,,2952822,154570
528.46254,,2908889,105338
529.59795,,3079308,178301
529.82878,,2914907,58964
533.32216,,3158132,93786
534.15284,,2875278,147890
534.72171,,11121778,156628
535.056,,7443456,175780
535.38943,,3187405,189585
536.62908,,3400852,114537
537.88213,,3259887,127439
538.14287,,3143528,151484
538.95477,,3019287,110778
539.88839,,2887450,125541
540.33485,,2897524,152357
540.90887,,3177833,124503
542.78802,,3089610,150723
543.40797,,3009499,130819
543.97434,,3199595,82405
546.19782,,3041409,119736
546.27891,,3026084,127926
546.87023,,2917847,113666
547.1192,,15973864,150230
547.59264,,2942956,140735
548.07273,,5878393,153735
548.12286,,3780854,161165
548.2533,,2957238,113136
548.40734,,3576596,186966
548.73923,,3331499,153024
551.86541,,3588217,158878
552.18174,,2899552,113291
552.23994,,3031240,134476
556.71862,,3637705,161144
556.74956,,2927088,192940
556.79095,,4505251,111142
556.81274,,3273726,117893
556.81969,,3669063,160909
556.82449,,3758285,184233
556.8285,,5802706,209133
556.85925,,9926649,151035
556.86394,,5167486,176162
556.89461,,11651109,130288
556.89969,,10413867,158457
556.91486,,2989246,219538
556.93035,,14652497,127227
556.95384,,4159663,68602
556.96232,,4299385,172104
556.96681,,5764991,219429
556.97082,,5412996,208224
557.00169,,16224682,139702
557.00737,,6187570,146824
557.03876,,3511449,97886
557.04367,,3252959,192432
557.07373,,6796037,137537
557.07852,,3169163,248729
557.10876,,7207345,124848
557.14869,,3015778,215146
557.21834,,3826937,117972
557.42962,,2912066,89290
557.64768,,3106386,117279
557.68259,,3813182,163017
557.82305,,3371694,145612
557.86012,,3574748,159232
558.07079,,2912868,167005
558.18188,,3352047,112425
558.5024,,2918209,152743
558.73932,,3044106,96633
558.78256,,3159328,143468
559.75931,,3030057,160329
559.82014,,3106806,144219
561.61762,,3375308,105178
563.45382,,2953562,177420
564.61578,,3466329,95352
565.25172,,2983296,132700
565.94303,,3083949,176600
565.95452,,2924476,125632
567.19146,,3485345,163681
569.53466,,2914126,152688
570.8782,,2947397,108939
572.02861,,3174792,124202
572.49258,,3059611,157710
575.45754,,2973124,155506
577.95554,,3135585,120598
579.5762,,3083766,115306
579.61036,,2936770,176670
579.93356,,3111334,142129
580.83846,,2977790,159687
582.63733,,2952228,123198
585.24864,,3148086,158799
586.38566,,3244359,137330
586.4925,,3387603,120869
586.67666,,2976036,112167
594.35481,,3623171,132152
594.79585,,4014987,151081
595.53379,,2961244,122984
596.99437,,3062444,148070
597.36567,,3116377,88546
597.57843,,2974387,109944
598.7833,,2967540,92336
598.79205,,3109056,115333
599.38812,,3191640,181523
599.4296,,3006543,80578
599.68719,,3234598,136045
599.94685,,3390463,113156
602.44837,,3228997,41455
602.53034,,3130738,120788
603.29207,,3690859,144195
604.2374,,2973274,171061
607.59502,,3032424,139728
608.01107,,3266198,124719
608.17373,,3353392,120209
608.38605,,3141772,151188
609.59011,,5708188,141401
610.09234,,3195519,153224
613.03195,,3953969,133076
618.09751,,6147554,253852
618.10357,,106849768,131057
618.60022,,7456905,198821
618.60541,,41919632,142305
618.66425,,3135904,115427
618.68194,,3366264,98013
619.1065,,10777141,138568
619.60821,,3002204,196920
621.60705,,3135789,113957
621.90261,,2997310,72295
623.09766,,20416080,128104
623.24851,,3020574,158560
623.33894,,3056600,100280
623.43241,,14009367,132346
623.76679,,6350173,116813
623.92754,,3055286,135229
625.84155,,5655516,131247
626.09141,,4113455,127745
627.08455,,3281780,145331
630.17808,,3103842,109243
630.57278,,2996410,124600
631.17864,,3061427,132978
631.79807,,3104894,156622
632.78197,,3132986,162886
633.04855,,3822565,87650
633.08568,,4499031,129356
633.93354,,3369754,122308
634.4964,,3082265,114235
635.37213,,3231491,130316
636.34363,,3069552,119008
636.84138,,3230742,142609
639.07378,,3105212,189026
639.47368,,3315678,119081
639.79063,,3448143,58199
