spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2905_revUnmod.csv
limit_error:	6.5	2020-06-12
noise_limit:	2000000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1061.402865	12	7343966.0	RNA+CMCT-C	2.81	0.3	C383H483N155O270P38	0.7
1199.025445	13	359475560.0	RNA+rev	1.99	0.04	C492H673N215O302P38	2.8
1113.307096	14	107528827051.0	RNA+rev	0.44	0.04	C492H673N215O302P38	774.3
1121.603404	14	35168989.0	RNA+rev+CMCT-A	0.63	0.12	C501H693N213O303P38	0.6
1120.313123	14	37394002.0	RNA+rev+CMCT-A-H2O	-2.77	0.12	C501H691N213O302P38	0.6
1123.321418	14	20983411.0	RNA+rev+CMCT-C	3.24	0.22	C502H693N215O302P38	1.0
1122.031836	14	32180893.0	RNA+rev+CMCT-C-H2O	0.47	0.22	C502H691N215O301P38	1.5
1120.460175	14	19672701.0	RNA+rev+CMCT-G	-0.02	0.12	C501H693N213O302P38	0.3
1119.175133	14	51038894.0	RNA+rev+CMCT-G-H2O	1.25	0.12	C501H691N213O301P38	0.8
1188.63566	13	408661804.0	RNA+rev-A	1.19	0.04	C487H668N210O302P38	3.0
1103.661396	14	6455851643.0	RNA+rev-A	1.4	0.02	C487H668N210O302P38	40.7
1102.376688	14	185871580.0	RNA+rev-A-H2O	3.0	0.02	C487H666N210O301P38	1.2
1190.480005	13	141555297.0	RNA+rev-C	-1.06	0.15	C488H668N212O301P38	3.3
1105.375475	14	3738429940.0	RNA+rev-C	0.48	0.05	C488H668N212O301P38	30.8
1189.097242	13	43858418.0	RNA+rev-C-H2O	1.18	0.04	C488H666N212O300P38	0.3
1104.091052	14	304569844.0	RNA+rev-C-H2O	2.34	0.02	C488H666N212O300P38	1.9
1187.40623	13	473284406.0	RNA+rev-G	1.99	0.04	C487H668N210O301P38	3.5
1102.520117	14	688484579.0	RNA+rev-G	2.5	0.02	C487H668N210O301P38	4.3
1101.230105	14	35607164.0	RNA+rev-G-H2O	-0.71	0.25	C487H666N210O300P38	2.3
1112.022481	14	1256878300.0	RNA+rev-H2O	2.11	0.04	C492H671N215O301P38	9.1
1132.962014	11	13431947.0	RNA-A	-1.02	0.23	C368H458N150O270P38	0.6
1131.503863	11	14049719.0	RNA-G	-4.61	0.4	C368H458N150O269P38	3.8
915.14389	1	3041359.0	a03	-2.92	0.37	C29H34N12O19P2	0.6
764.09821	1	4947282.0	a03-G	1.38	0.23	C24H29N7O18P2	0.2
609.590552	2	9784192.0	a04	0.43	0.11	C38H46N15O26P3	0.1
859.602593	2	9383610.0	a06-G	0.75	0.16	C52H64N17O40P5	0.2
1735.319361	3	9799747.0	a07+rev	-0.07	0.46	C186H291N87O80P6	4.9
853.112012	3	8848304.0	a08	-1.9	0.18	C77H93N32O55P7	0.3
1160.040544	5	7514153.0	a08+rev+CMCT	2.01	0.33	C210H328N95O88P7	1.0
715.843286	4	6327886.0	a09	-0.62	0.11	C86H105N35O62P8	0.1
1190.833832	5	19372011.0	a09+rev+CMCT-G	-2.32	0.15	C214H335N93O94P8	0.5
1109.688748	4	51079064.0	a13+CMCT	-1.88	0.04	C139H178N56O90P12	0.4
878.01778	8	7274574.0	a13+rev-G	-1.11	0.55	C239H358N108O120P12	8.9
1123.151117	4	32333340.0	a14	-0.09	0.22	C134H165N56O96P13	1.5
1118.040007	7	44996697.0	a15+rev	-1.97	0.12	C263H387N121O135P14	0.7
2020.11494	4	10451761.0	a15+rev+CMCT	-7.09	0.46	C277H412N124O136P14	5.2
1142.464626	7	32224208.0	a16+rev-A	-1.74	0.15	C267H393N118O143P15	0.7
1140.185393	7	23129770.0	a16+rev-G	3.31	0.37	C267H393N118O142P15	4.8
907.781822	6	11195275.0	a17	-2.46	0.29	C162H200N66O118P16	1.0
777.957633	7	30786066.0	a17	1.17	0.15	C162H200N66O118P16	0.7
1406.398382	6	16843461.0	a17+rev	2.49	0.23	C281H410N126O150P16	0.8
1186.041738	7	17539232.0	a17+rev-A	-1.85	0.34	C276H405N121O150P16	2.6
1252.342364	7	9914172.0	a18+rev	-2.05	0.47	C291H422N131O156P17	5.5
1095.675092	8	33912268.0	a18+rev	-0.75	0.16	C291H422N131O156P17	0.8
1127.076062	8	16699183.0	a18+rev+CMCT	0.16	0.25	C305H447N134O157P17	1.0
762.853289	8	13121140.0	a19	5.16	0.23	C182H224N76O130P18	0.6
1532.766927	6	10468065.0	a19+rev+CMCT-G	-2.52	0.51	C310H454N134O162P18	8.6
