m/z,z,I,Res.
263.99051,,2976882,153170
273.05285,,2903767,197996
285.94561,,2860239,185212
292.83976,,5077949,280549
292.87292,,6257404,276537
292.90637,,7688186,272210
292.93973,,5993624,314206
292.97332,,3135798,374283
296.59963,,3070480,249029
296.81751,,3228087,252378
297.94861,,2899293,181146
301.07667,,2891495,208528
308.50471,,2862427,198913
317.03209,,2881982,231940
318.29416,,2925593,281914
321.91921,,2947135,243597
323.04138,,3052783,227731
328.48245,,3239686,226132
331.42937,,3169813,216109
332.51533,,2890173,241122
333.16434,,2929554,226551
336.79441,,2856685,230250
340.48534,,3157464,174023
348.33899,,2987714,221094
357.77358,,2928925,176187
360.53288,,2889709,194808
379.91978,,2993172,203867
382.4601,,3181304,208713
385.42395,,2915785,196168
386.83727,,3142133,171096
387.03829,,3055888,176398
391.03323,,3454262,183692
393.13233,,3079238,190522
397.46225,,2962162,198185
398.62695,,3059755,142216
405.02168,,3195916,156944
408.4148,,2916365,179398
410.62822,,2989184,203910
413.85799,,2942532,130048
418.72221,,2904577,159181
421.85863,,2928157,142725
428.49447,,2952352,194051
429.49163,,2999456,169457
429.59952,,2921399,154141
431.59065,,3868072,143107
431.97798,,3056901,183145
436.49204,,3062542,162468
437.89034,,3007950,166368
443.32627,,2984170,186570
444.93155,,2971602,136634
446.46445,,3010533,172803
447.18936,,3213486,175048
448.08829,,2978294,211151
448.30788,,3010684,134275
449.68714,,3067165,203695
454.26706,,2981552,128456
454.67539,,3057484,180770
458.10079,,3343645,166024
466.67263,,3149643,159268
469.1161,,3100472,147568
475.04678,,3251127,137477
477.45236,,3396330,166463
480.80716,,3071238,160803
481.54449,,3084258,92959
482.50293,,3316678,111751
488.05634,,7013580,231985
488.11223,,6361863,240817
488.95236,,2998082,162189
490.75739,,3069283,149904
491.53229,,2962687,141374
491.87898,,3097458,155354
497.3654,,3256206,77773
500.64591,,3026440,162917
502.53232,,3099293,172448
504.23872,,3141110,160142
512.39782,,3164213,162902
512.73518,,3255312,122936
