m/z,z,I,Res.
240.83122,,2830986,239086
263.99029,,2738763,150267
292.83969,,5186865,251407
292.87286,,6409104,246813
292.90628,,7737358,246367
292.93965,,5810988,274820
292.97324,,3006315,356086
296.59961,,2925647,244733
296.81732,,2728023,182354
297.94855,,2735596,168306
303.71559,,2642072,213575
320.39308,,2735138,220414
323.04137,,2706696,211963
328.48243,,3020894,214586
331.42929,,2806693,190112
337.50499,,2738291,198173
340.48527,,3009147,193120
347.13015,,2682370,197633
348.33888,,2919846,176834
358.43678,,2647809,171418
381.79784,,2703207,153995
382.46002,,2656763,194626
385.42399,,2977956,191979
386.83714,,2995965,122766
388.46869,,2713394,131037
391.03311,,3053600,181992
393.13224,,2693054,179357
398.62683,,2769986,129851
406.82433,,2724135,186514
408.41469,,2876624,167219
409.45603,,2949031,139622
409.76616,,2825566,144453
410.62828,,2689530,200180
413.85776,,2722530,145371
418.00173,,2674554,163639
421.85871,,2933509,123352
425.25203,,2800126,143293
428.49438,,2851396,180540
429.49164,,2704110,159912
430.63908,,2689614,139794
431.59063,,3698560,116973
431.97792,,2687687,196363
436.49195,,2691503,152122
437.8902,,2771006,161058
447.1894,,3093008,163253
447.23452,,2758101,156297
448.08829,,2771264,199255
448.30779,,2813481,139433
449.68719,,2726180,194839
454.26711,,2821685,136329
455.32332,,2769994,151296
458.10075,,3143051,162106
465.27644,,2735751,106933
465.77862,,2718497,113519
466.67282,,2939809,146178
469.11612,,2851016,135848
473.28481,,2720162,109347
473.52115,,2765328,141401
475.04663,,2940526,132208
477.45228,,2888408,156816
481.54501,,2872047,76917
486.46429,,2783141,173023
488.05634,,6950531,215011
488.16777,,6179313,211150
488.9522,,2850744,142900
490.75738,,2746324,158437
490.84579,,2881996,123070
490.89796,,2756704,137349
492.9304,,2809162,105258
493.22902,,2755733,130255
495.84753,,2871466,69143
497.2197,,2868354,132299
497.36531,,2768278,69652
498.24771,,2799411,157125
499.44832,,2812726,131054
502.53205,,2919073,144719
502.73388,,2793743,101333
503.02157,,2835414,108633
503.60273,,2796970,146980
504.23882,,2890552,152040
507.59766,,2793826,155868
512.39765,,2876165,147738
512.73523,,2865990,112921
516.30882,,2919150,100786
517.19177,,2856048,138984
518.06227,,2823207,142183
518.95107,,2998131,79710
519.4891,,2787116,140313
519.88326,,2888078,152187
521.52065,,3242967,102244
523.27327,,2787071,144174
527.35818,,2819675,96198
527.36932,,3279607,132116
528.27436,,2897729,99282
528.83283,,2839864,139466
531.43548,,2835590,107499
533.01077,,2782792,111919
536.35311,,2849556,106815
538.03922,,3236391,136004
538.88344,,3054779,133458
539.95063,,3114466,109465
543.44712,,2882045,112828
544.68089,,2830046,105151
547.11087,,2830586,125979
548.10336,,8243959,142809
548.41664,,2896909,88205
548.5064,,2863343,103309
548.64655,,2905000,100293
549.98636,,2988833,110557
551.74671,,2881928,128380
552.51383,,2920848,110346
553.60249,,2958233,91394
554.31789,,2975017,133286
554.7782,,2865762,106311
555.36252,,3087362,149567
557.03672,,2881519,109190
561.50055,,3150739,99010
563.54784,,2872219,83792
566.4253,,3015924,125698
569.20427,,2823264,137922
569.38621,,2903016,100587
572.19259,,3264625,126958
