spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2908_0x_6.csv
limit_error:	6.5	2020-04-06
noise_limit:	2120000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1421.670053	6	74052922.74	RNA	-1.39	0.1	C253H315N91O194P26	0.9
1463.535672	6	32407808629.91	RNA+CMCT	-2.04	0.02	C267H340N94O195P26	186.7
1441.027434	6	975030346.4019288	RNA+CMCT-A	-1.49	0.03	C262H335N89O195P26	6.2
1725.82794	5	5644814.020645472	RNA+CMCT-A-H2O	-4.0	0.45	C262H333N89O194P26	2.4
1445.030423	6	298955509.33764976	RNA+CMCT-C	-0.71	0.03	C263H335N91O194P26	1.9
1442.028883	6	66584322.40141285	RNA+CMCT-C-H2O	-0.56	0.11	C263H333N91O193P26	0.9
1726.230874	5	14026117.6098066	RNA+CMCT-G	-4.11	0.31	C262H335N89O194P26	1.5
1438.362561	6	1919412928.91	RNA+CMCT-G	-0.83	0.01	C262H335N89O194P26	10.0
1435.362337	6	162708279.04	RNA+CMCT-G-H2O	0.24	0.04	C262H333N89O193P26	1.1
1460.536557	6	841543327.95	RNA+CMCT-H2O	-0.24	0.03	C267H338N94O194P26	5.4
706.590193	2	10116799.09	a05-G	1.26	0.12	C43H53N15O32P4	0.2
1413.1862	2	9021355.248810159	a09	1.79	0.46	C85H104N32O63P8	4.2
1701.576831	3	14304069.39	a16+CMCT-A	-2.18	0.35	C158H204N49O116P15	2.2
1856.292646	3	11256579.155986061	a17+CMCT	5.26	0.29	C173H221N59O122P16	1.0
1516.967815	4	26919355.57	a19+CMCT-G	1.08	0.15	C187H239N61O136P18	0.6
1458.16591	4	16810092.05	a19-A	0.65	0.22	C173H214N58O136P18	0.7
1603.224856	4	20147769.78	a20+CMCT-G	-1.98	0.32	C197H251N66O143P19	2.3
1468.79768	5	16225999.31	a23+CMCT-A	-2.62	0.3	C224H286N74O166P22	1.5
1534.608445	5	31426390.76	a24+CMCT-A	-2.34	0.19	C234H298N79O172P23	1.0
1600.419965	5	25010929.25	a25+CMCT-G	-1.61	0.2	C244H310N84O178P24	0.9
689.08762	1	14497238.91	c02	0.04	0.21	C20H24N10O14P2	0.6
538.03938	1	3974839.97	c02-G	2.22	0.16	C15H19N5O13P2	0.1
994.129816	1	52034244.29	c03	0.94	0.08	C29H36N13O21P3	0.5
1300.154823	1	24822897.78	c04	0.49	0.03	C38H47N15O29P4	0.2
649.573652	2	24826518.07	c04	0.31	0.11	C38H47N15O29P4	0.4
822.096324	2	46129217.46	c05	-1.03	0.14	C48H59N20O36P5	0.9
974.617962	2	81487931.36896552	c06	0.15	0.08	C57H71N23O43P6	0.9
899.09514	2	5319928.35	c06-G	2.26	0.43	C52H66N18O42P6	1.8
1127.630491	2	42942787.47	c07	0.02	0.05	C66H82N25O51P7	0.3
1253.231519	2	23891133.19	c07+CMCT	0.94	0.14	C80H107N28O52P7	0.5
1280.641285	2	42663000.07	c08	-1.43	0.1	C75H93N27O59P8	0.5
853.424695	3	16044483.52	c08	-1.9	0.24	C75H93N27O59P8	0.8
1406.243063	2	51684477.74	c08+CMCT	0.05	0.08	C89H118N30O60P8	0.5
968.442381	3	23687896.19	c09	0.26	0.14	C85H105N32O66P9	0.5
1578.766395	2	22498502.73	c09+CMCT	-0.2	0.15	C99H130N35O67P9	0.5
1070.450683	3	37564533.09	c10	0.11	0.17	C94H116N34O74P10	1.0
1731.782289	2	24251853.63	c10+CMCT	1.69	0.18	C108H141N37O75P10	0.7
1154.185147	3	12187855.37	c10+CMCT	1.15	0.34	C108H141N37O75P10	1.7
1172.130454	3	65631092.46	c11	-0.46	0.06	C103H128N37O81P11	0.6
1255.865997	3	23777797.81	c11+CMCT	1.39	0.25	C117H153N40O82P11	1.4
1273.810009	3	94377541.59	c12	-1.11	0.06	C112H140N40O88P12	0.8
1357.543269	3	45678034.18	c12+CMCT	-1.04	0.11	C126H165N43O89P12	0.6
1223.463269	3	10324110.14	c12-G	1.35	0.36	C107H135N35O87P12	1.8
1375.818683	3	58304220.32	c13	-0.85	0.05	C121H151N42O96P13	0.5
1459.548052	3	48481527.71	c13+CMCT	-3.47	0.12	C135H176N45O97P13	0.8
1477.831611	3	35864171.71	c14	2.25	0.06	C130H162N44O104P14	0.3
1561.5611	3	69224110.58	c14+CMCT	-0.28	0.05	C144H187N47O105P14	0.5
1579.844257	3	14946875.22	c15	4.77	0.32	C139H173N46O112P15	1.7
1663.568931	3	123956196.53	c15+CMCT	-0.63	0.04	C153H198N49O113P15	0.9
1266.888382	4	14585430.99	c16	-0.37	0.4	C149H185N51O118P16	3.8
1773.257154	3	110651927.9	c16+CMCT	1.69	0.03	C163H210N54O119P16	0.7
1882.939871	3	49042976.14	c17+CMCT	0.82	0.14	C173H222N59O125P17	0.9
1411.952089	4	28060857.02	c17+CMCT	0.12	0.2	C173H222N59O125P17	1.0
1984.944072	3	14821255.738907965	c18+CMCT	-1.35	0.29	C182H233N61O133P18	1.3
1488.456165	4	125336092.62	c18+CMCT	-1.4	0.05	C182H233N61O133P18	1.0
1574.718251	4	243628398.94	c19+CMCT	-1.18	0.03	C192H245N66O140P19	1.6
1536.956675	4	30694110.1	c19+CMCT-G	-0.7	0.28	C187H240N61O139P19	2.4
1660.984946	4	110763047.8	c20+CMCT	1.79	0.08	C202H257N71O147P20	1.2
1623.219075	4	20680531.65	c20+CMCT-G	-0.33	0.25	C197H252N66O146P20	1.2
1737.490314	4	94853977.93	c21+CMCT	1.16	0.08	C211H268N73O155P21	1.0
1699.725457	4	28598460.13	c21+CMCT-G	-0.28	0.25	C206H263N68O154P21	1.6
1813.749799	4	89325579.56	c22+CMCT	0.65	0.05	C220H280N76O162P22	0.7
1450.797237	5	18300042.77763759	c22+CMCT	-0.14	0.25	C220H280N76O162P22	1.1
