m/z,z,I,Res.
217.58071,,2665924,259068
269.92742,,2817034,229589
274.26728,,2760302,284654
275.8789,,2969668,260762
284.2637,,3207688,216501
286.15512,,2765562,280178
290.1704,,5212227,286581
290.20367,,8477889,267170
290.23705,,8749951,278248
290.27048,,7622493,279425
290.30404,,4941627,304218
290.33784,,2890138,315636
300.6494,,2657568,233555
309.74785,,2700873,240062
338.47485,,2858895,210226
359.18824,,2822439,159725
359.83191,,2774213,186215
361.42351,,2935383,165310
363.83543,,2832646,214358
368.03885,,2729351,182018
370.27696,,2674427,229352
372.05442,,2756832,148759
378.08581,,2861921,146594
378.12754,,2777315,182897
381.4175,,2838656,187370
382.16469,,2754517,232343
383.51494,,2745061,180357
388.15334,,2788341,143301
390.19753,,2843341,167891
392.64581,,3077958,167804
399.08285,,2767085,141929
406.00607,,2799102,127806
406.60623,,2759374,170249
407.17808,,2948622,161343
414.27129,,2926235,167819
416.17747,,2727917,178552
420.26857,,2870549,117268
421.71261,,2981913,149440
423.49229,,2993038,107517
426.63529,,2761789,139895
428.69576,,2727328,132394
429.61887,,2904698,186342
437.16813,,2768483,150536
440.98739,,3034724,161323
443.34844,,2715531,128057
444.71818,,2780514,119177
446.40718,,2718279,177537
457.6653,,2726369,192098
459.40807,,3062292,156873
461.71772,,2850121,135994
463.25471,,2836257,121183
468.81083,,2769372,164370
470.7772,,2806216,193415
473.83478,,2787641,175354
475.31198,,2865022,217004
480.82708,,2882146,136631
483.60677,,6184527,224255
483.66226,,6631813,232427
483.70677,,7548336,207804
483.71841,,6990267,205591
483.76184,,6516709,164383
484.44676,,2805755,181667
485.82008,,2853454,171401
491.82405,,2850990,110104
492.16317,,2768446,151665
492.52371,,2796964,167841
492.65843,,2901065,138141
492.8255,,2789039,156769
495.07646,,2897456,125649
498.82593,,2821156,123605
499.21262,,2917834,141768
500.75312,,3121793,142573
501.24486,,3047188,169366
501.28278,,2845355,101152
502.26995,,2879878,131859
503.09315,,2832237,112998
505.06982,,2871377,108028
508.92419,,3050832,122374
509.76562,,2806006,131746
510.00446,,2817085,106010
511.57611,,3087244,97764
512.52954,,3093324,113846
513.64612,,2987001,125806
514.5681,,3270524,100851
517.82075,,3702480,124839
520.19303,,2879990,124800
520.91517,,3655185,123760
521.17754,,2883399,125689
521.87798,,2822093,131620
523.25925,,2831591,141191
526.44944,,2824844,86609
530.22974,,3133372,110036
536.29428,,3166534,100910
536.49504,,2830847,133206
536.74864,,3100401,127024
541.10369,,2918856,135090
541.58003,,2836814,108126
543.17459,,3077911,125762
545.78504,,3542071,129429
547.11958,,7698603,141909
555.3841,,2896310,96451
558.94118,,3116098,88504
558.96764,,2917119,149696
561.32923,,3069866,119243
563.57316,,3367510,123956
563.80772,,3165161,76531
564.04692,,3033761,182273
564.0539,,2922441,129817
566.30809,,2883106,112678
566.91254,,3002301,132905
568.22086,,2880770,121894
568.31172,,2861895,143362
568.55636,,2903925,86859
573.23254,,2864772,93949
575.71928,,2964607,144719
576.42367,,3149833,106296
578.81112,,3205206,169757
581.84644,,3003756,131292
583.72485,,2880835,116982
584.65609,,3116166,138452
585.9849,,2856606,109579
588.92634,,2948707,65117
592.58065,,2906450,112808
594.05153,,3233887,127088
596.13098,,3006309,97701
596.65574,,2956291,121091
601.49058,,2914593,120805
604.64798,,2880363,70861
606.76648,,3273285,121569
606.9492,,2965770,163289
615.88134,,2940877,86915
617.44451,,2938244,112227
618.38254,,3436429,98730
620.14209,,3660895,112696
620.85742,,3043447,108958
621.07176,,3067898,97788
622.81267,,2986800,106012
623.33419,,3369560,111453
627.08614,,5411979,135213
627.44202,,3763328,104642
628.08722,,2971909,93739
628.73629,,2987661,96829
630.26651,,2931533,96873
633.87073,,2996114,78626
634.08944,,2982484,119545
637.76753,,2969702,102677
647.56932,,3223875,106827
647.60882,,2962987,125443
647.80666,,3580273,123757
649.33552,,3037353,110502
649.43512,,3111693,114345
650.06661,,3119586,93085
650.25055,,2986105,122053
652.26553,,3043784,94366
653.43008,,3041734,63207
654.1171,,3335978,84046
654.31194,,3190186,75557
656.75081,,2961567,74863
656.8073,,3209014,120043
664.83398,,3344681,87205
665.15351,,3080537,85343
666.87448,,3088501,72000
667.59549,,3036252,93620
668.29247,,3372075,90631
669.08437,,6954833,119459
669.30716,,2980065,120153
669.58701,,3266727,159508
669.93737,,3180270,100587
670.73044,,3036688,104593
673.25415,,3519919,106297
673.32286,,2999055,83169
673.59499,,3046185,85430
675.93885,,3397578,102334
677.2784,,3228267,85539
677.61608,,3186621,116787
680.28805,,3139872,92779
681.93098,,3002584,97360
683.86199,,3214532,127745
686.86718,,3176584,100466
687.00991,,3280468,63008
687.14125,,3016374,105071
689.08784,,8494217,117183
692.65143,,3133357,108857
696.17733,,3140356,92327
696.48003,,3347777,112571
702.51489,,3233386,116358
705.82431,,3242394,110575
706.77347,,3040498,79751
707.559,,3289061,44423
709.00687,,3147778,90869
709.77804,,2996547,85230
711.22641,,3198774,76537
711.80947,,3063455,100339
713.0121,,3708170,119836
713.16833,,3667140,115657
714.26622,,3321816,86107
715.28753,,3048493,112757
717.65866,,3005834,101119
718.23916,,3162485,63419
720.13524,,3412133,94570
721.38707,,3326358,108840
723.18292,,3265881,81916
724.17528,,3301118,97265
725.36396,,3259313,112729
725.4488,,5125360,106468
725.51252,,3041695,129454
725.53151,,3876845,94152
725.67657,,3262040,114411
725.95218,,3446116,120082
726.84807,,3608506,58326
727.46854,,3116099,55328
727.79002,,3036207,120251
728.4926,,3442866,125121
729.60428,,3054943,78609
729.78431,,3056578,77642
733.00103,,3676284,120172
734.26779,,3013834,88638
734.65744,,3151392,112141
735.53601,,3167924,63923
738.92807,,3322232,114807
739.45972,,3401070,105217
739.91034,,3617770,94813
743.45817,,3488980,35148
744.59968,,3157481,127826
744.89596,,3188725,89784
749.17362,,3337060,78453
749.21364,,3371007,111330
751.1128,,19672260,103659
751.61459,,7941399,116139
754.33112,,3145204,101769
755.20422,,3099194,83232
758.41992,,3157066,82353
759.84317,,3364337,98435
761.07439,,3362263,83480
761.27207,,3151128,108526
761.85302,,3017554,95016
763.71245,,3404298,72380
764.87138,,3220087,101321
765.41861,,3280151,97591
768.6977,,3219277,93142
769.08916,,3413959,90027
770.33161,,3074364,79943
770.52434,,3198423,93036
771.25538,,3832742,83596
771.99652,,3128186,100722
772.98835,,3028012,97376
775.58121,,3184071,105260
777.66835,,3067868,132938
781.09759,,3660070,59297
781.1937,,3224673,85447
782.54667,,3232929,83325
783.55735,,3134540,103352
