spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2911_72_6_3.csv
limit_error:	6
noise_limit:	1970000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1438.186578	6	267421479.1	RNA	-1.88	0.02	C256H320N102O188P26	1.7
1450.195465	6	26152668723.89	RNA+DEPC	1.84	0.08	C259H324N102O190P26	295.5
1427.686989	6	769716340.0717739	RNA+DEPC-A	2.29	0.08	C254H319N97O190P26	8.7
1431.686991	6	204685677.63	RNA+DEPC-C	0.98	0.1	C255H319N99O189P26	2.8
1428.687196	6	145040874.68979347	RNA+DEPC-C-H2O	2.36	0.21	C255H317N99O188P26	6.0
1442.520348	6	2009574056.58	RNA+DEPC-Eth	0.83	0.06	C257H318N102O189P26	18.6
1420.010209	6	111668866.53	RNA+DEPC-Eth-A	0.1	0.08	C252H313N97O189P26	1.3
1417.344855	6	272048173.3599999	RNA+DEPC-Eth-G	0.42	0.09	C252H313N97O188P26	3.4
1414.345137	6	14531371.32	RNA+DEPC-Eth-G-H2O	1.87	0.44	C252H311N97O187P26	6.0
1439.52097	6	107456288.80922283	RNA+DEPC-Eth-H2O	2.48	0.2	C257H316N102O188P26	4.0
1425.021329	6	1697436201.3266294	RNA+DEPC-G	2.41	0.08	C254H319N97O189P26	19.2
1422.018053	6	90623422.7966235	RNA+DEPC-G-H2O	1.35	0.1	C254H317N97O188P26	1.3
1447.195746	6	557541516.0381472	RNA+DEPC-H2O	3.25	0.1	C259H322N102O189P26	7.7
1415.67932	6	137519409.47000027	RNA-A	-0.62	0.08	C251H315N97O188P26	1.6
1703.817421	5	8879789.391094383	RNA-C	-1.48	0.44	C252H315N99O187P26	3.7
1413.013442	6	50635251.57	RNA-G	-0.66	0.14	C251H315N97O187P26	1.0
1435.189235	6	27960803.99	RNA-H2O	1.2	0.19	C256H318N102O187P26	0.9
1108.16022	1	6319282.26	a04-G	-0.32	0.31	C34H42N13O24P3	0.7
1031.632688	2	10207546.18	a07-A	-0.94	0.21	C62H77N23O46P6	0.4
1348.679757	2	12327775.81	a09-A	-0.6	0.28	C81H101N31O59P8	1.0
1452.858532	3	248426059.96	a14	-1.66	0.21	C131H164N49O96P13	10.3
1426.522788	3	147172255.9948543	a14+DEPC-G	3.23	0.33	C129H163N44O97P13	20.3
1402.511185	3	58235286.70385854	a14-G	0.04	0.03	C126H159N44O95P13	0.4
1517.528547	3	17256008.711938486	a15-G	1.06	0.22	C136H171N49O102P14	0.8
1656.55132	3	10164191.225572292	a16+DEPC-G	0.92	0.33	C149H187N54O111P15	1.4
1386.922946	4	9767792.01	a18-G	-0.35	0.44	C165H206N61O124P17	4.0
1491.19238	4	14347494.265234645	a19+DEPC-G	1.21	0.35	C178H222N66O133P18	2.4
1611.213742	4	22727580.37	a20+DEPC	-1.44	0.23	C193H239N76O140P19	1.2
1454.588306	5	18439332.14	a23+DEPC-G	1.2	0.31	C217H269N83O160P22	2.1
1440.181838	5	11417349.56	a23-G	-0.34	0.42	C214H265N83O158P22	3.9
1587.805325	5	22395079.837734353	a25+DEPC-A	1.28	0.35	C236H293N91O175P24	3.8
1584.605991	5	21034246.25	a25+DEPC-G	1.06	0.26	C236H293N91O174P24	1.4
1675.816282	5	310651741.58194745	a26+DEPC	-3.68	0.02	C250H310N99O182P25	1.9
1396.342978	6	85389727.97939931	a26+DEPC	-5.62	0.08	C250H310N99O182P25	1.0
1648.812784	5	23000497.48	a26+DEPC-A	0.75	0.25	C245H305N94O182P25	1.4
1645.609384	5	51333880.99	a26+DEPC-G	-1.93	0.08	C245H305N94O181P25	0.6
1631.204919	5	14512987.705910502	a26-G	-2.09	0.25	C242H301N94O179P25	0.9
689.08784	1	10567721.85	c02	0.36	0.21	C20H24N10O14P2	0.4
994.129126	1	72352414.21	c03	0.25	0.04	C29H36N13O21P3	0.5
1066.150688	1	23918416.21	c03+DEPC	0.64	0.1	C32H40N13O23P3	0.3
669.085043	2	11661445.34	c04	0.78	0.11	C39H48N18O28P4	0.2
822.098072	2	24750753.79	c05	1.1	0.13	C48H59N20O36P5	0.5
858.107361	2	9668656.99	c05+DEPC	-0.44	0.17	C51H63N20O38P5	0.3
974.618069	2	55582614.31	c06	0.26	0.03	C57H71N23O43P6	0.4
1010.627572	2	15652120.79	c06+DEPC	-0.8	0.18	C60H75N23O45P6	0.5
987.6021	2	4376769.38	c06+DEPC-Eth	-5.41	0.48	C58H69N23O44P6	2.7
1139.143632	2	31165840.34	c07	-0.39	0.1	C67H83N28O49P7	0.4
1175.154954	2	15899402.232549623	c07+DEPC	0.27	0.1	C70H87N28O51P7	0.2
1291.665467	2	45760698.20407866	c08	0.58	0.19	C76H95N31O56P8	1.6
1327.675599	2	27061560.26	c08+DEPC	0.24	0.06	C79H99N31O58P8	0.3
1304.649283	2	7347065.41	c08+DEPC-Eth	-3.88	0.5	C77H93N31O57P8	5.5
