spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1411_1_6.csv
limit_error:	6
noise_limit:	2000000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev*n 	formula 
1706.209563	5	12798008.5	RNA	0.98	0.42	C253H315N91O194P26	
1421.672712	6	81827703.79	RNA	0.48	0.17	C253H315N91O194P26	
1463.535406	6	60604905948.08	RNA+CMCT	-2.22	0.03	C267H340N94O195P26	
1438.027891	6	3679292162.9	RNA+CMCT-A-H2O	0.05	0.3	C262H333N89O194P26	
1438.363523	6	4749639010.54	RNA+CMCT-G	-0.16	0.02	C262H335N89O194P26	
1435.362557	6	411368907.67	RNA+CMCT-G-H2O	0.39	0.04	C262H333N89O193P26	
1460.536468	6	2043201166.88	RNA+CMCT-H2O	-0.3	0.03	C267H338N94O194P26	
1396.159875	6	11947936.1	RNA-A-H2O	-0.94	0.44	C248H308N86O193P26	
458.07148	1	7041047.58	a02-G	-0.81	0.16	C15H18N5O10P1	
914.15938	1	6206367.07	a03	-3.47	0.28	C29H35N13O18P2	
506.65411	2	3471702.54	a03+CMCT-G	2.56	0.33	C38H55N11O18P2	
1471.39498	1	5871745.89	a04+CMCT	5.01	0.43	C52H71N18O27P3	
706.588842	2	32181456.47	a05-G	-0.65	0.06	C43H53N15O32P4	
1413.18604	2	23750828.94	a09	1.68	0.31	C85H104N32O63P8	
1538.783794	2	11455998.5	a09+CMCT	0.16	0.32	C99H129N35O64P8	
1337.65254	2	10840515.22	a09-G	-4.8	0.25	C80H99N27O62P8	
1432.890352	3	8876390.21	a13+CMCT	-5.11	0.45	C135H175N45O94P12	
1701.580508	3	51655477.13	a16+CMCT-A	-0.02	0.08	C158H204N49O116P15	
1329.167275	4	123230840.31	a17	5.17	0.2	C159H196N56O121P16	
1856.282679	3	43641004.91	a17+CMCT	-0.11	0.19	C173H221N59O122P16	
1811.268269	3	40027442.71	a17+CMCT-A	1.96	0.09	C168H216N54O122P16	
1295.400748	4	14979271.32	a17-A	3.07	0.2	C154H191N51O121P16	
1874.567972	3	14184920.46	a18	5.29	0.38	C168H207N58O129P17	
1958.29871	3	15256376.66	a18+CMCT	3.78	0.42	C182H232N61O130P17	
1371.908833	4	10075561.26	a18-A	4.18	0.52	C163H202N53O129P17	
1491.933112	4	294237584.61	a19	3.03	0.19	C178H219N63O136P18	
1554.736601	4	57207993.42	a19+CMCT	5.19	0.24	C192H244N66O137P18	
1516.965537	4	76719978.13	a19+CMCT-G	-0.42	0.08	C187H239N61O136P18	
1458.157063	4	23438608.49	a19-A	-5.42	0.36	C173H214N58O136P18	
1454.164608	4	51942786.67	a19-G	-1.12	0.2	C173H214N58O135P18	
1603.223762	4	82200893.45	a20+CMCT-G	-2.66	0.05	C197H251N66O143P19	
1068.485947	6	160784939.28	a20+CMCT-G	2.82	0.59	C197H251N66O143P19	
1679.733173	4	10692519.79	a21+CMCT-G	-0.71	0.35	C206H262N68O151P20	
1870.023152	4	142295125.93	a23+CMCT	3.1	0.32	C229H291N79O166P22	
1495.817415	5	66789583.15	a23+CMCT	3.33	0.38	C229H291N79O166P22	
1836.260092	4	9862587.0	a23+CMCT-A	3.46	0.39	C224H286N74O166P22	
1832.258774	4	34943075.86	a23+CMCT-G	2.06	0.4	C224H286N74O165P22	
1534.610654	5	77469310.35	a24+CMCT-A	-0.9	0.07	C234H298N79O172P23	
1600.418924	5	52858806.6	a25+CMCT-G	-2.26	0.07	C244H310N84O178P24	
344.03979	1	6696113.27	c01	-1.07	0.12	C10H12N5O7P1	
689.087992	1	51362018.0	c02	0.58	0.06	C20H24N10O14P2	
538.03804	1	10652114.88	c02-G	-0.27	0.16	C15H19N5O13P2	
994.130396	1	146846188.31	c03	1.53	0.04	C29H36N13O21P3	
843.08124	1	5825402.41	c03-G	2.1	0.23	C24H31N8O20P3	
1300.154988	1	63597172.09	c04	0.62	0.04	C38H47N15O29P4	
649.573224	2	93088851.76	c04	-0.35	0.06	C38H47N15O29P4	
1149.10041	1	4513794.49	c04-G	-3.8	0.3	C33H42N10O28P4	
822.097304	2	143204568.32	c05	0.16	0.06	C48H59N20O36P5	
581.10964	3	4218410.13	c05+CMCT-G	-4.87	0.46	C57H79N18O36P5	
746.57311	2	9648378.28	c05-G	0.86	0.13	C43H54N15O35P5	
974.618216	2	236572154.37	c06	0.41	0.01	C57H71N23O43P6	
899.094	2	9975134.31	c06-G	0.99	0.05	C52H66N18O42P6	
1127.629095	2	89034664.42	c07	-1.21	0.04	C66H82N25O51P7	
1253.232283	2	145576792.3	c07+CMCT	1.55	0.03	C80H107N28O52P7	
1052.10633	2	13515455.56	c07-G	0.54	0.18	C61H77N20O50P7	
1280.639143	2	48068371.54	c08	-3.1	0.23	C75H93N27O59P8	
853.42506	3	17597804.72	c08	-1.47	0.24	C75H93N27O59P8	
1406.244841	2	268627270.93	c08+CMCT	1.31	0.03	C89H118N30O60P8	
937.160074	3	7238974.23	c08+CMCT	0.53	0.44	C89H118N30O60P8	
1330.719994	2	20454290.05	c08+CMCT-G	1.28	0.15	C84H113N25O59P8	
1453.173222	2	17566512.19	c09	4.4	0.28	C85H105N32O66P9	
968.442822	3	40338583.5	c09	0.72	0.08	C85H105N32O66P9	
1578.768129	2	78672247.68	c09+CMCT	0.9	0.31	C99H130N35O67P9	
1052.176439	3	19963303.82	c09+CMCT	1.0	0.15	C99H130N35O67P9	
1503.243407	2	24872642.49	c09+CMCT-G	0.93	0.35	C94H125N30O66P9	
1606.186798	2	10833899.25	c10	4.55	0.38	C94H116N34O74P10	
1070.447615	3	46621063.34	c10	-2.76	0.12	C94H116N34O74P10	
1731.787618	2	78591905.13	c10+CMCT	4.77	0.08	C108H141N37O75P10	
1020.101205	3	8917792.21	c10-G	0.44	0.3	C89H111N29O73P10	
1172.130026	3	81262133.71	c11	-0.82	0.04	C103H128N37O81P11	
1884.308005	2	71172897.74	c11+CMCT	4.24	0.25	C117H153N40O82P11	
1255.864872	3	136835247.83	c11+CMCT	0.5	0.05	C117H153N40O82P11	
1121.781876	3	17231175.84	c11-G	0.61	0.1	C98H123N32O80P11	
1273.809379	3	109058053.95	c12	-1.6	0.04	C112H140N40O88P12	
2036.819636	2	46092380.29	c12+CMCT	-0.5	0.07	C126H165N43O89P12	
1357.542208	3	201260106.9	c12+CMCT	-1.82	0.02	C126H165N43O89P12	
1307.190325	3	13263819.66	c12+CMCT-G	-3.48	0.32	C121H160N38O88P12	
1223.461896	3	13381021.59	c12-G	0.23	0.38	C107H135N35O87P12	
1375.817508	3	50423556.55	c13	-1.71	0.11	C121H151N42O96P13	
1459.547118	3	132564080.69	c13+CMCT	-4.11	0.23	C135H176N45O97P13	
1409.205058	3	15996131.81	c13+CMCT-G	1.24	0.25	C130H171N40O96P13	
1477.835329	3	46547476.56	c14	4.76	0.14	C130H162N44O104P14	
1561.562283	3	234643507.14	c14+CMCT	0.47	0.01	C144H187N47O105P14	
1511.207155	3	24884264.19	c14+CMCT-G	-3.03	0.12	C139H182N42O104P14	
1663.568375	3	348867200.83	c15+CMCT	-0.96	0.02	C153H198N49O113P15	
1613.222126	3	60339124.72	c15+CMCT-G	1.21	0.07	C148H193N44O112P15	
1266.891548	4	18461531.81	c16	2.13	0.2	C149H185N51O118P16	
1773.261857	3	292941199.3	c16+CMCT	4.34	0.05	C163H210N54O119P16	
1722.905955	3	49451294.48	c16+CMCT-G	0.93	0.11	C158H205N49O118P16	
1882.946682	3	166431249.97	c17+CMCT	4.44	0.06	C173H222N59O125P17	
1411.952356	4	81950494.7	c17+CMCT	0.31	0.11	C173H222N59O125P17	
1832.589883	3	37029020.78	c17+CMCT-G	0.74	0.19	C168H217N54O124P17	
1425.667017	4	34883153.92	c18	6.11	0.37	C168H208N58O132P18	
1984.947394	3	88983925.68	c18+CMCT	0.32	0.08	C182H233N61O133P18	
1488.456713	4	275772806.77	c18+CMCT	-1.03	0.04	C182H233N61O133P18	
1934.603004	3	30330108.65	c18+CMCT-G	3.13	0.26	C177H228N56O132P18	
1450.699002	4	50733410.6	c18+CMCT-G	2.14	0.15	C177H228N56O132P18	
2099.961467	3	17699222.73	c19+CMCT	-0.53	0.41	C192H245N66O140P19	
1574.718006	4	600159276.66	c19+CMCT	-1.34	0.03	C192H245N66O140P19	
1536.958082	4	100630920.21	c19+CMCT-G	0.21	0.07	C187H240N61O139P19	
1660.984502	4	263935505.3	c20+CMCT	1.53	0.03	C202H257N71O147P20	
1623.219182	4	68864758.28	c20+CMCT-G	-0.27	0.05	C197H252N66O146P20	
1737.491699	4	284994536.87	c21+CMCT	1.96	0.02	C211H268N73O155P21	
1699.727698	4	61225346.25	c21+CMCT-G	1.03	0.09	C206H263N68O154P21	
1813.750738	4	249648952.71	c22+CMCT	1.17	0.03	C220H280N76O162P22	
1450.79647	5	46698253.16	c22+CMCT	-0.67	0.2	C220H280N76O162P22	
1775.990731	4	60323416.1	c22+CMCT-G	2.52	0.07	C215H275N71O161P22	
1461.571345	5	168505179.23	c23	3.83	0.17	C215H267N76O168P23	
1890.011634	4	124440824.13	c23+CMCT	1.43	0.05	C229H292N79O169P23	
1511.804621	5	361500580.94	c23+CMCT	-0.71	0.03	C229H292N79O169P23	
1852.243387	4	20926205.6	c23+CMCT-G	-1.73	0.4	C224H287N74O168P23	
1481.597568	5	73295044.58	c23+CMCT-G	1.19	0.07	C224H287N74O168P23	
1577.617282	5	458249554.89	c24+CMCT	0.69	0.04	C239H304N84O175P24	
1547.406029	5	83352291.73	c24+CMCT-G	-0.19	0.08	C234H299N79O174P24	
1646.628252	5	289333723.64	c25+CMCT	1.56	0.04	C249H316N89O182P25	
1616.417597	5	86024572.52	c25+CMCT-G	1.11	0.09	C244H311N84O181P25	
1423.024797	6	195111860.34	c26+CMCT	0.27	0.1	C258H327N91O190P26	
1397.846497	6	38319914.14	c26+CMCT-G	-2.15	0.22	C253H322N86O189P26	
628.069801	1	23414083.0	w02	-0.12	0.05	C18H25N5O16P2	
973.117399	1	47558434.34	w03	0.09	0.08	C28H37N10O23P3	
1302.1661	1	13741785.5	w04	-2.87	0.34	C38H49N15O29P4	
650.58233	2	5509891.77	w04	1.62	0.34	C38H49N15O29P4	
803.10142	2	11519325.23	w05	-0.62	0.04	C47H61N18O36P5	
1456.157728	1	12287123.85	w05-G	-2.73	0.17	C42H56N13O35P5	
1108.634382	2	76954073.89	w07	-0.75	0.03	C65H84N23O51P7	
1281.164696	2	49247646.9	w08	4.5	0.08	C75H96N28O58P8	
853.770096	3	18306615.33	w08	-0.12	0.1	C75H96N28O58P8	
1606.688124	2	11484275.54	w10	-4.47	0.32	C94H119N35O73P10	
1070.79723	3	38286408.85	w10	2.6	0.08	C94H119N35O73P10	
1732.289134	2	63712934.38	w10+CMCT	-3.49	0.21	C108H144N38O74P10	
1180.478686	3	73170315.39	w11	0.06	0.04	C104H131N40O79P11	
1273.145278	4	14392367.99	w16	-3.37	0.33	C150H188N54O116P16	
1883.28018	3	147671479.09	w17+CMCT	-1.07	0.2	C173H225N60O124P17	
1412.203293	4	73482792.31	w17+CMCT	-4.63	0.22	C173H225N60O124P17	
1832.92547	3	18061903.82	w17+CMCT-G	-3.78	0.32	C168H220N55O123P17	
1425.920288	4	59525257.54	w18	2.85	0.16	C168H211N59O131P18	
1985.281562	3	85113522.91	w18+CMCT	-4.57	0.13	C182H236N62O132P18	
1488.707083	4	246417942.17	w18+CMCT	-6.1	0.18	C182H236N62O132P18	
1934.941992	3	23025750.79	w18+CMCT-G	0.6	0.35	C177H231N57O131P18	
1450.94985	4	45792934.34	w18+CMCT-G	-2.73	0.06	C177H231N57O131P18	
2100.300344	3	14749378.14	w19+CMCT	-2.91	0.44	C192H248N67O139P19	
1574.969329	4	556253146.39	w19+CMCT	-5.52	0.15	C192H248N67O139P19	
1537.210832	4	82451904.91	w19+CMCT-G	-3.14	0.15	C187H243N62O138P19	
1727.993594	4	35916137.75	w21+CMCT	1.69	0.17	C210H270N71O155P21	
1804.245439	4	60065035.7	w22+CMCT	-3.08	0.09	C219H282N74O162P22	
1461.973716	5	168315398.64	w23	3.31	0.19	C215H269N76O168P23	
1890.51333	4	79299319.23	w23+CMCT	0.25	0.14	C229H294N79O169P23	
1512.206527	5	220184831.65	w23+CMCT	-1.52	0.13	C229H294N79O169P23	
1481.999129	5	62034888.6	w23+CMCT-G	0.13	0.22	C224H289N74O168P23	
1573.411499	5	25778492.68	w24+CMCT	-1.52	0.25	C238H305N81O177P24	
1634.417523	5	64590307.23	w25+CMCT	-2.83	0.13	C247H317N84O184P25	
