spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/test.csv
limit_error:	6
noise_limit:	2000000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1438.186429	6	105099272.12	RNA	-1.98	0.09	C256H320N102O188P26	
1480.054799	6	72722277070.71	RNA+CMCT	-0.75	0.03	C270H345N105O189P26	
1454.546738	6	3347000764.14	RNA+CMCT-A-H2O	1.15	0.27	C265H338N100O188P26	
1454.882194	6	4187731916.32	RNA+CMCT-G	0.82	0.01	C265H340N100O188P26	
1451.880595	6	287342121.39	RNA+CMCT-G-H2O	0.93	0.04	C265H338N100O187P26	
1477.057892	6	1354782614.38	RNA+CMCT-H2O	2.54	0.05	C270H343N105O188P26	
1695.417552	5	23233406.68	RNA-A-H2O	1.17	0.38	C251H313N97O187P26	
1695.816576	5	18589638.1	RNA-G	-1.26	0.62	C251H315N97O187P26	
458.07226	1	4190506.88	a02-G	0.89	0.16	C15H18N5O10P1	
1108.159685	1	33515825.83	a04-G	-0.8	0.11	C34H42N13O24P3	
1031.632251	2	37507866.37	a07-A	-1.37	0.07	C62H77N23O46P6	
943.801257	3	11577344.48	a09	-1.62	0.28	C86H106N36O59P8	
1474.276823	2	14941539.9	a09+CMCT-A	-2.46	0.51	C95H126N34O60P8	
1348.680993	2	21420821.77	a09-A	0.32	0.11	C81H101N31O59P8	
898.784711	3	18969574.16	a09-A	0.1	0.05	C81H101N31O59P8	
1493.210084	2	9907617.11	a10-G	4.24	0.48	C90H113N34O65P9	
2152.881942	2	11242470.95	a13+CMCT	3.56	0.49	C136H177N49O90P12	
1486.253674	3	19406489.54	a14+CMCT-G	6.25	0.47	C140H184N47O96P13	
1601.259374	3	31633146.11	a15+CMCT-G	-0.52	0.18	C150H196N52O103P14	
1716.281804	3	23597856.08	a16+CMCT-G	3.38	0.16	C160H208N57O110P15	
1348.181024	4	15172098.63	a17	1.16	0.51	C161H200N64O117P16	
1831.293304	3	20122270.89	a17+CMCT-G	0.81	0.3	C170H220N62O117P16	
1310.418052	4	15948883.81	a17-G	0.72	0.36	C156H195N59O116P16	
1487.480391	4	11118248.04	a18+CMCT	-3.59	0.59	C184H236N69O126P17	
1510.945474	4	28468065.23	a19	-1.44	0.53	C180H223N71O132P18	
1573.750764	4	104470803.01	a19+CMCT	2.02	0.39	C194H248N74O133P18	
1473.192255	4	38984283.76	a19-G	4.73	0.18	C175H218N66O131P18	
1622.250328	4	27308239.79	a20+CMCT-A	2.0	0.35	C199H255N74O139P19	
1116.646672	6	18192600.92	a21	-0.15	0.42	C200H247N81O144P20	
1704.508845	4	26593284.15	a21+CMCT-A	-0.81	0.24	C209H267N79O145P20	
1174.153904	6	57528911.94	a22	-0.72	0.41	C210H259N86O151P21	
1786.772966	4	15133776.42	a22+CMCT-G	-0.22	0.4	C219H279N84O151P21	
1493.615836	5	20152963.67	a23+CMCT-A	-3.64	0.33	C228H290N86O160P22	
1490.421446	5	15497026.17	a23+CMCT-G	-0.56	0.47	C228H290N86O159P22	
1275.992196	6	55563867.18	a24	-5.47	0.43	C228H282N91O166P23	
1620.443063	5	40343159.72	a25+CMCT-G	1.87	0.24	C247H314N94O173P24	
1308.334227	6	27373091.24	a25-G	1.56	0.39	C233H289N91O172P24	
1426.208603	6	41024857.16	a26+CMCT	-3.73	0.26	C261H331N102O181P25	
344.04076	1	6528410.35	c01	1.75	0.12	C10H12N5O7P1	
689.088387	1	41866242.32	c02	1.15	0.07	C20H24N10O14P2	
538.03818	1	8514964.39	c02-G	-0.01	0.16	C15H19N5O13P2	
994.129688	1	221827244.9	c03	0.81	0.06	C29H36N13O21P3	
496.5607	2	5286704.67	c03	-0.2	0.28	C29H36N13O21P3	
1245.32539	1	7572420.98	c03+CMCT	-2.61	0.37	C43H61N16O22P3	
843.07903	1	8131032.98	c03-G	-0.52	0.23	C24H31N8O20P3	
1339.17444	1	14964379.01	c04	-1.4	0.03	C39H48N18O28P4	
669.084571	2	42405381.96	c04	0.08	0.04	C39H48N18O28P4	
822.097223	2	87801496.39	c05	0.06	0.06	C48H59N20O36P5	
947.69838	2	19403981.02	c05+CMCT	1.4	0.15	C62H84N23O37P5	
974.617528	2	154134199.54	c06	-0.29	0.04	C57H71N23O43P6	
1100.217234	2	34058806.81	c06+CMCT	-0.42	0.09	C71H96N26O44P6	
899.092671	2	17522490.07	c06-G	-0.49	0.16	C52H66N18O42P6	
1139.143619	2	82763858.41	c07	-0.4	0.03	C67H83N28O49P7	
1264.745218	2	26676620.35	c07+CMCT	1.0	0.17	C81H108N31O50P7	
1063.617971	2	14965397.27	c07-G	-1.31	0.2	C62H78N23O48P7	
1291.666569	2	122954418.76	c08	1.43	0.06	C76H95N31O56P8	
