m/z	z	I	Res.	
213.45752		709118	514193	
213.55725		698791	709426	
217.12057		676883	618310	
217.12979		3190829	559670	
217.14072		681808	606501	
220.63553		691800	352370	
222.91585		698746	580219	
224.48446		775061	604678	
224.49909		787265	503659	
225.77897		797876	598967	
225.81463		682420	564982	
226.83460		677665	546551	
231.40484		691067	660010	
232.11951		1040708	558259	
234.63164		701716	457721	
236.45744		723803	640330	
236.85805		702371	477746	
236.91732		702093	574144	
237.20533		716254	491547	
238.88564		677900	597478	
239.29296		733499	464641	
239.59769		681241	520953	
239.77684		745284	557133	
239.92092		688028	443140	
240.05991		687418	510519	
240.24791		683185	439114	
240.36004		690356	536312	
244.34563		732312	549875	
244.86781		677825	375329	
246.08723		697583	260706	
246.53856		694511	645445	
248.32425		682000	547615	
249.12179		676731	609405	
249.13103		751403	467766	
249.72119		773564	585963	
251.43217		726180	488968	
251.82040		677649	477730	
255.04651		684523	520034	
255.20709		684643	444653	
256.39008		744225	546911	
258.41367		692546	438053	
258.89198		684289	359124	
259.88283		675259	570394	
260.24144		694507	515116	
261.87091		756149	381806	
262.60866		705840	519339	
263.79883		697834	515257	
266.05434		786675	430005	
266.50553		739861	391158	
267.72803		773099	483654	
268.15416		717788	522667	
268.36592		726764	480946	
268.63668		706670	482765	
269.82591		716079	412434	
270.19811		745315	418153	
270.29756		701145	567393	
271.29447		757297	389198	
272.18242		717820	426320	
272.49800		688754	517306	
274.68233		902650	465400	
274.86992		2468261	284964	
274.89085		1020550	416612	
274.91182		1146294	299445	
275.05588		1246441	453995	
275.05758		12497737	325687	
275.07840		7052874	337069	
275.09749		915450	590564	
275.09909		10796362	370742	
275.11995		4426250	349627	
275.14071		3805003	379677	
275.16156		1182555	269902	
275.21695		687536	454436	
275.39045		1075047	209625	
277.11564		924048	590674	
277.11705		9296688	395596	
278.35368		685020	438144	
280.19767		692105	468664	
281.34899		772229	472739	
282.20098		712580	612735	
282.27265		696261	526663	
283.35374		697015	457719	
284.41000		692256	532634	
286.25871		679373	446448	
287.99437		697375	451493	
289.65188		682502	514317	
290.54807		692794	663821	
291.24507		736603	417680	
291.48213		712078	438063	
292.39424		1587521	344131	
292.43848		1565217	451133	
292.99448		839976	445945	
293.01635		2957704	375022	
293.03880		1172633	304280	
293.06071		1318377	409438	
293.13577		1264826	373658	
293.19525		1235066	247249	
293.21741		791067	467392	
293.23998		844043	187829	
293.37274		2189452	283390	
293.39269		1219025	314948	
293.39475		11500397	320013	
293.41685		8157101	344150	
293.42522		703101	355049	
293.43707		1065293	471021	
293.43901		10899693	399869	
293.46126		5150062	393406	
293.48352		3795694	417411	
293.50559		1224750	553259	
293.52814		841950	511817	
293.75044		1045985	493965	
293.89966		747286	316605	
294.67930		731939	394237	
295.11294		702943	407757	
295.41348		677530	404274	
297.36716		692621	438733	
297.88931		765690	386902	
298.64444		702832	462949	
299.08651		916659	426380	
301.38915		695388	453094	
301.78329		717334	224206	
304.01507		677961	456095	
304.16163		3828738	355201	
308.20110		703236	481689	
308.21879		742364	397709	
309.33692		693061	434006	
309.97082		679437	554063	
311.46556		718419	298245	
312.24173		679993	426302	
312.49887		743224	477933	
313.28003		1171174	485202	
313.35204		734790	538876	
313.92315		682260	492532	
313.94677		1595972	289899	
313.97045		854211	483059	
313.97123		696035	570555	
313.99454		846003	177944	
314.32795		1466258	327373	
314.34945		835650	574504	
314.35164		5274114	349788	
314.37541		3253058	346442	
314.39922		3444162	365479	
314.42303		1419618	329947	
315.97938		679081	443025	
318.11369		688875	427385	
318.62533		682054	377191	
322.83245		685338	572207	
322.84723		711306	423632	
324.26680		680134	412538	
324.75672		717287	208675	
325.68769		679585	415905	
327.43796		685236	421440	
327.68641		718207	357038	
328.94041		706120	524226	
329.51372		756684	451387	
331.03677		742684	422647	
331.57183		710376	260211	
331.78070		683356	409421	
334.53133		676880	313920	
334.86776		683671	339863	
335.87246		701172	301933	
336.22624		713674	400903	
336.34230		708151	378962	
339.13327		692083	369314	
341.17206		711055	409108	
342.74237		799750	379695	
343.11970		763384	422901	
344.65054		1196782	261153	
346.10699		702739	364145	
346.51765		705169	392626	
347.14226		701303	333985	
347.35796		712878	463135	
348.42161		678607	459708	
350.50975		678686	395622	
351.19626		674973	397582	
351.82436		780334	322519	
352.51736		787115	419627	
352.96929		744387	383306	
354.13801		756070	256645	
354.33060		810812	328978	
355.62169		689645	147946	
355.79120		678948	289141	
360.45719		721821	270915	
362.36924		728280	361041	
363.52718		677882	317488	
363.83281		879685	303049	
364.41138		706285	338553	
364.99928		676275	478094	
365.09311		678221	330998	
365.25345		1954401	383887	
365.55872		741323	442773	
365.62047		698847	305846	
366.74795		732773	380809	
368.79480		779562	223278	
369.17822		1163549	340356	
369.75637		683408	389891	
370.36948		745983	405469	
370.43288		729434	321222	
371.01461		696396	452383	
371.46939		685639	378736	
372.63836		675256	384338	
372.72392		779089	256636	
376.33624		710909	276984	
379.40095		752635	287616	
379.45892		679254	455145	
380.86228		727621	369359	
382.22191		678085	327892	
384.38117		758199	324938	
386.43790		696677	259162	
387.19984		705138	305971	
388.54695		842826	351798	
388.67345		680414	365959	
389.00523		717036	309803	
391.03229		675781	236468	
391.19361		9427548	288570	
391.46290		682400	310426	
391.87900		842037	358554	
392.01438		676135	313259	
393.71258		735909	342717	
394.05667		720816	366993	
395.00305		765612	333067	
395.11525		713008	318219	
395.71607		695040	367214	
396.36682		840794	333802	
397.25009		697659	309014	
397.54322		687811	200991	
399.08743		707379	326783	
