m/z	z	I	Res.	
213.16592		798862	658926	
215.99196		687926	524753	
217.12960		1210379	574795	
220.33017		697489	555802	
221.15939		717251	653190	
221.54048		793096	549544	
221.91699		715932	661400	
223.17202		739071	661923	
225.93828		701274	599929	
231.67032		779593	561396	
233.03823		797307	552385	
234.97800		688953	638028	
235.31404		729304	566468	
238.01617		736608	583444	
239.65847		688121	464341	
240.44453		739351	461762	
242.04336		696652	599421	
242.58505		703599	528466	
242.88343		720240	642029	
244.36027		727900	498700	
249.59606		742079	598962	
250.75846		770772	499036	
252.89155		695597	371766	
262.74295		693996	485975	
264.12921		699913	585367	
265.96158		697128	375958	
266.36734		706515	452999	
269.33100		865678	499366	
270.02529		759025	455926	
273.12085		704820	609628	
274.55807		691610	389785	
274.95312		694369	509096	
274.99473		809665	212619	
275.01604		1320738	400289	
275.03700		1147578	260682	
275.05795		732230	224336	
275.07845		1137171	351558	
275.09934		1097291	403881	
275.11994		2659387	275436	
275.13893		1079356	514777	
275.14061		6699836	372025	
275.15976		1079596	532891	
275.16145		10874492	364531	
275.16291		892108	648826	
275.17926		790508	605247	
275.18058		1525628	604957	
275.18221		16336060	394983	
275.20005		1125148	489739	
275.20142		2092700	586056	
275.20304		20372668	415134	
275.22079		902261	580807	
275.22225		1850061	525061	
275.22389		21633980	422571	
275.22536		1060989	642589	
275.24169		849349	552935	
275.24315		1816173	510288	
275.24476		20672958	432745	
275.24612		974925	705326	
275.26259		815557	614009	
275.26401		1433181	526592	
275.26565		16581821	429547	
275.26732		703077	386090	
275.28497		1308390	467804	
275.28658		11377982	415702	
275.28842		933982	456413	
275.30582		895038	630831	
275.30751		7703422	430158	
275.32843		3686335	401193	
275.34943		1904719	436449	
275.37038		928479	542101	
275.49500		820633	532221	
275.53675		814042	236237	
275.55737		1273330	547949	
275.57834		729426	514322	
275.64052		953347	604015	
275.66127		886852	433564	
275.68197		954556	437795	
275.70273		730444	226412	
276.46598		774876	387729	
277.11694		6057306	439873	
