m/z_theo 	z 	I 	fragment 	error_/ppm 	shape_error
1302.49828	6	96172849	c24	?	0.11	
1159.86053	7	71651425	c25	?	0.21	
1168.66768	8	10479371	c28+CMCT	?	0.93	



m/z_theo 	z 	I 	fragment
1302.49828	6	3669276	c24	
1302.66549	6	10780961	c24	
1302.83248	6	17051249	c24	
1302.99989	6	19075932	c24	
1303.1671	6	16826979	c24	
1303.33397	6	12402798	c24	
1303.5012	6	7918186	c24	
1303.66843	6	4484722	c24	
1303.83566	6	2289012	c24	
1304.0025	6	1062252	c24	
1304.16972	6	442402	c24	
1304.3359	6	169081	c24	
1159.86053	7	2409142	c25	
1160.00385	7	7349151	c25	
1160.14699	7	12039105	c25	
1160.29048	7	13929198	c25	
1160.4338	7	12693301	c25	
1160.57683	7	9657199	c25	
1160.72017	7	6359572	c25	
1160.86351	7	3713449	c25	
1161.00685	7	1953413	c25	
1161.14985	7	934310	c25	
1161.29319	7	400736	c25	
1161.43563	7	157877	c25	
1161.57897	7	54973	c25	
1168.66768	8	197573	c28+CMCT	
1168.79301	8	708533	c28+CMCT	
1168.91834	8	1346871	c28+CMCT	
1169.04366	8	1792717	c28+CMCT	
1169.16897	8	1867608	c28+CMCT	
1169.29428	8	1616577	c28+CMCT	
1169.41959	8	1206547	c28+CMCT	
1169.5449	8	796083	c28+CMCT	
1169.67021	8	472551	c28+CMCT	
1169.79553	8	255578	c28+CMCT	
1169.92083	8	127138	c28+CMCT	
1170.04615	8	57715	c28+CMCT	
1170.1715	8	24450	c28+CMCT	
1170.29679	8	9429	c28+CMCT	
