fragment,mass,Intensities
RNA,15182.014498,0.0016705
,15183.017173,0.009602
,15184.019803,0.028678
,15185.022398,0.05909
,15186.024964,0.094193
,15187.027505,0.123578
,15188.030026,0.138697
,15189.032528,0.13672
,15190.035015,0.120643
,15191.037487,0.096677
,15192.039947,0.071148
,15193.042395,0.04852
,15194.044833,0.030888
,15195.047261,0.018468
,15196.04968,0.010424
,15197.052091,0.005579
,15198.054495,0.002842
,15199.056891,0.001383
RNA+CMCT,15433.214261,0.0014124
,15434.216945,0.008354
,15435.219585,0.025622
,15436.222191,0.054128
,15437.224769,0.088346
,15438.227322,0.118546
,15439.229855,0.135947
,15440.232369,0.136814
,15441.234868,0.123161
,15442.237352,0.10062
,15443.239823,0.075449
,15444.242283,0.052398
,15445.244732,0.033952
,15446.247171,0.020653
,15447.249601,0.011856
,15448.252023,0.006451
,15449.254438,0.00334
,15450.256845,0.001651
RNA+CMCT-A,15298.159766,0.0015191
,15299.162461,0.008874
,15300.16511,0.026904
,15301.167724,0.056225
,15302.170309,0.090835
,15303.172868,0.120709
,15304.175407,0.137152
,15305.177926,0.136806
,15306.18043,0.122107
,15307.182918,0.09894
,15308.185394,0.073601
,15309.187858,0.050721
,15310.19031,0.03262
,15311.192753,0.019699
,15312.195187,0.011228
,15313.197613,0.006067
,15314.20003,0.00312
,15315.20244,0.001532
RNA+CMCT-A-H2O,15280.149201,0.0015234
,15281.151896,0.008898
,15282.154545,0.026971
,15283.157159,0.056348
,15284.159744,0.091001
,15285.162303,0.120877
,15286.164842,0.137277
,15287.167362,0.136858
,15288.169865,0.122085
,15289.172354,0.098862
,15290.17483,0.073497
,15291.177293,0.050616
,15292.179746,0.03253
,15293.182189,0.01963
,15294.184623,0.01118
,15295.187049,0.006037
,15296.189467,0.003102
,15297.191877,0.001522
RNA+CMCT-C,15322.170999,0.0014956
,15323.173688,0.008763
,15324.176333,0.026641
,15325.178942,0.05581
,15326.181522,0.090365
,15327.184078,0.120327
,15328.186613,0.136972
,15329.18913,0.136861
,15330.19163,0.122351
,15331.194116,0.099284
,15332.196588,0.073959
,15333.199049,0.051033
,15334.2015,0.032861
,15335.20394,0.019866
,15336.206372,0.011335
,15337.208795,0.006131
,15338.21121,0.003156
,15339.213618,0.001551
RNA+CMCT-C-H2O,15304.160434,0.0014998
,15305.163123,0.008787
,15306.165768,0.026707
,15307.168377,0.055933
,15308.170957,0.090531
,15309.173513,0.120496
,15310.176048,0.137098
,15311.178565,0.136915
,15312.181065,0.12233
,15313.183551,0.099207
,15314.186024,0.073855
,15315.188485,0.050928
,15316.190936,0.03277
,15317.193376,0.019798
,15318.195808,0.011288
,15319.198231,0.006101
,15320.200647,0.003138
,15321.203055,0.001541
RNA+CMCT-G,15282.164851,0.0015228
,15283.167546,0.008895
,15284.170196,0.026963
,15285.17281,0.056333
,15286.175394,0.09098
,15287.177954,0.120853
,15288.180493,0.137253
,15289.183013,0.136839
,15290.185516,0.12207
,15291.188005,0.098853
,15292.190481,0.073492
,15293.192945,0.050614
,15294.195398,0.032529
,15295.197841,0.01963
,15296.200275,0.011181
,15297.202701,0.006037
,15298.205119,0.003102
,15299.207529,0.001522
RNA+CMCT-G-H2O,15264.154286,0.0015271
,15265.156981,0.008919
,15266.159631,0.02703
,15267.162245,0.056457
,15268.164829,0.091146
,15269.167389,0.121021
,15270.169928,0.137378
,15271.172448,0.136891
,15272.174952,0.122048
,15273.177441,0.098776
,15274.179917,0.073387
,15275.182381,0.050508
,15276.184834,0.032439
,15277.187277,0.019562
,15278.189711,0.011134
,15279.192137,0.006007
,15280.194555,0.003084
,15281.196966,0.001512
RNA+CMCT-H2O,15415.203696,0.001416
,15416.20638,0.008375
,15417.20902,0.02568
,15418.211626,0.054236
,15419.214204,0.088489
,15420.216757,0.118688
,15421.21929,0.136046
,15422.221804,0.136842
,15423.224303,0.123118
,15424.226787,0.100525
,15425.229259,0.075331
,15426.231718,0.052281
,15427.234168,0.033854
,15428.236607,0.020579
,15429.239037,0.011804
,15430.24146,0.006418
,15431.243874,0.00332
,15432.246281,0.00164
RNA-A,15046.960003,0.0017971
,15047.962689,0.010198
,15048.965329,0.0301
,15049.967931,0.061338
,15050.970504,0.096763
,15051.973052,0.125703
,15052.975578,0.139761
,15053.978086,0.136533
,15054.980577,0.11944
,15055.983054,0.094918
,15056.985518,0.069292
,15057.98797,0.046887
,15058.990411,0.029623
,15059.992843,0.017581
,15060.995266,0.009853
,15061.99768,0.005237
,15063.000087,0.00265
RNA-C,15070.971237,0.0017691
,15071.973917,0.010071
,15072.976551,0.029806
,15073.979149,0.060891
,15074.981717,0.096273
,15075.984261,0.125323
