ion,mass,Intensities
a02,610.128539,0.7537737
,611.131053,0.19701
,612.133226,0.041817
,613.135504,0.006444
a02+CMCT,861.328301,0.6371995
,862.331002,0.27283
,863.333438,0.07276
,864.335836,0.014484
,865.33819,0.002355
a02+CMCT-G,710.278891,0.6871335
,711.281776,0.243552
,712.284237,0.057455
,713.286698,0.010168
a02-G,459.079129,0.8128429
,460.081918,0.152523
,461.083955,0.030241
,462.086399,0.003883
a03,916.153841,0.6648255
,917.156497,0.246704
,918.158746,0.0705
,919.161092,0.014836
,920.163344,0.00266
a03+CMCT,1167.353603,0.5620075
,1168.356363,0.302296
,1169.358827,0.102877
,1170.361258,0.026184
,1171.363636,0.005473
a03+CMCT-G,1016.304194,0.6060491
,1017.307104,0.281305
,1018.30958,0.08751
,1019.312061,0.020418
,1020.314466,0.00395
a03-G,765.104431,0.7169243
,766.107295,0.213182
,767.109461,0.057125
,768.111915,0.010701
a04,1221.195128,0.5855924
,1222.197817,0.283536
,1223.200135,0.098509
,1224.202503,0.025538
,1225.204795,0.00557
a04+CMCT,1472.39489,0.4950281
,1473.397657,0.322259
,1474.400144,0.130737
,1475.402591,0.039586
,1476.404985,0.009827
a04+CMCT-G,1321.34548,0.5338209
,1322.348368,0.308157
,1323.350873,0.115893
,1324.353359,0.032671
,1325.355777,0.007611
a04-G,1070.145718,0.6314821
,1071.148564,0.2592
,1072.150844,0.084316
,1073.153281,0.020049
,1074.155574,0.004101
a05,1527.22043,0.5164902
,1528.223175,0.306745
,1529.225554,0.125628
,1530.227957,0.038543
,1531.230289,0.009885
a05+CMCT,1778.420192,0.4366129
,1779.422991,0.332135
,1780.425512,0.156051
,1781.427984,0.054643
,1782.430402,0.015671
,1783.432792,0.003852
a05+CMCT-G,1627.370783,0.4708279
,1628.373687,0.323451
,1629.376225,0.142344
,1630.378731,0.046903
,1631.381171,0.012743
,1632.383583,0.002977
a05-G,1376.17102,0.5569648
,1377.173897,0.289721
,1378.176256,0.111641
,1379.178711,0.031937
,1380.18105,0.00775
a06,1872.267865,0.4467592
,1873.27057,0.323997
,1874.272981,0.153498
,1875.275381,0.054516
,1876.277726,0.01603
,1877.280053,0.00406
a06+CMCT,2123.467627,0.3776661
,2124.470386,0.336886
,2125.472909,0.181153
,2126.475377,0.072238
,2127.477796,0.023486
,2128.480185,0.00653
a06+CMCT-G,1972.418217,0.4072618
,1973.421061,0.333261
,1974.423606,0.168972
,1975.426102,0.063883
,1976.42854,0.019799
,1977.430949,0.005264
a06-G,1721.218455,0.4817694
,1722.22126,0.313869
,1723.223673,0.140249
,1724.226108,0.04696
,1725.228467,0.013138
,1726.230815,0.003172
a07,2217.315299,0.3864426
,2218.317977,0.331
,2219.320409,0.178217
,2220.322811,0.0717
,2221.325166,0.02372
,2222.327499,0.006742
a07+CMCT,2468.515062,0.3266777
,2469.51779,0.334301
,2470.520316,0.202266
,2471.522782,0.09029
,2472.525202,0.032728
,2473.527592,0.010121
,2474.529959,0.002755
a07+CMCT-G,2317.465652,0.3522777
,2318.468451,0.334527
,2319.471,0.191889
,2320.473491,0.081664
,2321.47593,0.028353
,2322.478337,0.008422
,2323.48072,0.002207
a07-G,2066.26589,0.4167261
,2067.268648,0.326215
,2068.271092,0.166283
,2069.273521,0.06353
,2070.275891,0.02009
,2071.278241,0.005472
a08,2562.362734,0.3342693
,2563.365391,0.330206
,2564.367838,0.199227
,2565.370244,0.089393
,2566.372607,0.032803
,2567.374946,0.010314
,2568.377266,0.002864
a08+CMCT,2813.562497,0.2825732
,2814.565202,0.326273
,2815.567729,0.219248
,2816.570195,0.108156
,2817.572617,0.043167
,2818.575009,0.014665
,2819.577378,0.004377
a08+CMCT-G,2662.513087,0.304717
,2663.515853,0.329376
,2664.518403,0.210793
,2665.520892,0.099569
,2666.523331,0.038207
,2667.525739,0.012513
,2668.528123,0.003608
a08-G,2411.313324,0.3604642
,2412.316049,0.329507
,2413.318512,0.188946
,2414.320941,0.080935
,2415.323319,0.028501
,2416.325674,0.008623
,2417.328007,0.00231
a09,2867.404021,0.2944315
,2868.406692,0.324154
,2869.409166,0.21433
,2870.41159,0.104996
,2871.413972,0.041921
,2872.416328,0.014315
,2873.418663,0.004311
a09+CMCT,3118.603783,0.2488965
,3119.606497,0.315539
,3120.60904,0.230653
,3121.611521,0.123365
,3122.613957,0.053262
,3123.616362,0.019545
,3124.618743,0.006295
a09+CMCT-G,2967.554374,0.2684012
,2968.557142,0.320479
,2969.559709,0.223909
,2970.562211,0.11505
,2971.564663,0.047895
,2972.567083,0.016989
,2973.569478,0.005299
a09-G,2716.354611,0.3175045
,2717.357344,0.326148
,2718.359835,0.205671
,2719.362281,0.096551
,2720.364677,0.03711
,2721.367048,0.01223
,2722.369396,0.003562
a10,3212.451456,0.2546805
,3213.454111,0.313833
,3214.456592,0.227907
,3215.459021,0.12199
,3216.461409,0.052998
,3217.46377,0.019642
,3218.466111,0.006407
,3219.468435,0.001879
a10+CMCT,3463.651218,0.2152931
,3464.653914,0.30121
,3465.656457,0.240167
,3466.658938,0.139481
,3467.661375,0.065185
,3468.663783,0.025838
,3469.666167,0.008974
,3470.668532,0.002792
a10+CMCT-G,3312.601808,0.2321645
,3313.604553,0.307698
,3314.607119,0.235272
,3315.609619,0.131654
,3316.612073,0.059481
,3317.614494,0.022845
,3318.616891,0.007702
,3319.619268,0.002329
a10-G,3061.402046,0.2746385
,3062.404755,0.318179
,3063.407255,0.22109
,3064.409703,0.113784
,3065.412105,0.047717
,3066.41448,0.017113
,3067.416833,0.005413
a11,3517.492742,0.224328
,3518.49541,0.301803
,3519.497911,0.236545
,3520.500356,0.136147
,3521.50276,0.063429
,3522.505136,0.025165
,3523.50749,0.008777
,3524.509828,0.002749
a11+CMCT,3768.692505,0.1896348
,3769.695208,0.28676
,3770.697765,0.245385
,3771.700259,0.152487
,3772.702709,0.076098
,3773.705128,0.032165
,3774.707523,0.011901
,3775.709899,0.003941
a11+CMCT-G,3617.643095,0.2044954
,3618.645844,0.294156
,3619.648423,0.24202
,3620.650936,0.145248
,3621.653401,0.07022
,3622.655833,0.028815
,3623.65824,0.010368
,3624.660627,0.003343
a11-G,3366.443333,0.2419074
,3367.44605,0.30762
,3368.44857,0.231328
,3369.451034,0.128349
,3370.453451,0.057849
,3371.45584,0.022256
,3372.458206,0.00754
,3373.460555,0.002297
a12,3846.545263,0.194514
,3847.547917,0.287161
,3848.550423,0.243311
,3849.552873,0.150579
,3850.555282,0.075142
,3851.557663,0.03185
,3852.560023,0.011844
,3853.562366,0.003949
a12+CMCT,4097.745025,0.1644316
,4098.747714,0.270178
,4099.75027,0.248659
,4100.752765,0.16543
,4101.755218,0.088108
,4102.75764,0.039657
,4103.760038,0.015598
,4104.762417,0.005484
,4105.764781,0.001752
a12+CMCT-A,3962.69053,0.1768867
,3963.69326,0.27767
,3964.695837,0.246712
,3965.698349,0.159203
,3966.700815,0.082511
,3967.703249,0.036223
,3968.705657,0.013921
,3969.708046,0.004789
a12+CMCT-G,3946.695615,0.1773173
,3947.698345,0.278278
,3948.700923,0.246842
,3949.703436,0.158926
,3950.705903,0.082145
,3951.708338,0.035954
,3952.710748,0.013773
,3953.713138,0.004722
a12-A,3711.490767,0.2092477
,3712.493466,0.293565
,3713.495991,0.239717
,3714.498457,0.143702
,3715.500879,0.069716
,3716.503271,0.0288
,3717.505641,0.010458
,3718.507993,0.00341
a12-G,3695.495853,0.209757
,3696.498551,0.2942
,3697.501077,0.239757
,3698.503544,0.143356
,3699.505967,0.069338
,3700.508361,0.028549
,3701.510732,0.01033
,3702.513085,0.003356
a13,4191.592697,0.1682528
