ion,mass,Intensities
a01,265.081104,0.871424
,266.083609,0.1133303
,267.085682,0.0139905
a01+1rev,3256.746069,0.1740467
,3257.748583,0.2928669
,3258.751052,0.2578776
,3259.753488,0.1575207
,3260.755897,0.0747588
,3261.758285,0.0292999
,3262.760655,0.0098492
,3263.76301,0.0029136
a01+1rev-G,3105.696659,0.1876858
,3106.699205,0.3019803
,3107.7017,0.2549888
,3108.704159,0.1496872
,3109.706588,0.0683885
,3110.708994,0.0258375
,3111.711381,0.0083817
,3112.713752,0.002395
a01+2rev,6248.411034,0.0347618
,6249.413548,0.1124659
,6250.416039,0.1862519
,6251.418509,0.2101813
,6252.420962,0.1815736
,6253.4234,0.1279307
,6254.425823,0.0764921
,6255.428234,0.039883
,6256.430633,0.0184953
,6257.433023,0.0077433
,6258.435402,0.0029611
a01+2rev-G,6097.361624,0.0374859
,6098.364154,0.1185156
,6099.36666,0.1919434
,6100.369144,0.2119672
,6101.37161,0.1792991
,6102.374059,0.1237572
,6103.376493,0.0725232
,6104.378914,0.0370756
,6105.381324,0.0168638
,6106.383723,0.0069272
,6107.386111,0.0025999
a01+3rev,9240.075998,0.0069429
,9241.078513,0.0332422
,9242.081011,0.0808491
,9243.083496,0.1330817
,9244.085967,0.1666799
,9245.088426,0.1693304
,9246.090874,0.1452641
,9247.093311,0.1081841
,9248.09574,0.0713667
,9249.098159,0.0423447
,9250.10057,0.0228712
,9251.102974,0.0113543
,9252.10537,0.0052222
,9253.10776,0.00224
a01+3rev-G,9089.026589,0.0074869
,9090.029114,0.0352952
,9091.031623,0.0845494
,9092.034117,0.1371189
,9093.036597,0.1692501
,9094.039064,0.169496
,9095.041521,0.1433724
,9096.043966,0.1053048
,9097.046402,0.0685246
,9098.048829,0.0401143
,9099.051247,0.0213803
,9100.053658,0.0104756
,9101.056061,0.0047559
,9102.058457,0.002014
a01+4rev,12231.740963,0.0013867
,12232.743478,0.0087924
,12233.74598,0.0282086
,12234.748472,0.0610323
,12235.750953,0.100144
,12236.753424,0.1328766
,12237.755886,0.1484606
,12238.75834,0.1436178
,12239.760785,0.1227618
,12240.763223,0.0941655
,12241.765654,0.0656103
,12242.768078,0.0419331
,12243.770496,0.0247826
,12244.772907,0.0136353
,12245.775313,0.0070242
,12246.777713,0.0034046
,12247.780108,0.0015593
a01+4rev-G,12080.691554,0.0014953
,12081.694076,0.0093711
,12082.696586,0.0297216
,12083.699085,0.0635819
,12084.701573,0.1031703
,12085.704052,0.1353949
,12086.70652,0.1496417
,12087.70898,0.143218
,12088.711432,0.1211314
,12089.713876,0.0919481
,12090.716313,0.063406
,12091.718742,0.0401116
,12092.721165,0.0234671
,12093.723582,0.0127826
,12094.725993,0.0065198
,12095.728398,0.0031292
,12096.730798,0.0014192
a01-G,114.031694,0.9397129
,115.034714,0.0563666
,116.036264,0.0072085
a02,570.122391,0.7675687
,571.125032,0.1866398
,572.127194,0.0391464
,573.129534,0.0058401
a02+1rev,3561.787355,0.153304
,3562.789887,0.2753028
,3563.792371,0.2594233
,3564.79482,0.1699356
,3565.797241,0.0866313
,3566.79964,0.036521
,3567.80202,0.0132208
,3568.804385,0.0042162
a02+1rev-G,3410.737946,0.1653176
,3411.740508,0.2846889
,3412.743017,0.2580298
,3413.745487,0.1629321
,3414.747926,0.080205
,3415.750342,0.0326938
,3416.752738,0.0114568
,3417.755118,0.0035401
a02+2rev,6553.45232,0.0306189
,6554.454844,0.1025255
,6555.457344,0.1758787
,6556.459822,0.2057475
,6557.462282,0.1843773
,6558.464727,0.1348337
,6559.467157,0.0837218
,6560.469574,0.0453541
,6561.471979,0.0218619
,6562.474374,0.0095176
,6563.476759,0.0037862
a02+2rev-G,6402.402911,0.0330184
,6403.40545,0.1081256
,6404.407964,0.1815432
,6405.410456,0.2079997
,6406.412928,0.1826633
,6407.415384,0.1309729
,6408.417824,0.0797734
,6409.420251,0.0424082
,6410.422666,0.0200675
,6411.425071,0.0085792
,6412.427465,0.0033525
a02+3rev,9545.117285,0.0061154
,9546.119806,0.0299721
,9547.122311,0.0746491
,9548.124801,0.1258793
,9549.127277,0.1615685
,9550.129741,0.1682612
,9551.132194,0.1480168
,9552.134637,0.1130676
,9553.137069,0.076525
,9554.139493,0.0465956
,9555.141909,0.0258327
,9556.144316,0.0131664
,9557.146717,0.0062184
,9558.14911,0.0027395
a02+3rev-G,9394.067875,0.0065946
,9395.070407,0.0318347
,9396.072922,0.0781227
,9397.075421,0.1298415
,9398.077907,0.1643039
,9399.080379,0.1687414
,9400.08284,0.1464199
,9401.08529,0.1103507
,9402.087731,0.0737018
,9403.090162,0.0442935
,9404.092584,0.0242417
,9405.094998,0.0121992
,9406.097405,0.0056895
,9407.099805,0.0024756
a02+4rev,12536.78225,0.0012214
,12537.784769,0.0078826
,12538.787277,0.0257474
,12539.789772,0.0567277
,12540.792258,0.0948063
,12541.794733,0.1281515
,12542.797199,0.1458917
,12543.799657,0.1438295
,12544.802106,0.1253129
,12545.804547,0.0979909
,12546.806982,0.0696133
,12547.809409,0.0453697
,12548.81183,0.0273466
,12549.814245,0.0153471
,12550.816653,0.0080652
,12551.819057,0.0039884
,12552.821454,0.0018639
a02+4rev-G,12385.73284,0.0013171
,12386.735368,0.0084033
,12387.737883,0.0271397
,12388.740386,0.0591347
,12389.742878,0.0977539
,12390.74536,0.1307191
,12391.747833,0.1472411
,12392.750297,0.1436451
,12393.752752,0.1238625
,12394.755199,0.0958705
,12395.757639,0.0674213
,12396.760072,0.0435035
,12397.762498,0.0259633
,12398.764918,0.0144286
,12399.767332,0.0075093
,12400.76974,0.0036779
,12401.772143,0.0017025
a02-G,419.072981,0.827719
,420.075982,0.1402427
,421.077912,0.0281966
,422.080496,0.003434
a03,899.174911,0.6655561
,900.177509,0.2489769
,901.179769,0.0686318
,902.182089,0.0140598
,903.184338,0.0024283
a03+1rev,3890.839876,0.1329293
,3891.842407,0.2561187
,3892.84489,0.2588963
,3893.84734,0.1818981
,3894.849762,0.0994506
,3895.852162,0.0449618
,3896.854544,0.0174554
,3897.85691,0.0059701
