ion,mass,Intensities
a01,265.081104,0.871424
,266.083609,0.1133303
,267.085682,0.0139905
a01+CMCT,516.280866,0.7366547
,517.283645,0.2186813
,518.286149,0.0389432
,519.288587,0.0051417
a01-G,114.031694,0.9397129
,115.034714,0.0563666
,116.036264,0.0072085
a01+CMCT-G,365.231456,0.7943825
,366.234554,0.1772528
,367.237139,0.0253972
,368.239687,0.0027293
a02,610.128539,0.7537737
,611.131053,0.1970102
,612.133225,0.0418502
,613.135503,0.0064523
a02+CMCT,861.328301,0.6371995
,862.331002,0.2728301
,863.333438,0.0727904
,864.335836,0.0144975
,865.33819,0.0023582
a02-G,459.079129,0.8128429
,460.081918,0.1525225
,461.083954,0.0302732
,462.086398,0.0038894
a02+CMCT-G,710.278891,0.6871335
,711.281776,0.2435518
,712.284236,0.0574855
,713.286697,0.010179
a03,915.169825,0.6639398
,916.172426,0.2486259
,917.174675,0.0699254
,918.176995,0.0145626
,919.179239,0.0025686
a03+CMCT,1166.369588,0.5612589
,1167.372309,0.3037959
,1168.374763,0.1026539
,1169.377179,0.0258976
,1170.379547,0.0053515
a03-G,764.120416,0.7159693
,765.123208,0.2153249
,766.125393,0.0563488
,767.127809,0.0104527
a03+CMCT-G,1015.320178,0.6052417
,1016.323042,0.2829816
,1017.325515,0.0871462
,1018.327979,0.0201265
,1019.330377,0.0038412
a04,1221.195128,0.5855924
,1222.197817,0.283536
,1223.200135,0.0985703
,1224.202502,0.0255671
,1225.204794,0.0055806
a04+CMCT,1472.39489,0.4950281
,1473.397657,0.3222594
,1474.400144,0.1307902
,1475.40259,0.0396206
,1476.404984,0.0098412
a04-G,1070.145718,0.6314821
,1071.148564,0.2591996
,1072.150844,0.0843793
,1073.15328,0.0200746
,1074.155574,0.0041089
a04+CMCT-G,1321.34548,0.5338209
,1322.348368,0.3081575
,1323.350872,0.1159487
,1324.353359,0.0327035
,1325.355776,0.007623
a05,1566.242562,0.506532
,1567.245216,0.3117704
,1568.247576,0.1288084
,1569.249941,0.0399087
,1570.252251,0.0102826
,1571.254549,0.0022836
a05+CMCT,1817.442325,0.4281948
,1818.445051,0.3349791
,1819.447542,0.1593228
,1820.449983,0.0563033
,1821.452378,0.0162448
,1822.454745,0.0040106
a05-G,1415.193153,0.5462262
,1416.19592,0.295932
,1417.198275,0.1146577
,1418.200682,0.0331612
,1419.203004,0.0080733
a05+CMCT-G,1666.392915,0.4617501
,1667.395736,0.3271873
,1668.398249,0.1456345
,1669.400722,0.0484345
,1670.403138,0.0132334
,1671.405527,0.0031038
a06,1871.283849,0.4461641
,1872.286525,0.3250775
,1873.288928,0.153546
,1874.291316,0.0543474
,1875.293652,0.0159032
,1876.295972,0.004006
a06+CMCT,2122.483612,0.377163
,2123.486347,0.3377158
,2124.48886,0.1813397
,2125.491318,0.0721173
,2126.493728,0.0233568
,2127.49611,0.0064646
a06-G,1720.234439,0.4811276
,1721.237212,0.3150813
,1722.23962,0.1402115
,1723.242041,0.0467752
,1724.244392,0.0130137
,1725.246732,0.0031235
a06+CMCT-G,1971.434202,0.4067193
,1972.437019,0.3341956
,1973.439556,0.1691046
,1974.442041,0.0637371
,1975.444472,0.0196692
,1976.446873,0.005203
a07,2177.309151,0.393515
,2178.311869,0.3298921
,2179.314316,0.175511
,2180.316735,0.0698503
,2181.319102,0.0229002
,2182.321447,0.0064554
a07+CMCT,2428.508914,0.3326563
,2429.511677,0.3343618
,2430.514219,0.1999137
,2431.516701,0.0883378
,2432.519134,0.0317403
,2433.521536,0.0097383
,2434.523914,0.0026312
a07-G,2026.259742,0.4243527
,2027.262546,0.3244588
,2028.265002,0.1634586
,2029.26745,0.0617485
,2030.269832,0.0193503
,2031.272195,0.0052266
a07+CMCT-G,2277.459504,0.3587248
,2278.462342,0.3341172
,2279.464907,0.1893532
,2280.467415,0.0797456
,2281.469866,0.0274397
,2282.472286,0.0080852
,2283.47468,0.0021028
a08,2483.334454,0.3470787
,2484.337203,0.3290437
,2485.339688,0.1943319
,2486.342134,0.0856513
,2487.344528,0.030995
,2488.346897,0.0096308
,2489.349243,0.0026478
a08+CMCT,2734.534216,0.2934016
,2735.537002,0.3270967
,2736.53957,0.2151109
,2737.542074,0.1042997
,2738.544527,0.0410491
,2739.546948,0.0137815
,2740.549343,0.0040719
a08-G,2332.285044,0.3742774
,2333.287872,0.3272357
,2334.290369,0.1837723
,2335.292841,0.0772876
,2336.29525,0.0268433
,2337.297635,0.0080254
,2338.299995,0.0021282
a08+CMCT-G,2583.484806,0.3163939
,2584.487661,0.3294036
,2585.490252,0.2062769
,2586.492779,0.0957399
,2587.49525,0.0362248
,2588.497687,0.0117232
,2589.500097,0.0033458
a09,2828.381889,0.3002199
,2829.38461,0.3240426
,2830.387107,0.2121912
,2831.389554,0.1031887
,2832.391954,0.0409874
,2833.394327,0.0139418
,2834.396677,0.0041866
a09+CMCT,3079.581651,0.2537897
,3080.584409,0.3162616
,3081.586977,0.2289041
,3082.589478,0.1215404
,3083.591932,0.0521913
,3084.594353,0.0190734
,3085.59675,0.0061235
a09-G,2677.332479,0.3237465
,2678.335267,0.3255681
,2679.33778,0.2033786
,2680.340249,0.0947711
,2681.342664,0.0362433
,2682.345052,0.0118997
,2683.347415,0.0034567
a09+CMCT-G,2928.532241,0.2736778
,2929.535058,0.3208686
,2930.537649,0.2219702
,2931.540172,0.113221
,2932.542643,0.0468835
,2933.545079,0.0165633
,2934.547489,0.0051506
a10,3134.407191,0.2647928
,3135.409937,0.3148564
,3136.412464,0.2243138
,3137.414935,0.1183305
,3138.417357,0.0508557
,3139.41975,0.0186898
,3140.42212,0.0060571
a10+CMCT,3385.606953,0.2238415
,3386.60973,0.3035005
,3387.61232,0.2374039
,3388.614841,0.1359032
,3389.617313,0.0628143
,3390.619751,0.0246817
,3391.622163,0.0085133
,3392.624554,0.0026341
a10-G,2983.357781,0.2855432
,2984.360589,0.3184785
,2985.363133,0.2171436
,2986.365625,0.1101237
,2987.368062,0.0456934
,2988.370469,0.0162522
,2989.372851,0.0051078
a10+CMCT-G,3234.557543,0.2413828
