ion,mass,Intensities
a01,265.081104,0.871424
,266.083609,0.1133303
,267.085682,0.0139905
a01+CMCT,516.280866,0.7366547
,517.283645,0.2186813
,518.286149,0.0389432
,519.288587,0.0051417
a01-G,114.031694,0.9397129
,115.034714,0.0563666
,116.036264,0.0072085
a01+CMCT-G,365.231456,0.7943825
,366.234554,0.1772528
,367.237139,0.0253972
,368.239687,0.0027293
a02,610.128539,0.7537737
,611.131053,0.1970102
,612.133225,0.0418502
,613.135503,0.0064523
a02+CMCT,861.328301,0.6371995
,862.331002,0.2728301
,863.333438,0.0727904
,864.335836,0.0144975
,865.33819,0.0023582
a02-G,459.079129,0.8128429
,460.081918,0.1525225
,461.083954,0.0302732
,462.086398,0.0038894
a02+CMCT-G,710.278891,0.6871335
,711.281776,0.2435518
,712.284236,0.0574855
,713.286697,0.010179
a03,915.169825,0.6639398
,916.172426,0.2486259
,917.174675,0.0699254
,918.176995,0.0145626
,919.179239,0.0025686
a03+CMCT,1166.369588,0.5612589
,1167.372309,0.3037959
,1168.374763,0.1026539
,1169.377179,0.0258976
,1170.379547,0.0053515
a03-G,764.120416,0.7159693
,765.123208,0.2153249
,766.125393,0.0563488
,767.127809,0.0104527
a03+CMCT-G,1015.320178,0.6052417
,1016.323042,0.2829816
,1017.325515,0.0871462
,1018.327979,0.0201265
,1019.330377,0.0038412
a04,1260.21726,0.5743018
,1261.21984,0.2904726
,1262.222142,0.1015827
,1263.224463,0.0266082
,1264.226731,0.0058209
a04+CMCT,1511.417023,0.4854837
,1512.419705,0.3265311
,1513.422161,0.1341706
,1514.424572,0.0410047
,1515.426939,0.0102348
,1516.429282,0.0021856
a04-G,1109.16785,0.6193068
,1110.170561,0.2675774
,1111.172847,0.0870643
,1112.175222,0.0209644
,1113.1775,0.0042889
a04+CMCT-G,1360.367613,0.5235285
,1361.370402,0.3135228
,1362.372881,0.1192441
,1363.375329,0.0339313
,1364.377721,0.0079413
a05,1566.242562,0.506532
,1567.245216,0.3117704
,1568.247576,0.1288084
,1569.249941,0.0399087
,1570.252251,0.0102826
,1571.254549,0.0022836
a05+CMCT,1817.442325,0.4281948
,1818.445051,0.3349791
,1819.447542,0.1593228
,1820.449983,0.0563033
,1821.452378,0.0162448
,1822.454745,0.0040106
a05-G,1415.193153,0.5462262
,1416.19592,0.295932
,1417.198275,0.1146577
,1418.200682,0.0331612
,1419.203004,0.0080733
a05+CMCT-G,1666.392915,0.4617501
,1667.395736,0.3271873
,1668.398249,0.1456345
,1669.400722,0.0484345
,1670.403138,0.0132334
,1671.405527,0.0031038
a06,1871.283849,0.4461641
,1872.286525,0.3250775
,1873.288928,0.153546
,1874.291316,0.0543474
,1875.293652,0.0159032
,1876.295972,0.004006
a06+CMCT,2122.483612,0.377163
,2123.486347,0.3377158
,2124.48886,0.1813397
,2125.491318,0.0721173
,2126.493728,0.0233568
,2127.49611,0.0064646
a06-G,1720.234439,0.4811276
,1721.237212,0.3150813
,1722.23962,0.1402115
,1723.242041,0.0467752
,1724.244392,0.0130137
,1725.246732,0.0031235
a06+CMCT-G,1971.434202,0.4067193
,1972.437019,0.3341956
,1973.439556,0.1691046
,1974.442041,0.0637371
,1975.444472,0.0196692
,1976.446873,0.005203
a07,2200.336369,0.3868673
,2201.339021,0.3325267
,2202.341448,0.1778919
,2203.34384,0.0710114
,2204.346189,0.0232627
,2205.348516,0.0065409
a07+CMCT,2451.536132,0.3270367
,2452.538839,0.3356515
,2453.541357,0.2022129
,2454.543816,0.0896832
,2455.546231,0.0322428
,2456.548616,0.0098786
,2457.550978,0.0026612
a07-G,2049.286959,0.4171841
,2050.28969,0.3278284
,2051.29213,0.1658095
,2052.294549,0.0628136
,2053.296914,0.0196517
,2054.299258,0.0052913
a07+CMCT-G,2300.486722,0.3526649
,2301.489498,0.3359548
,2302.492041,0.1917241
,2303.494525,0.0810146
,2304.496958,0.0278772
,2305.499361,0.0081982
,2306.501739,0.0021245
a07-A,2065.281874,0.416171
,2066.284605,0.3271912
,2067.287042,0.1663876
,2068.289459,0.0633968
,2069.291821,0.019968
,2070.294164,0.0054148
a07+CMCT-A,2316.481637,0.3518084
,2317.484414,0.3352733
,2318.486953,0.19211
,2319.489434,0.0815801
,2320.491865,0.0282337
,2321.494266,0.0083551
,2322.496642,0.0021797
a08,2505.377656,0.3407609
,2506.380325,0.3314384
,2507.382781,0.1967147
,2508.385194,0.086813
,2509.387563,0.0313243
,2510.389908,0.0096833
,2511.392232,0.0026434
a08+CMCT,2756.577418,0.2880609
,2757.580135,0.3282302
,2758.582671,0.2173821
,2759.585145,0.1056431
,2760.587574,0.0415235
,2761.589972,0.0138892
,2762.592347,0.0040808
a08-G,2354.328246,0.3674646
,2355.330985,0.3303203
,2356.333458,0.1861447
,2357.335894,0.078353
,2358.338279,0.0271088
,2359.34064,0.0080572
,2360.342978,0.0021197
a08+CMCT-G,2605.528009,0.3106347
,2606.530787,0.3310505
,2607.533348,0.2086303
,2608.535845,0.0970089
,2609.538291,0.0366321
,2610.540706,0.0118033
,2611.543096,0.0033475
a08-A,2370.323161,0.3665722
,2371.325901,0.3296582
,2372.32837,0.1865723
,2373.330805,0.0789113
,2374.333188,0.0274547
,2375.335547,0.0082087
,2376.337884,0.0021733
a08+CMCT-A,2621.522923,0.3098803
,2622.525703,0.3303649
,2623.52826,0.2088871
,2624.530755,0.0975319
,2625.5332,0.0370081
,2626.535613,0.0119876
,2627.538001,0.003419
a09,2834.430176,0.2954726
,2835.432827,0.3260757
,2836.435296,0.2141917
,2837.437714,0.1040007
,2838.440091,0.0410745
,2839.442443,0.0138566
,2840.444774,0.0041183
a09+CMCT,3085.629939,0.2497765
,3086.632635,0.3173108
,3087.635172,0.2308213
,3088.637648,0.122531
,3089.64008,0.0524065
,3090.642481,0.0190258
,3091.64486,0.0060556
a09-G,2683.380766,0.3186272
,2684.383477,0.3281379
,2685.385965,0.2053692
,2686.388404,0.0954895
,2687.390797,0.0362749
,2688.393164,0.0118019
,2689.395508,0.0033899
a09+CMCT-G,2934.580529,0.2693502
,2935.583279,0.3223191
