spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2911_72_6_1.csv
limit_error:	6.5	2020-03-11
noise_limit:	2280000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1438.18803	6	655833474.7198827	RNA	-0.87	0.1	C256H320N102O188P26	7.8
1450.194849	6	41531464216.22	RNA+DEPC	1.41	0.09	C259H324N102O190P26	448.0
1427.686719	6	1256379127.4379702	RNA+DEPC-A	2.1	0.09	C254H319N97O190P26	13.6
1431.687188	6	359971321.25	RNA+DEPC-C	1.12	0.1	C255H319N99O189P26	4.3
1428.687536	6	269594859.46148556	RNA+DEPC-C-H2O	2.6	0.17	C255H317N99O188P26	6.5
1442.519656	6	3258097590.579996	RNA+DEPC-Eth	0.35	0.07	C257H318N102O189P26	28.8
1420.009409	6	164086842.9860186	RNA+DEPC-Eth-A	-0.47	0.08	C252H313N97O189P26	1.6
1421.014848	6	38375717.57975389	RNA+DEPC-Eth-C-H2O	3.28	0.27	C253H311N99O187P26	2.5
1417.34562	6	497230909.2920726	RNA+DEPC-Eth-G	0.96	0.09	C252H313N97O188P26	5.4
1439.520639	6	140263926.5	RNA+DEPC-Eth-H2O	2.25	0.07	C257H316N102O188P26	1.2
1425.020927	6	2875421976.880262	RNA+DEPC-G	2.13	0.09	C254H319N97O189P26	31.0
1422.017791	6	154349967.8657015	RNA+DEPC-G-H2O	1.16	0.12	C254H317N97O188P26	2.2
1447.194505	6	831895600.1146806	RNA+DEPC-H2O	2.4	0.11	C259H322N102O189P26	11.0
1415.680743	6	203998659.5738073	RNA-A	0.39	0.07	C251H315N97O188P26	1.8
1419.67583	6	36342759.93260262	RNA-C	-4.39	0.21	C252H315N99O187P26	1.3
1413.01489	6	96708198.10452402	RNA-G	0.36	0.1	C251H315N97O187P26	1.2
1435.191836	6	45842060.0	RNA-H2O	3.01	0.15	C256H318N102O187P26	0.9
1331.22772	1	5836708.12	a04+DEPC	-2.55	0.37	C42H51N18O27P3	1.0
1108.160499	1	17829286.91	a04-G	-0.07	0.11	C34H42N13O24P3	0.2
1414.18256	1	8795412.179654432	a05-G	-2.35	0.38	C43H53N15O32P4	1.7
