ion,mass,Intensities
a01,265.081104,0.87141
,266.083609,0.113329
,267.085682,0.01399
a01-G,114.031694,0.9397015
,115.035102,0.052931
,116.036388,0.007009
a02,610.128539,0.7537404
,611.131053,0.197002
,612.133225,0.041848
,613.135503,0.006452
a02-G,459.079129,0.8128103
,460.081918,0.152516
,461.083954,0.030272
,462.086398,0.003889
a03,916.153841,0.6647748
,917.156497,0.246686
,918.158745,0.070545
,919.161091,0.014853
,920.163343,0.002665
a03-G,765.104431,0.7168726
,766.107295,0.213167
,767.10946,0.057172
,768.111915,0.010715
a04,1221.195128,0.5855313
,1222.197817,0.283506
,1223.200135,0.09856
,1224.202502,0.025565
,1225.204794,0.00558
a04-G,1070.145718,0.6314188
,1071.148564,0.259174
,1072.150844,0.084371
,1073.15328,0.020073
,1074.155574,0.004108
a05,1527.22043,0.5164198
,1528.223175,0.306703
,1529.225553,0.125681
,1530.227956,0.038579
,1531.230288,0.0099
a05-G,1376.17102,0.5568911
,1377.173897,0.289683
,1378.176256,0.1117
,1379.17871,0.031972
,1380.181049,0.007763
a06,1872.267865,0.4466858
,1873.27057,0.323944
,1874.272981,0.153547
,1875.27538,0.05456
,1876.277725,0.016053
,1877.280052,0.004068
a06-G,1721.218455,0.4816921
,1722.22126,0.313818
,1723.223673,0.140304
,1724.226107,0.047003
,1725.228466,0.013158
,1726.230814,0.003179
a07,2217.315299,0.3863682
,2218.317977,0.330936
,2219.320409,0.178257
,2220.32281,0.07175
,2221.325165,0.023749
,2222.327498,0.006754
a07-G,2066.26589,0.4166476
,2067.268648,0.326154
,2068.271091,0.16633
,2069.27352,0.063579
,2070.27589,0.020118
,2071.27824,0.005483
a08,2562.362734,0.3341956
,2563.365391,0.330133
,2564.367838,0.199257
,2565.370244,0.089447
,2566.372606,0.032839
,2567.374945,0.010331
,2568.377265,0.002871
a08-G,2411.313324,0.3603862
,2412.316049,0.329436
,2413.318512,0.188984
,2414.320941,0.080989
,2415.323319,0.028536
,2416.325673,0.008639
,2417.328006,0.002315
a09,2867.404021,0.2943583
,2868.406692,0.324073
,2869.409165,0.21435
,2870.41159,0.10505
,2871.413971,0.041964
,2872.416327,0.014337
,2873.418662,0.00432
a09-G,2716.354611,0.3174269
,2717.357344,0.326068
,2718.359834,0.205699
,2719.36228,0.096607
,2720.364677,0.037151
,2721.367047,0.012251
,2722.369395,0.00357
a10,3212.451456,0.2546101
,3213.454111,0.313746
,3214.456592,0.227915
,3215.459021,0.122043
,3216.461408,0.053046
,3217.463769,0.01967
,3218.46611,0.00642
,3219.468434,0.001884
a10-G,3061.402046,0.2745636
,3062.404755,0.318092
,3063.407255,0.221105
,3064.409702,0.11384
,3065.412105,0.047764
,3066.414479,0.017139
,3067.416832,0.005424
a11,3517.492742,0.2242596
,3518.49541,0.301712
,3519.497911,0.236541
,3520.500356,0.136198
,3521.502759,0.063482
,3522.505135,0.025199
,3523.507489,0.008793
,3524.509826,0.002755
a11-G,3366.443333,0.2418347
,3367.44605,0.307527
,3368.44857,0.231332
,3369.451033,0.128403
,3370.453451,0.057901
,3371.455839,0.022288
,3372.458205,0.007555
,3373.460553,0.002303
a12,3846.545263,0.1944501
,3847.547917,0.287066
,3848.550423,0.243295
,3849.552872,0.150624
,3850.555281,0.075197
,3851.557662,0.031889
,3852.560022,0.011865
,3853.562365,0.003958
a12-A,3711.490767,0.2091789
,3712.493466,0.293469
,3713.495991,0.239707
,3714.498456,0.143751
,3715.500878,0.069771
,3716.50327,0.028838
,3717.50564,0.010477
,3718.507992,0.003418
a12-G,3695.495853,0.2096889
,3696.498551,0.294104
,3697.501077,0.239748
,3698.503544,0.143405
,3699.505966,0.069394
,3700.50836,0.028587
,3701.510731,0.010349
,3702.513084,0.003364
a13,4191.592697,0.1681928
,4192.595341,0.270389
,4193.59785,0.246813
,4194.600303,0.163845
,4195.602716,0.08744
,4196.605101,0.039556
,4197.607465,0.015674
,4198.609812,0.005562
,4199.612144,0.001796
a13-A,4056.538202,0.1809327
,4057.540886,0.2776
,4058.543413,0.244722
,4059.545881,0.157645
,4060.548307,0.081912
,4061.550703,0.036161
,4062.553077,0.014009
,4063.555433,0.004867
a13-G,4040.543287,0.1813739
,4041.545971,0.278207
,4042.5485,0.244839
,4043.550968,0.157363
,4044.553395,0.081548
,4045.555792,0.035895
,4046.558167,0.013861
,4047.560523,0.0048
a14,4496.633984,0.1481436
,4497.636638,0.254913
,4498.639162,0.247327
,4499.641628,0.173989
,4500.644054,0.098195
,4501.646452,0.046908
,4502.648827,0.019606
,4503.651185,0.007333
,4504.653528,0.002494
a14-A,4361.579489,0.1593649
,4362.582181,0.262534
,4363.584723,0.24643
,4364.587204,0.168468
,4365.589642,0.092684
,4366.592051,0.043255
,4367.594436,0.017693
,4368.596802,0.006484
,4369.599154,0.002163
a14-G,4345.584574,0.1597535
,4346.587266,0.263113
,4347.589809,0.246602
,4348.592291,0.168244
,4349.59473,0.092339
,4350.597139,0.042979
,4351.599525,0.01753
,4352.601893,0.006405
,4353.604245,0.00213
a15,4841.681419,0.1281393
,4842.684063,0.237318
,4843.686589,0.245752
,4844.689057,0.183803
,4845.691487,0.109996
,4846.693888,0.055612
,4847.696267,0.024566
,4848.698628,0.009699
,4849.700975,0.003479
a15-A,4706.626924,0.1378453
,4707.629603,0.245184
,4708.632146,0.246059
,4709.634629,0.179095
,4710.63707,0.104601
,4711.639482,0.05172
,4712.64187,0.022379
,4713.64424,0.008666
,4714.646595,0.003052
a15-G,4690.632009,0.1381814
,4691.634688,0.245729
,4692.637232,0.246281
,4693.639716,0.178932
,4694.642158,0.104281
,4695.64457,0.051438
,4696.646959,0.022199
,4697.64933,0.008572
,4698.651685,0.00301
a16,5147.706721,0.1130147
,5148.709385,0.221706
,5149.71193,0.242187
,5150.714417,0.190699
,5151.716863,0.119985
,5152.71928,0.063717
,5153.721674,0.029542
,5154.724049,0.012235
,5155.72641,0.004601
a16-A,5012.652226,0.1215751
,5013.654923,0.229583
,5014.657486,0.243407
,5015.659987,0.186745
,5016.662445,0.114792
,5017.664872,0.059673
,5018.667275,0.027124
,5019.669658,0.011026
,5020.672026,0.004074
a16-G,4996.657311,0.1218716
,4997.660008,0.230096
,4998.662572,0.243662
,4999.665073,0.186634
,5000.667532,0.1145
,5001.66996,0.059391
,5002.672363,0.026932
,5003.674748,0.010921
,5004.677117,0.004025
a17,5452.748008,0.099543
,5453.750679,0.206537
,5454.753235,0.237419
,5455.755733,0.196226
,5456.75819,0.129367
,5457.760617,0.071895
,5458.763021,0.03485
,5459.765406,0.015078
,5460.767775,0.00592
,5461.770131,0.002136
a17-A,5317.693513,0.1070829
,5318.696216,0.214327
,5319.698789,0.239431
,5320.701301,0.193018
,5321.703769,0.124435
,5322.706206,0.067748
,5323.708619,0.032219
,5324.711012,0.013692
,5325.713389,0.005286
,5326.715752,0.001876
a17-G,5301.698598,0.107344
,5302.701301,0.214809
,5303.703875,0.239712
,5304.706387,0.192956
,5305.708856,0.124172
,5306.711294,0.067469
,5307.713707,0.032016
,5308.716101,0.013574
,5309.718479,0.005227
,5310.720842,0.001851
a18,5781.800528,0.0863113
,5782.80319,0.190384
,5783.805746,0.231058
,5784.808245,0.200893
,5785.810705,0.138979
,5786.813135,0.080899
,5787.815542,0.041016
,5788.817931,0.01854
,5789.820303,0.007598
,5790.822663,0.002859
a18-A,5646.746033,0.092849
,5647.748725,0.197995
,5648.751298,0.23382
,5649.75381,0.19849
,5650.756281,0.134388
,5651.758721,0.076692
,5652.761137,0.038172
,5653.763533,0.016958
,5654.765913,0.006836
,5655.768279,0.002532
a18-G,5630.751118,0.0930754
,5631.75381,0.198442
,5632.756384,0.234123
,5633.758897,0.198476
,5634.761368,0.134159
,5635.763809,0.07642
,5636.766225,0.03796
,5637.768622,0.016827
,5638.771003,0.006769
,5639.77337,0.002501
a19,6110.853048,0.0748384
,6111.855702,0.174876
,6112.858258,0.223477
,6113.860759,0.203912
,6114.863221,0.147703
,6115.865654,0.089868
,6116.868064,0.04756
,6117.870456,0.022416
,6118.872832,0.00957
,6119.875194,0.003749
a19-A,5975.798553,0.0805071
,5976.801235,0.182218
,5977.803807,0.22685
,5978.806321,0.202286
,5979.808794,0.143512
,5980.811236,0.085662
,5981.813655,0.044533
,5982.816054,0.02064
,5983.818437,0.008673
,5984.820807,0.003346
a19-G,5959.803638,0.0807034
,5960.80632,0.182631
,5961.808893,0.227167
,5962.811407,0.202317
,5963.813881,0.143317
,5964.816324,0.0854
,5965.818743,0.044314
,5966.821143,0.020497
,5967.823527,0.008595
,5968.825897,0.003309
a20,6416.87835,0.066005
,6417.88102,0.161477
,6418.883591,0.215468
,6419.886106,0.204979
,6420.888582,0.154639
,6421.891028,0.097916
,6422.893451,0.053895
,6423.895854,0.026407
,6424.898242,0.011716
,6425.900616,0.004767
,6426.902977,0.001797
a20-A,6281.823855,0.0710047
,6282.826551,0.1685
,6283.829139,0.219263
,6284.831667,0.204024
,6285.834154,0.150863
,6286.836609,0.093777
,6287.83904,0.050735
,6288.841451,0.024458
,6289.843846,0.010685
,6290.846226,0.004285
a20-G,6265.828941,0.0711778
,6266.831636,0.168884
,6267.834225,0.219587
,6268.836753,0.20409
,6269.839241,0.150702
,6270.841697,0.093528
,6271.844128,0.050513
,6272.84654,0.024306
,6273.848935,0.010598
,6274.851316,0.004241
a21,6761.925785,0.0570922
,6762.928447,0.147169
,6763.931017,0.205992
,6764.933533,0.205025
,6765.93601,0.161529
,6766.938458,0.106665
,6767.940882,0.061163
,6768.943288,0.031192
,6769.945678,0.014393
,6770.948054,0.006088
,6771.950418,0.002384
a21-A,6626.87129,0.0614167
,6627.873977,0.153812
,6628.876563,0.210169
,6629.879091,0.204775
,6630.881579,0.158243
,6631.884036,0.102646
,6632.886468,0.057885
,6633.888881,0.02906
,6634.891278,0.013211
,6635.89366,0.005509
,6636.89603,0.002128
a21-G,6610.876375,0.0615664
,6611.879062,0.154164
,6612.881648,0.210496
,6613.884177,0.204877
,6614.886665,0.158117
,6615.889123,0.102415
,6616.891556,0.057662
,6617.89397,0.028898
,6618.896367,0.013113
,6619.89875,0.005458
,6620.90112,0.002104
a22,7090.978305,0.0495032
,7091.98096,0.134088
,7092.983529,0.196322
,7093.986046,0.203841
,7094.988524,0.167208
,7095.990975,0.114793
,7096.993402,0.068353
,7097.99581,0.036164
,7098.998202,0.017299
,7100.000581,0.007579
,7101.002948,0.003073
a22-A,6955.92381,0.0532529
,6956.926489,0.140339
,6957.929073,0.200774
,6958.931602,0.204222
,6959.934091,0.164415
,6960.93655,0.110939
,6961.938985,0.064998
,6962.941401,0.033867
,6963.9438,0.015967
,6964.946185,0.0069
,6965.948557,0.00276
a22-G,6939.928895,0.0533827
,6940.931574,0.140661
,6941.934159,0.201101
,6942.936688,0.204354
,6943.939177,0.164325
,6944.941637,0.110726
,6945.944073,0.064776
,6946.946489,0.033698
,6947.948888,0.01586
,6948.951274,0.006841
,6949.953647,0.002732
a23,7396.019592,0.0436023
,7397.022253,0.123036
,7398.024829,0.187161
,7399.027354,0.201569
,7400.029841,0.171303
,7401.032299,0.121734
,7402.034734,0.074978
,7403.037149,0.041009
,7404.039549,0.020269
,7405.041935,0.009172
,7406.044308,0.00384
a23-A,7260.965097,0.046905
,7261.96778,0.128915
,7262.970372,0.191772
,7263.972909,0.202466
,7264.975406,0.168972
,7265.977872,0.118075
,7266.980315,0.07159
,7267.982738,0.038578
,7268.985144,0.0188
,7269.987536,0.008394
,7270.989915,0.003469
a23-G,7244.970182,0.0470193
,7245.972866,0.129212
,7246.975458,0.192093
,7247.977995,0.20262
,7248.980492,0.168911
,7249.982959,0.117882
,7250.985403,0.071372
,7251.987826,0.038403
,7252.990233,0.018685
,7253.992625,0.008328
,7254.995005,0.003436
a24,7741.067027,0.0377145
,7742.069681,0.111374
,7743.072256,0.176707
,7744.074781,0.198073
,7745.077269,0.174931
,7746.079728,0.129032
,7747.082165,0.082414
,7748.084582,0.046708
,7749.086984,0.023906
,7750.089372,0.011197
,7751.091747,0.004848
,7752.094112,0.001957
a24-A,7606.012532,0.0405712
,7607.015208,0.116835
,7608.017798,0.181427
,7609.020334,0.199493
,7610.022831,0.173117
,7611.025299,0.125631
,7612.027744,0.079025
,7613.030168,0.044146
,7614.032576,0.022287
,7615.03497,0.010302
,7616.037351,0.004406
,7617.039722,0.001757
a24-G,7590.017617,0.0406701
,7591.020293,0.117104
,7592.022883,0.181741
,7593.02542,0.199669
,7594.027918,0.173089
,7595.030386,0.12546
,7596.032831,0.078814
,7597.035256,0.043965
,7598.037664,0.022162
,7599.040059,0.010229
,7600.042441,0.004367
,7601.044812,0.001739
a25,8046.108313,0.0332188
,8047.110973,0.101855
,8048.113555,0.16741
,8049.116087,0.194111
,8050.118583,0.177144
,8051.121049,0.134908
,8052.123493,0.088906
,8053.125917,0.051961
,8054.128326,0.027413
,8055.13072,0.013229
,8056.133102,0.005901
,8057.135474,0.002453
a25-A,7911.053818,0.035735
,7912.056499,0.10695
,7913.059096,0.172163
,7914.061639,0.195934
,7915.064144,0.175781
,7916.066619,0.131764
,7917.06907,0.085553
,7918.071502,0.049304
,7919.073916,0.025665
,7920.076317,0.012229
,7921.078704,0.005388
,7922.081081,0.002213
a25-G,7895.058904,0.0358221
,7896.061584,0.107197
,7897.064181,0.172468
,7898.066725,0.196125
,7899.06923,0.17578
,7900.071706,0.131615
,7901.074157,0.08535
,7902.076589,0.049121
,7903.079004,0.025534
,7904.081405,0.012148
,7905.083793,0.005344
,7906.08617,0.002192
a26,8352.133616,0.0292979
,8353.136287,0.093048
,8354.138881,0.158149
,8355.141424,0.189426
,8356.14393,0.178438
,8357.146407,0.140188
,8358.148861,0.09526
,8359.151295,0.057385
,8360.153713,0.031194
,8361.156116,0.015506
,8362.158507,0.007123
,8363.160887,0.003048
a26-A,8217.079121,0.0315171
,8218.081813,0.097784
,8219.084421,0.162882
,8220.086975,0.191597
,8221.089491,0.177513
,8222.091976,0.137328
,8223.094437,0.091977
,8224.096878,0.054654
,8225.099302,0.029325
,8226.101712,0.014397
,8227.104108,0.006535
,8228.106493,0.002765
a26-G,8201.084206,0.031594
,8202.086898,0.09801
,8203.089506,0.163177
,8204.092061,0.1918
,8205.094577,0.177537
,8206.097063,0.137201
,8207.099525,0.091783
,8208.101966,0.05447
,8209.10439,0.029187
,8210.1068,0.014309
,8211.109197,0.006485
,8212.111582,0.00274
a27,8697.181051,0.0253417
,8698.183716,0.083811
,8699.186308,0.147929
,8700.188851,0.183668
,8701.191357,0.179102
,8702.193835,0.145509
,8703.19629,0.102163
,8704.198726,0.063544
,8705.201145,0.035644
,8706.20355,0.018275
,8707.205942,0.008654
,8708.208324,0.003817
,8709.210696,0.001579
a27-A,8562.126555,0.0272612
,8563.12924,0.08816
,8564.131846,0.152604
,8565.1344,0.186178
,8566.136916,0.178649
,8567.139402,0.142983
,8568.141864,0.098985
,8569.144306,0.060752
,8570.146732,0.033648
,8571.149142,0.017044
,8572.15154,0.007978
,8573.153927,0.003479
a27-G,8546.131641,0.0273277
,8547.134326,0.088364
,8548.136931,0.152886
,8549.139486,0.186392
,8550.142002,0.178699
,8551.144488,0.14288
,8552.146951,0.098805
,8553.149394,0.060569
,8554.15182,0.033504
,8555.154231,0.016948
,8556.156629,0.007922
,8557.159016,0.00345
a28,9026.233571,0.0219732
,9027.236231,0.075547
,9028.238821,0.138226
,9029.241363,0.177564
,9030.24387,0.17889
,9031.24635,0.149988
