ion,mass,Intensities
a01,265.081104,0.871424
,266.083609,0.1133303
,267.085682,0.0139905
a01+NMIA,398.133868,0.793561
,399.136633,0.1762332
,400.138984,0.0268479
,401.141362,0.0030682
a01-G,114.031694,0.9397129
,115.034714,0.0563666
,116.036264,0.0072085
a01+NMIA-G,247.084458,0.8557482
,248.087696,0.1269541
,249.089929,0.0157952
a02,610.128539,0.7537737
,611.131053,0.1970102
,612.133225,0.0418502
,613.135503,0.0064523
a02+NMIA,743.181302,0.686423
,744.183978,0.2425766
,745.186317,0.0586086
,746.188674,0.0106156
a02-G,459.079129,0.8128429
,460.081918,0.1525225
,461.083954,0.0302732
,462.086398,0.0038894
a02+NMIA-G,592.131893,0.7402143
,593.134795,0.2070141
,594.1371,0.0446502
,595.139549,0.0070911
a03,915.169825,0.6639398
,916.172426,0.2486259
,917.174675,0.0699254
,918.176995,0.0145626
,919.179239,0.0025686
a03+NMIA,1048.222589,0.6046159
,1049.225295,0.2820518
,1050.227675,0.0880256
,1051.230058,0.0206045
,1052.232384,0.0039976
a03-G,764.120416,0.7159693
,765.123208,0.2153249
,766.125393,0.0563488
,767.127809,0.0104527
a03+NMIA-G,897.173179,0.6519965
,898.176052,0.2560867
,899.178419,0.0731466
,900.180865,0.015561
,901.18321,0.0027851
a04,1260.21726,0.5743018
,1261.21984,0.2904726
,1262.222142,0.1015827
,1263.224463,0.0266082
,1264.226731,0.0058209
a04+NMIA,1393.270024,0.5229872
,1394.272689,0.3126474
,1395.275091,0.1198871
,1396.277471,0.0344255
,1397.279804,0.0081461
a04-G,1109.16785,0.6193068
,1110.170561,0.2675774
,1111.172847,0.0870643
,1112.175222,0.0209644
,1113.1775,0.0042889
a04+NMIA-G,1242.220614,0.5639709
,1243.223399,0.2955695
,1244.225809,0.1049852
,1245.228231,0.0279596
,1246.230584,0.0061958
a05,1566.242562,0.506532
,1567.245216,0.3117704
,1568.247576,0.1288084
,1569.249941,0.0399087
,1570.252251,0.0102826
,1571.254549,0.0022836
a05+NMIA,1699.295326,0.4612727
,1700.298042,0.3263629
,1701.300488,0.1461064
,1702.302903,0.0489147
,1703.305268,0.0134727
,1704.307611,0.0031876
a05-G,1415.193153,0.5462262
,1416.19592,0.295932
,1417.198275,0.1146577
,1418.200682,0.0331612
,1419.203004,0.0080733
a05+NMIA-G,1548.245916,0.4974202
,1549.248737,0.3152662
,1550.251194,0.1321028
,1551.253644,0.0415105
,1552.256028,0.0108168
,1553.258393,0.0024279
a06,1871.283849,0.4461641
,1872.286525,0.3250775
,1873.288928,0.153546
,1874.291316,0.0543474
,1875.293652,0.0159032
,1876.295972,0.004006
a06+NMIA,2004.336613,0.4062987
,2005.33934,0.3334219
,2006.341816,0.1694296
,2007.34425,0.0641916
,2008.346635,0.0199348
,2009.348995,0.0053098
a06-G,1720.234439,0.4811276
,1721.237212,0.3150813
,1722.23962,0.1402115
,1723.242041,0.0467752
,1724.244392,0.0130137
,1725.246732,0.0031235
a06+NMIA-G,1853.287203,0.4381382
,1854.290021,0.3272489
,1855.292512,0.1566337
,1856.294975,0.0561344
,1857.297378,0.0165962
,1858.299758,0.0042205
a07,2200.336369,0.3868673
,2201.339021,0.3325267
,2202.341448,0.1778919
,2203.34384,0.0710114
,2204.346189,0.0232627
,2205.348516,0.0065409
a07+NMIA,2333.389133,0.3523002
,2334.391832,0.3352361
,2335.394319,0.1919107
,2336.396756,0.0814313
,2337.399147,0.0281635
,2338.401512,0.0083294
,2339.403855,0.0021718
a07-G,2049.286959,0.4171841
,2050.28969,0.3278284
,2051.29213,0.1658095
,2052.294549,0.0628136
,2053.296914,0.0196517
,2054.299258,0.0052913
a07+NMIA-G,2182.339723,0.3799081
,2183.342496,0.3334983
,2184.345004,0.1806746
,2185.347466,0.0729363
,2186.349875,0.0241232
,2187.352257,0.0068424
a07-A,2065.281874,0.416171
,2066.284605,0.3271912
,2067.287042,0.1663876
,2068.289459,0.0633968
,2069.291821,0.019968
,2070.294164,0.0054148
a07+NMIA-A,2198.334638,0.3789855
,2199.337411,0.3328331
,2200.339915,0.1811422
,2201.342375,0.0735122
,2202.344782,0.0244631
,2203.347163,0.0069846
a08,2505.377656,0.3407609
,2506.380325,0.3314384
,2507.382781,0.1967147
,2508.385194,0.086813
,2509.387563,0.0313243
,2510.389908,0.0096833
,2511.392232,0.0026434
a08+NMIA,2638.43042,0.3103135
,2639.433129,0.3303811
,2640.435639,0.2087166
,2641.438092,0.0973811
,2642.4405,0.0369279
,2643.44288,0.011955
,2644.445237,0.003408
a08-G,2354.328246,0.3674646
,2355.330985,0.3303203
,2356.333458,0.1861447
,2357.335894,0.078353
,2358.338279,0.0271088
,2359.34064,0.0080572
,2360.342978,0.0021197
a08+NMIA-G,2487.38101,0.3346311
,2488.383786,0.3316009
,2489.386317,0.1991385
,2490.388793,0.0887921
,2491.391219,0.0323241
,2492.393614,0.0100734
,2493.395986,0.0027703
a08-A,2370.323161,0.3665722
,2371.325901,0.3296582
,2372.32837,0.1865723
,2373.330805,0.0789113
,2374.333188,0.0274547
,2375.335547,0.0082087
,2376.337884,0.0021733
a08+NMIA-A,2503.375925,0.3338185
,2504.378701,0.3309231
,2505.381229,0.1994678
,2506.383703,0.0893325
,2507.386127,0.032688
,2508.388521,0.0102434
,2509.390891,0.0028338
a09,2834.430176,0.2954726
,2835.432827,0.3260757
,2836.435296,0.2141917
,2837.437714,0.1040007
,2838.440091,0.0410745
,2839.442443,0.0138566
,2840.444774,0.0041183
a09+NMIA,2967.48294,0.2690717
,2968.485628,0.3217022
,2969.488143,0.223943
,2970.4906,0.1144579
,2971.493013,0.047338
,2972.495397,0.0166678
,2973.497759,0.0051569
a09-G,2683.380766,0.3186272
,2684.383477,0.3281379
,2685.385965,0.2053692
,2686.388404,0.0954895
,2687.390797,0.0362749
,2688.393164,0.0118019
,2689.395508,0.0033899
a09+NMIA-G,2816.43353,0.2901574
,2817.436276,0.3255207
,2818.438813,0.2162041
,2819.441291,0.1059846
,2820.443721,0.0422081
,2821.44612,0.0143472
,2822.448495,0.0042939
