ion,mass,Intensities
a01,43.042199,0.9744284
,44.044756,0.0257354
,45.046448,0.0022279
a02,171.100777,0.9110272
,172.103414,0.0815519
,173.105451,0.0069998
a03,258.132805,0.8739012
,259.135492,0.111166
,260.137556,0.0137162
a04,345.164833,0.8382881
,346.167547,0.1382309
,347.169656,0.0210644
,348.172031,0.0022214
a05,459.207761,0.7924691
,460.210429,0.1721682
,461.212614,0.0309016
,462.214958,0.0040057
a06,546.239789,0.7601745
,547.242477,0.1938031
,548.244697,0.0393927
,549.247051,0.0058448
a07,647.287468,0.7211684
,648.290197,0.2190654
,649.292478,0.0499963
,650.294851,0.00845
a08,784.34638,0.6662428
,785.349061,0.2540433
,786.351421,0.065004
,787.353786,0.0124762
a09,913.388973,0.6237246
,914.391701,0.2753156
,915.394106,0.0799336
,916.396503,0.0174041
,917.398845,0.0031284
a10,1010.441737,0.5867662
,1011.444499,0.2938175
,1012.446966,0.0926262
,1013.449398,0.0218268
,1014.451778,0.0042168
a11,1123.525801,0.5457945
,1124.528603,0.3118862
,1125.53114,0.1077676
,1126.533618,0.0276379
,1127.536045,0.0057707
a12,1252.568394,0.510963
,1253.571217,0.3226904
,1254.573779,0.1223575
,1255.576277,0.0343758
,1256.578723,0.007856
a13,1351.636808,0.4805749
,1352.639648,0.3321252
,1353.64225,0.1348538
,1354.644777,0.0403244
,1355.647251,0.0097648
,1356.64969,0.0020121
a14,1464.720872,0.4470182
,1465.723735,0.3405361
,1466.726381,0.1491515
,1467.728946,0.0477523
,1468.731456,0.0123183
,1469.733927,0.0026951
a15,1592.815835,0.4142423
,1593.818692,0.3464145
,1594.821359,0.1635618
,1595.823943,0.0560318
,1596.826471,0.0153908
,1597.828961,0.0035737
a16,1721.858428,0.3878062
,1722.861296,0.3476136
,1723.863976,0.1755889
,1724.866571,0.064297
,1725.869111,0.0188703
,1726.871611,0.0046809
a17,1850.901021,0.3630572
,1851.903899,0.3472488
,1852.906591,0.1867261
,1853.909198,0.0727104
,1854.911748,0.022679
,1855.914258,0.005977
a18,1951.948699,0.344428
,1952.951581,0.3462454
,1953.954281,0.1949701
,1954.956896,0.0793662
,1955.959454,0.0258506
,1956.961971,0.0071094
,1957.964458,0.0017065
a19,2051.017113,0.3239441
,2052.020003,0.3449495
,2053.022722,0.2039152
,2054.025356,0.0867632
,2055.027933,0.0294533
,2056.030468,0.0084249
,2057.032972,0.0021002
a20,2165.060041,0.306238
,2166.062913,0.3421295
,2167.065624,0.2114459
,2168.068253,0.0938897
,2169.070825,0.0332231
,2170.073357,0.0098981
,2171.075857,0.0025684
a21,2321.161152,0.281721
,2322.163983,0.3377772
,2323.166677,0.2216695
,2324.169294,0.1039238
,2325.171858,0.0386767
,2326.174383,0.0120852
,2327.176877,0.003282
a22,2458.220063,0.2602646
,2459.222875,0.3322331
,2460.225563,0.2302037
,2461.228179,0.1134055
,2462.230743,0.0442026
,2463.23327,0.0144303
,2464.235767,0.0040866
a23,2614.321174,0.2394281
,2615.323954,0.3252145
,2616.326625,0.2379689
,2617.329229,0.1232329
,2618.331786,0.0503296
,2619.334306,0.0171746
,2620.336798,0.0050745
a24,2685.358288,0.23023
,2686.361068,0.3213103
,2687.363742,0.241085
,2688.36635,0.1278569
,2689.368911,0.0534295
,2690.371435,0.018643
,2691.373931,0.0056296
a25,2798.442352,0.2141539
,2799.445147,0.314014
,2800.447841,0.2462777
,2801.450469,0.1360741
,2802.45305,0.0591014
,2803.455594,0.0213951
,2804.458109,0.0066933
,2805.4606,0.0018544
a26,2897.510766,0.2014177
,2898.513569,0.3073366
,2899.516276,0.2499335
,2900.518918,0.1428488
,2901.521513,0.0640691
,2902.524071,0.0239187
,2903.526599,0.0077087
,2904.529103,0.0021983
a27,2984.542795,0.1932096
,2985.545598,0.3020942
,2986.548305,0.2517559
,2987.550947,0.1474612
,2988.553543,0.0677821
,2989.556101,0.0259354
,2990.55863,0.0085674
,2991.561134,0.0025044
a28,3083.611208,0.181719
,3084.61402,0.2949523
,3085.616738,0.2543487
,3086.619394,0.1538233
,3087.622002,0.072888
,3088.624573,0.0287137
,3089.627114,0.009756
,3090.629631,0.0029309
a29,3214.651694,0.1623536
,3215.654496,0.2744758
,3216.656933,0.2529432
,3217.65916,0.1661337
,3218.661272,0.0863462
,3219.663328,0.0375243
,3220.665366,0.0141051
,3221.667407,0.0046924
a30,3343.694287,0.1519925
,3344.697097,0.2660938
,3345.699559,0.2534097
,3346.701818,0.171793
,3347.703963,0.0921027
,3348.70605,0.0412786
,3349.708113,0.0160021
,3350.710175,0.005491
,3351.712245,0.0016959
a31,3472.73688,0.1422927
,3473.739697,0.2576638
,3474.742183,0.2533005
,3475.744471,0.1770535
,3476.746647,0.0978103
,3477.748762,0.0451578
,3478.75085,0.0180327
,3479.752932,0.0063746
,3480.755019,0.0020286
a32,3585.820944,0.1323569
,3586.823771,0.2490291
,3587.826287,0.2531119
,3588.82861,0.1823758
,3589.83082,0.1036549
,3590.832967,0.0491705
,3591.835082,0.0201553
,3592.837187,0.0073086
,3593.839294,0.0023845
a33,3714.863537,0.1239101
,3715.866371,0.2405834
,3716.868905,0.2519205
,3717.871255,0.1868144
,3718.873491,0.109212
,3719.875663,0.0532715
,3720.877801,0.0224517
,3721.879925,0.008371
,3722.882048,0.0028084
a34,3785.900651,0.1191499
,3786.903484,0.2357862
,3787.906027,0.2511794
,3788.908388,0.1892786
,3789.910637,0.1123587
,3790.912821,0.0556236
,3791.914969,0.0237844
,3792.917102,0.0089949
,3793.919232,0.0030604
a35,3884.969065,0.1120638
,3885.971903,0.2284387
,3886.974465,0.249846
,3887.97685,0.1928917
,3888.979124,0.1171454
,3889.98133,0.0592721
,3890.983498,0.0258846
,3891.985649,0.0099924
