spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0512_11g_3_3p2.csv
limit_error:	6
noise_limit:	3200000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1523.189746	10	61314176.83349844	RNA	1.03	0.22	C449H551N182O331P47	
1407.45776	11	42808516.614493735	RNA+CMCT	-2.52	0.23	C463.0H576.0N185.0O332.0P47.0	
1395.185542	11	71386705.67	RNA+CMCT-A	1.38	0.23	C458.0H571.0N180.0O332.0P47.0	
1393.729351	11	319004684.16358507	RNA+CMCT-G	-0.13	0.13	C458.0H571.0N180.0O331.0P47.0	
1405.827784	11	37496654.321376905	RNA+CMCT-H2O	2.71	0.32	C463.0H574.0N185.0O331.0P47.0	
1372.347539	11	25068814.508725815	RNA-A	0.19	0.35	C444H546N177O331P47	
1382.991284	11	72712461.64806996	RNA-H2O	2.64	0.24	C449H549N182O330P47	
1396.84143	3	28166663.440928377	a13	-3.49	0.21	C125.0H151.0N51.0O91.0P12.0	
1397.469198	4	38376484.32	a17+CMCT-A	3.11	0.31	C172.0H219.0N65.0O119.0P16.0	
1114.139451	6	15393577.23	a21-A	-1.24	0.46	C198.0H242.0N82.0O144.0P20.0	
1398.375893	5	60813778.349021375	a22-A	0.27	0.17	C207.0H253.0N84.0O152.0P21.0	
1486.587575	5	17327156.371871006	a23	-2.63	0.38	C221.0H269.0N91.0O160.0P22.0	
1398.011176	6	22773306.57	a26	0.35	0.44	C249.0H304.0N101.0O182.0P25.0	
1423.676693	6	26427817.821801566	a27-G	0.49	0.28	C253.0H311.0N99.0O188.0P26.0	
1525.521538	6	71319853.87909283	a29-G	0.72	0.21	C271.0H334.0N104.0O203.0P28.0	
1408.313578	7	50265100.92760475	a31-A	-1.02	0.15	C291.0H358.0N114.0O218.0P30.0	
1406.033837	7	29839584.778411426	a31-G	2.71	0.26	C291.0H358.0N114.0O217.0P30.0	
2091.052369	5	17008589.67	a33-G	-2.82	0.41	C309.0H381.0N119.0O232.0P32.0	
1406.793993	8	30166591.223264676	a35	-3.53	0.34	C333.0H409.0N131.0O248.0P34.0	
1895.414646	6	18985363.75	a35+CMCT-A	-5.59	0.39	C342.0H429.0N129.0O249.0P34.0	
1671.516415	7	15928251.32	a36+CMCT-G	1.55	0.47	C352.0H441.0N134.0O255.0P35.0	
1385.168772	9	95113341.19	a39-A	-0.87	0.18	C368.0H452.0N146.0O274.0P38.0	
