ion,mass,Intensities
a01,265.081104,0.871424
,266.083609,0.1133303
,267.085682,0.0139905
a01+NMIA,398.133868,0.793561
,399.136633,0.1762332
,400.138984,0.0268479
,401.141362,0.0030682
a01+NMIA-G,247.084458,0.8557482
,248.087696,0.1269541
,249.089929,0.0157952
a01-G,114.031694,0.9397129
,115.034714,0.0563666
,116.036264,0.0072085
a02,610.128539,0.7537737
,611.131053,0.1970102
,612.133225,0.0418502
,613.135503,0.0064523
a02+NMIA,743.181302,0.686423
,744.183978,0.2425766
,745.186317,0.0586086
,746.188674,0.0106156
a02+NMIA-G,592.131893,0.7402143
,593.134795,0.2070141
,594.1371,0.0446502
,595.139549,0.0070911
a02-G,459.079129,0.8128429
,460.081918,0.1525225
,461.083954,0.0302732
,462.086398,0.0038894
a03,915.169825,0.6639398
,916.172426,0.2486259
,917.174675,0.0699254
,918.176995,0.0145626
,919.179239,0.0025686
a03+NMIA,1048.222589,0.6046159
,1049.225295,0.2820518
,1050.227675,0.0880256
,1051.230058,0.0206045
,1052.232384,0.0039976
a03+NMIA-G,897.173179,0.6519965
,898.176052,0.2560867
,899.178419,0.0731466
,900.180865,0.015561
,901.18321,0.0027851
a03-G,764.120416,0.7159693
,765.123208,0.2153249
,766.125393,0.0563488
,767.127809,0.0104527
a04,1221.195128,0.5855924
,1222.197817,0.283536
,1223.200135,0.0985703
,1224.202502,0.0255671
,1225.204794,0.0055806
a04+NMIA,1354.247892,0.5332689
,1355.250651,0.3072768
,1356.253078,0.1166223
,1357.255498,0.0331912
,1358.257856,0.0078225
a04+NMIA-G,1203.198482,0.5750583
,1204.20138,0.2889606
,1205.203803,0.1019025
,1206.206271,0.026883
,1207.208647,0.0059411
a04-G,1070.145718,0.6314821
,1071.148564,0.2591996
,1072.150844,0.0843793
,1073.15328,0.0200746
,1074.155574,0.0041089
a05,1566.242562,0.506532
,1567.245216,0.3117704
,1568.247576,0.1288084
,1569.249941,0.0399087
,1570.252251,0.0102826
,1571.254549,0.0022836
a05+NMIA,1699.295326,0.4612727
,1700.298042,0.3263629
,1701.300488,0.1461064
,1702.302903,0.0489147
,1703.305268,0.0134727
,1704.307611,0.0031876
a05+NMIA-G,1548.245916,0.4974202
,1549.248737,0.3152662
,1550.251194,0.1321028
,1551.253644,0.0415105
,1552.256028,0.0108168
,1553.258393,0.0024279
a05-G,1415.193153,0.5462262
,1416.19592,0.295932
,1417.198275,0.1146577
,1418.200682,0.0331612
,1419.203004,0.0080733
a06,1871.283849,0.4461641
,1872.286525,0.3250775
,1873.288928,0.153546
,1874.291316,0.0543474
,1875.293652,0.0159032
,1876.295972,0.004006
a06+NMIA,2004.336613,0.4062987
,2005.33934,0.3334219
,2006.341816,0.1694296
,2007.34425,0.0641916
,2008.346635,0.0199348
,2009.348995,0.0053098
a06+NMIA-G,1853.287203,0.4381382
,1854.290021,0.3272489
,1855.292512,0.1566337
,1856.294975,0.0561344
,1857.297378,0.0165962
,1858.299758,0.0042205
a06-G,1720.234439,0.4811276
,1721.237212,0.3150813
,1722.23962,0.1402115
,1723.242041,0.0467752
,1724.244392,0.0130137
,1725.246732,0.0031235
a07,2177.309151,0.393515
,2178.311869,0.3298921
,2179.314316,0.175511
,2180.316735,0.0698503
,2181.319102,0.0229002
,2182.321447,0.0064554
a07+NMIA,2310.361915,0.3583539
,2311.364674,0.333394
,2312.367184,0.1895569
,2313.369644,0.0801622
,2314.372055,0.0277228
,2315.374437,0.0082144
,2316.376796,0.0021493
a07+NMIA-G,2159.312505,0.3864362
,2160.315345,0.3310306
,2161.317872,0.1782893
,2162.32036,0.0717533
,2163.322787,0.0237463
,2164.325187,0.0067519
a07-G,2026.259742,0.4243527
,2027.262546,0.3244588
,2028.265002,0.1634586
,2029.26745,0.0617485
,2030.269832,0.0193503
,2031.272195,0.0052266
a08,2483.334454,0.3470787
,2484.337203,0.3290437
,2485.339688,0.1943319
,2486.342134,0.0856513
,2487.344528,0.030995
,2488.346897,0.0096308
,2489.349243,0.0026478
a08+NMIA,2616.387218,0.3160668
,2617.390001,0.3287299
,2618.392541,0.2063794
,2619.395026,0.0961124
,2620.397458,0.0365175
,2621.399861,0.0118728
,2622.402239,0.0034056
a08+NMIA-G,2465.337808,0.3408352
,2466.340665,0.3293628
,2467.343224,0.1967556
,2468.345732,0.0876084
,2469.348182,0.0319798
,2470.350601,0.0100159
,2471.352993,0.0027737
a08-G,2332.285044,0.3742774
,2333.287872,0.3272357
,2334.290369,0.1837723
,2335.292841,0.0772876
,2336.29525,0.0268433
,2337.297635,0.0080254
,2338.299995,0.0021282
a09,2828.381889,0.3002199
,2829.38461,0.3240426
,2830.387107,0.2121912
,2831.389554,0.1031887
,2832.391954,0.0409874
,2833.394327,0.0139418
,2834.396677,0.0041866
a09+NMIA,2961.434652,0.2733948
,2962.437406,0.3202487
,2963.439951,0.2219759
,2964.442434,0.1135412
,2965.444869,0.0471796
,2966.447274,0.0167332
,2967.449654,0.0052256
a09+NMIA-G,2810.385243,0.2948193
,2811.38806,0.3236095
,2812.390624,0.214203
,2813.393129,0.1051512
,2814.395581,0.0421079
,2815.398,0.0144292
,2816.400394,0.0043625
a09-G,2677.332479,0.3237465
,2678.335267,0.3255681
,2679.33778,0.2033786
,2680.340249,0.0947711
,2681.342664,0.0362433
,2682.345052,0.0118997
,2683.347415,0.0034567
a10,3134.407191,0.2647928
,3135.409937,0.3148564
,3136.412464,0.2243138
,3137.414935,0.1183305
,3138.417357,0.0508557
,3139.41975,0.0186898
,3140.42212,0.0060571
a10+NMIA,3267.459955,0.2411332
,3268.462729,0.3089143
,3269.465298,0.2320582
,3270.467803,0.1282885
,3271.470258,0.0574966
,3272.47268,0.021967
,3273.475077,0.007383
,3274.477455,0.0022295
a10+NMIA-G,3116.410545,0.2600295
,3117.413378,0.3139518
,3118.415968,0.2259419
,3119.418493,0.1202384
,3120.420963,0.052071
,3121.4234,0.0192694
,3122.425809,0.0062848
,3123.428199,0.0018444
a10-G,2983.357781,0.2855432
,2984.360589,0.3184785
,2985.363133,0.2171436
,2986.365625,0.1101237
