spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1710_62_6n.csv
limit_error:	6.5	2020-04-29
noise_limit:	1800000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1438.189744	6	142176722.0	RNA	0.32	0.14	C256H320N102O188P26	3.2
1448.52847	6	28994346911.05	RNA+DEPC+H2O-CO	-0.19	0.05	C258H326N102O190P26	265.6
1426.022175	6	736007310.0	RNA+DEPC+H2O-CO-A	1.77	0.04	C253H321N97O190P26	6.1
1430.025252	6	217512260.0	RNA+DEPC+H2O-CO-C	2.6	0.04	C254H321N99O189P26	1.8
1427.01986	6	91868490.0	RNA+DEPC+H2O-CO-C-H2O	0.06	0.21	C254H319N99O188P26	4.2
1440.853077	6	1297779798.36	RNA+DEPC+H2O-CO-Eth	-1.4	0.03	C256H320N102O189P26	9.7
1418.342068	6	99031531.0	RNA+DEPC+H2O-CO-Eth-A	-2.78	0.14	C251H315N97O189P26	2.2
1422.345147	6	29832442.0	RNA+DEPC+H2O-CO-Eth-C	-1.93	0.22	C252H315N99O188P26	1.5
1419.340852	6	25970346.0	RNA+DEPC+H2O-CO-Eth-C-H2O	-3.72	0.12	C252H313N99O187P26	0.5
1415.678886	6	461592707.0	RNA+DEPC+H2O-CO-Eth-G	-0.92	0.03	C251H315N97O188P26	3.5
1437.855374	6	132662088.0	RNA+DEPC+H2O-CO-Eth-H2O	1.42	0.15	C256H318N102O188P26	3.3
1423.355035	6	1695140915.0	RNA+DEPC+H2O-CO-G	0.84	0.03	C253H321N97O189P26	12.7
1420.3523	6	105256858.0	RNA+DEPC+H2O-CO-G-H2O	0.16	0.07	C253H319N97O188P26	1.2
1445.528883	6	586476147.49	RNA+DEPC+H2O-CO-H2O	1.32	0.05	C258H324N102O189P26	5.4
1413.013817	6	217368881.0	RNA-G	-0.39	0.06	C251H315N97O187P26	2.2
1435.190736	6	34292071.19	RNA-H2O	2.24	0.25	C256H318N102O187P26	2.3
609.12106	1	5809489.01	a02	-0.33	0.21	C20H23N10O11P1	0.3
671.15746	1	4492890.87	a02+DEPC+H2O-CO	-0.87	0.22	C22H29N10O13P1	0.2
625.11596	1	8947748.66	a02+DEPC+H2O-CO-Eth	-0.35	0.21	C20H23N10O12P1	0.4
458.0722	1	4256323.08	a02-G	0.76	0.16	C15H18N5O10P1	0.1
914.16136	1	4497953.64	a03	-1.3	0.28	C29H35N13O18P2	0.4
1108.160699	1	26561459.72	a04-G	0.11	0.09	C34H42N13O24P3	0.4
934.6359	2	4385577.27	a06	1.34	0.47	C57H70N23O40P5	2.7
1130.178769	2	25067382.95	a07+DEPC+H2O-CO	-0.47	0.08	C69H88N28O48P6	0.3
1031.634403	2	26965524.08	a07-A	0.72	0.08	C62H77N23O46P6	0.3
1251.679849	2	9443822.0	a08	-1.36	0.07	C76H94N31O53P7	0.1
1348.68433	2	20476696.24	a09-A	2.79	0.13	C81H101N31O59P8	0.4
2058.284815	2	9475193.37	a13+DEPC+H2O-CO	-3.87	0.5	C124H158N46O91P12	7.8
2035.275625	2	10078854.15	a13+DEPC+H2O-CO-Eth	1.85	0.31	C122H152N46O90P12	1.2
1452.859256	3	17258545.16	a14	-1.16	0.4	C131H164N49O96P13	5.2
2143.281383	2	11489679.62	a14+DEPC+H2O-CO-A	-2.24	0.44	C128H165N44O98P13	5.2
1402.511733	3	13806045.0	a14-G	0.43	0.46	C126H159N44O95P13	7.6
1588.560811	3	45185530.0	a15+DEPC+H2O-CO	3.23	0.15	C143H182N54O105P14	1.1
1517.523109	3	34041986.18	a15-G	-2.53	0.17	C136H171N49O102P14	1.0
1703.569177	3	29790413.0	a16+DEPC+H2O-CO	-1.36	0.21	C153H194N59O112P15	1.4
1488.692318	4	11325364.0	a19+DEPC+H2O-CO-G	-1.46	0.27	C177H224N66O133P18	0.9
1473.187973	4	29593752.0	a19-G	1.82	0.19	C175H218N66O131P18	1.1
1608.720353	4	602168027.0	a20+DEPC+H2O-CO	0.24	0.03	C192H241N76O140P19	4.5
1574.956682	4	44836471.11	a20+DEPC+H2O-CO-A	0.21	0.14	C187H236N71O140P19	1.0
1597.210474	4	93562843.09	a20+DEPC+H2O-CO-Eth	0.61	0.05	C190H235N76O139P19	0.9
1570.955832	4	148771282.43	a20+DEPC+H2O-CO-G	-1.14	0.04	C187H236N71O139P19	1.2
1559.448405	4	76538641.0	a20-A	0.8	0.04	C185H230N71O138P19	0.6
1555.450196	4	15987405.27	a20-G	1.14	0.46	C185H230N71O137P19	8.8
1690.987808	4	234989494.45	a21+DEPC+H2O-CO	2.78	0.04	C202H253N81O146P20	1.9
1657.223804	4	25436123.0	a21+DEPC+H2O-CO-A	2.61	0.4	C197H248N76O146P20	7.7
1679.473129	4	39362354.6	a21+DEPC+H2O-CO-Eth	0.3	0.13	C200H247N81O145P20	0.8
1653.225101	4	69018697.17	a21+DEPC+H2O-CO-G	2.63	0.12	C197H248N76O145P20	1.3
1641.707874	4	24234496.01	a21-A	-1.47	0.19	C195H242N76O144P20	0.9
1777.250313	4	121714067.38	a22+DEPC+H2O-CO	3.01	0.09	C212H265N86O153P21	1.7
1739.483991	4	35008221.74	a22+DEPC+H2O-CO-G	0.8	0.1	C207H260N81O152P21	0.5
1470.395835	5	16284082.65	a23	2.46	0.31	C219H270N88O159P22	2.0
1473.585437	5	14768797.0	a23+DEPC+H2O-CO-Eth	-3.91	0.26	C219H270N88O160P22	1.1
1452.588879	5	22922442.01	a23+DEPC+H2O-CO-G	-0.56	0.24	C216H271N83O160P22	1.4
1804.481766	4	14209026.0	a23-A	1.83	0.34	C214H265N83O159P22	2.4
1443.389905	5	12448340.51	a23-A	5.95	0.37	C214H265N83O159P22	2.8
1531.399327	5	6892375.0	a24	-0.75	0.52	C228H282N91O166P23	6.9
1573.393325	5	27806711.47	a25-A	-3.65	0.26	C233H289N91O173P24	2.1
