Found fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1379.178731	11	203035416.06	RNA	2.08	0.22	C449H554N182O329P46	
1402.013252	11	79088789994.22	RNA+CMCT	0.75	0.02	C463H579N185O330P46	
1388.103169	11	4646630782.4	RNA+CMCT-A-H2O	4.3	0.17	C458H572N180O329P46	
1527.214839	10	31316055.41	RNA+CMCT-G	3.69	0.38	C458H574N180O329P46	
1388.285569	11	5303254491.74	RNA+CMCT-G	3.7	0.01	C458H574N180O329P46	
1525.409465	10	59040611.46	RNA+CMCT-G-H2O	0.86	0.36	C458H572N180O328P46	
1386.648445	11	228626003.23	RNA+CMCT-G-H2O	3.85	0.11	C458H572N180O328P46	
1400.377002	11	1694770330.98	RNA+CMCT-H2O	1.52	0.14	C463H577N185O329P46	
1501.885279	10	20260768.67	RNA-A-H2O	-1.59	0.39	C444H547N177O328P46	
1502.085787	10	16801153.03	RNA-G	-2.29	0.53	C444H549N177O328P46	
1377.544322	11	203014660.75	RNA-H2O	4.2	0.29	C449H552N182O328P46	
1012.61798	2	7189192.53	a07-G	3.34	0.49	C61H75N19O48P6	
1396.84143	3	35235673.61	a13	-3.49	0.21	C125H151N51O91P12	
1397.469198	4	36970639.55	a17+CMCT-A	3.11	0.31	C172H219N65O119P16	
1393.463795	4	29152056.22	a17+CMCT-G	-1.67	0.34	C172H219N65O118P16	
974.127386	7	12305662.84	a21	-0.08	0.43	C203H247N87O144P20	
1398.37547	5	118567947.84	a22-A	-0.03	0.23	C207H253N84O152P21	
1486.587575	5	20800561.71	a23	-2.63	0.38	C221H269N91O160P22	
1398.011176	6	22773304.77	a26	0.35	0.44	C249H304N101O182P25	
914.884932	9	15642481.23	a26-G	-3.46	0.43	C244H299N96O181P25	
1423.676693	6	34555997.59	a27-G	0.49	0.25	C253H311N99O188P26	
1067.501458	8	18069974.41	a27-G	-3.49	0.44	C253H311N99O188P26	
955.134935	10	15518007.77	a29+CMCT	0.7	0.38	C290H364N112O205P28	
1525.521538	6	111686164.33	a29-G	0.72	0.21	C271H334N104O203P28	
1408.313578	7	57099513.09	a31-A	-1.02	0.15	C291H358N114O218P30	
1406.038324	7	22918997.56	a31-G	5.9	0.4	C291H358N114O217P30	
2091.052369	5	17008594.74	a33-G	-2.82	0.41	C309H381N119O232P32	
1406.793765	8	28937337.67	a35	-3.69	0.37	C333H409N131O248P34	
1895.414646	6	18985379.16	a35+CMCT-A	-5.59	0.39	C342H429N129O249P34	
1507.580261	8	41577408.37	a37+CMCT-A	0.85	0.38	C362H453N139O263P36	
