fragment,mass,Intensities
RNA,8536.075868,0.0278121
,8537.078619,0.089005
,8538.081277,0.153058
,8539.083876,0.18597
,8540.086433,0.178046
,8541.088956,0.14238
,8542.091452,0.098598
,8543.093927,0.060591
,8544.096382,0.033628
,8545.098822,0.017081
,8546.101247,0.008022
,8547.10366,0.003512
RNA+CMCT,8787.27563,0.023511
,8788.278393,0.079163
,8789.28107,0.142293
,8790.283689,0.179952
,8791.286265,0.178765
,8792.288809,0.147973
,8793.291325,0.105862
,8794.293819,0.067098
,8795.296293,0.038357
,8796.298751,0.020043
,8797.301195,0.009674
,8798.303625,0.004349
,8799.306044,0.001834
RNA+CMCT-A,8652.221135,0.0252915
,8653.223919,0.083302
,8654.226611,0.1469
,8655.229242,0.182608
,8656.231828,0.17856
,8657.23438,0.145646
,8658.236904,0.102767
,8659.239405,0.06429
,8660.241886,0.036297
,8661.244349,0.018743
,8662.246798,0.008944
,8663.249234,0.003977
,8664.251658,0.001659
RNA+CMCT-A-H2O,8634.21057,0.0253596
,8635.213354,0.083511
,8636.216046,0.147192
,8637.218677,0.182839
,8638.221264,0.178627
,8639.223816,0.145553
,8640.22634,0.102588
,8641.228841,0.064102
,8642.231322,0.036145
,8643.233787,0.018639
,8644.236236,0.008882
,8645.238672,0.003944
,8646.241097,0.001643
RNA+CMCT-C,8676.232368,0.0248974
,8677.235142,0.082448
,8678.237825,0.146024
,8679.240449,0.182179
,8680.24303,0.178695
,8681.245576,0.146152
,8682.248096,0.10337
,8683.250592,0.064805
,8684.253069,0.036657
,8685.255529,0.01896
,8686.257974,0.009061
,8687.260406,0.004034
,8688.262827,0.001685
RNA+CMCT-C-H2O,8658.221804,0.0249645
,8659.224577,0.082655
,8660.22726,0.146315
,8661.229884,0.18241
,8662.232465,0.178764
,8663.235012,0.146061
,8664.237532,0.103192
,8665.240028,0.064616
,8666.242505,0.036504
,8667.244966,0.018856
,8668.247411,0.008999
,8669.249844,0.004001
,8670.252265,0.001669
RNA+CMCT-G,8636.22622,0.025353
,8637.229005,0.083496
,8638.231696,0.147174
,8639.234328,0.182825
,8640.236915,0.178623
,8641.239467,0.145557
,8642.241991,0.102595
,8643.244493,0.064109
,8644.246974,0.036151
,8645.249438,0.018643
,8646.251888,0.008884
,8647.254324,0.003945
,8648.256749,0.001643
RNA+CMCT-G-H2O,8618.215656,0.0254213
,8619.21844,0.083705
,8620.221131,0.147466
,8621.223763,0.183056
,8622.22635,0.178689
,8623.228903,0.145464
,8624.231428,0.102415
,8625.233929,0.06392
,8626.236411,0.035998
,8627.238876,0.01854
,8628.241326,0.008823
,8629.243762,0.003912
,8630.246187,0.001627
RNA+CMCT-H2O,8769.265065,0.0235746
,8770.267828,0.079362
,8771.270505,0.142581
,8772.273124,0.180189
,8773.275701,0.178846
,8774.278244,0.147894
,8775.280761,0.10569
,8776.283255,0.066911
,8777.28573,0.038202
,8778.288188,0.019936
,8779.290632,0.00961
,8780.293063,0.004314
,8781.295482,0.001816
RNA-A,8401.021373,0.0299182
,8402.024146,0.093551
,8403.026819,0.157716
,8404.02943,0.188263
,8405.031996,0.177345
,8406.034528,0.139703
,8407.037032,0.095391
,8408.039513,0.057845
,8409.041975,0.031701
,8410.04442,0.015909
,8411.046851,0.007385
,8412.049269,0.003198
RNA-C,8425.032606,0.029452
,8426.035368,0.092618
,8427.038033,0.156842
,8428.040637,0.187915
,8429.043197,0.177577
,8430.045723,0.140269
,8431.048222,0.096007
,8432.050699,0.058342
,8433.053157,0.032033
,8434.055598,0.016102
,8435.058026,0.007487
,8436.06044,0.003246
RNA-G,8385.026458,0.029991
,8386.029231,0.093767
,8387.031905,0.158003
,8388.034516,0.188469
,8389.037083,0.17738
,8390.039615,0.139589
,8391.042119,0.095206
,8392.044601,0.057663
,8393.047063,0.031561
,8394.049509,0.015817
,8395.051941,0.007333
,8396.054359,0.00317
RNA-H2O,8518.065303,0.0278866
,8519.068054,0.089227
,8520.070712,0.153356
