spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0801_0CMCT_6.csv
limit_error:	6
noise_limit:	2049999.9999999998
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1438.183478	6	41753821606.0	RNA	-4.03	0.02	C256H320N102O188P26	
1412.677399	6	2130420990.99	RNA-A-H2O	-0.73	0.29	C251H313N97O187P26	
1413.012464	6	2719465057.52	RNA-G	-1.35	0.01	C251H315N97O187P26	
1410.014122	6	225053192.97	RNA-G-H2O	1.07	0.03	C251H313N97O186P26	
1435.186785	6	773035599.91	RNA-H2O	-0.51	0.04	C256H318N102O187P26	
1108.160379	1	18356209.78	a04-G	-0.18	0.09	C34H42N13O24P3	
1414.185076	1	218772719.13	a05-G	-0.57	0.35	C43H53N15O32P4	
1031.633471	2	24856227.0	a07-A	-0.18	0.08	C62H77N23O46P6	
1348.682277	2	19406274.73	a09-A	1.27	0.04	C81H101N31O59P8	
898.785936	3	14084491.82	a09-A	1.47	0.05	C81H101N31O59P8	
1351.174515	3	9093097.13	a13	-4.44	0.54	C122H152N46O89P12	
1517.522782	3	44777543.79	a15-G	-2.74	0.1	C136H171N49O102P14	
1632.538064	3	40474223.02	a16-G	-2.87	0.18	C146H183N54O109P15	
1747.552283	3	25229098.04	a17-G	-3.6	0.21	C156H195N59O116P16	
1510.944955	4	97237056.4	a19	-1.78	0.4	C180H223N71O132P18	
1473.187428	4	55224793.57	a19-G	1.45	0.13	C175H218N66O131P18	
1559.450885	4	32273236.25	a20-A	2.4	0.16	C185H230N71O138P19	
1641.712061	4	20465916.2	a21-A	1.08	0.25	C195H242N76O144P20	
1761.728411	4	13399515.08	a22	-4.17	0.43	C210H259N86O151P21	
1174.151979	6	50949971.23	a22	-2.36	0.36	C210H259N86O151P21	
1432.416298	5	25113067.01	a22+CMCT-A	0.06	0.22	C219H279N84O152P21	
1723.970253	4	12524874.44	a22-G	-1.83	0.44	C205H254N81O150P21	
1443.381491	5	32418351.75	a23-A	0.12	0.15	C214H265N83O159P22	
1440.184623	5	62174721.86	a23-G	1.59	0.25	C214H265N83O158P22	
1308.332661	6	37642738.45	a25-G	0.36	0.4	C233H289N91O172P24	
1426.211102	6	26303337.34	a26+CMCT	-1.98	0.35	C261H331N102O181P25	
344.03878	1	4510377.56	c01	-4.01	0.12	C10H12N5O7P1	
689.087423	1	21789228.17	c02	-0.25	0.06	C20H24N10O14P2	
538.03808	1	4952756.89	c02-G	-0.19	0.16	C15H19N5O13P2	
994.129529	1	133843556.34	c03	0.65	0.05	C29H36N13O21P3	
1339.17224	1	8551617.27	c04	-3.04	0.35	C39H48N18O28P4	
669.084643	2	24926858.67	c04	0.19	0.13	C39H48N18O28P4	
822.097703	2	54949514.55	c05	0.65	0.07	C48H59N20O36P5	
974.618884	2	112948033.14	c06	1.1	0.03	C57H71N23O43P6	
899.09557	2	9988351.89	c06-G	2.74	0.16	C52H66N18O42P6	
1139.142062	2	70959582.93	c07	-1.77	0.05	C67H83N28O49P7	
1063.617513	2	9584235.21	c07-G	-1.74	0.19	C62H78N23O48P7	
1291.662176	2	110419238.72	c08	-1.97	0.03	C76H95N31O56P8	
860.774893	3	12069113.35	c08	0.98	0.11	C76H95N31O56P8	
1216.142508	2	15260334.98	c08-G	2.05	0.15	C71H90N26O55P8	
1456.191351	2	32923574.65	c09	0.26	0.09	C86H107N36O62P9	
970.45844	3	36118739.72	c09	0.22	0.16	C86H107N36O62P9	
1608.70542	2	39884737.96	c10	-3.85	0.13	C95H119N39O69P10	
1072.137416	3	72631104.96	c10	-1.16	0.06	C95H119N39O69P10	
1761.227283	2	26548839.91	c11	-2.83	0.07	C104H131N42O76P11	
1173.818596	3	93854129.09	c11	-0.42	0.03	C104H131N42O76P11	
1685.709399	2	11006325.75	c11-G	1.09	0.37	C99H126N37O75P11	
1275.824176	3	62806915.58	c12	-2.62	0.04	C113H142N44O84P12	
1377.83098	3	107442921.0	c13	-3.61	0.05	C122H153N46O92P13	
1479.514885	3	300744743.72	c14	-1.01	0.02	C131H165N49O99P14	
1429.164825	3	28583237.27	c14-G	-1.23	0.12	C126H160N44O98P14	
1594.52774	3	241493638.62	c15	-2.79	0.02	C141H177N54O106P15	
1220.68543	4	8943684.7	c15+CMCT-G	0.42	0.44	C150H197N52O106P15	
1544.180645	3	42669915.62	c15-G	-1.13	0.09	C136H172N49O105P15	
1709.538711	3	201500966.36	c16	-5.44	0.01	C151H189N59O113P16	
1281.912665	4	17557272.61	c16	2.72	0.41	C151H189N59O113P16	
1659.19509	3	47158900.17	c16-G	-1.88	0.08	C146H184N54O112P16	
1824.567079	3	89449440.2	c17	1.79	0.06	C161H201N64O120P17	
